Regions,Cases,Cumulative Cases,Deaths,Cumulative Deaths,Tests,Cumulative Tests,Meeting Friends/Family (Indoor) (Low),Meeting Friends/Family (Indoor) (Moderate),Meeting Friends/Family (Indoor) (High),Meeting Friends/Family (Outdoor) (Low),Meeting Friends/Family (Outdoor) (Moderate),Meeting Friends/Family (Outdoor) (High),Domestic Travel (Low),Domestic Travel (Moderate),Domestic Travel (High),International Travel (Low),International Travel (Moderate),International Travel (High),Cafes and Restaurants (Low),Cafes and Restaurants (Moderate),Cafes and Restaurants (High),Pubs and Bars (Low),Pubs and Bars (Moderate),Pubs and Bars (High),Sports and Leisure (Low),Sports and Leisure (Moderate),Sports and Leisure (High),School Closure,Non-Essential Shops,Hospitals/ Care and Nursing Home Visits (Low),Hospitals/ Care and Nursing Home Visits (Moderate),Hospitals/ Care and Nursing Home Visits (High),Temperature,Humidity,Rt
12,223,1754,18.0,97.0,495.0,8225.0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,2,2,6,0,0,5.62,53.9,1.9530856308838567
12,260,2014,16.0,113.0,890.0,9115.0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,2,2,6,0,0,6.23,65.46,2.0340541200289333
12,315,2329,15.0,128.0,855.0,9987.0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,2,2,6,0,0,7.19,65.38,2.0340541200289333
12,314,2643,21.0,149.0,942.0,10929.0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,3,2,6,0,0,5.9,72.06,1.940380501512392
12,331,2974,28.0,177.0,1090.0,12019.0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,3,2,6,0,0,8.21,85.0,1.819396126496203
12,316,3290,29.0,206.0,1110.0,13129.0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,3,2,6,0,0,8.42,83.23,1.5582447729738977
12,278,3568,31.0,237.0,1000.0,14129.0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,0,3,3,7,0,0,9.73,79.67,1.2508012901800192
12,296,3864,30.0,267.0,910.0,15039.0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,0,3,3,7,0,0,12.19,71.25,1.2508012901800192
12,331,4195,20.0,287.0,696.0,15735.0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,0,3,3,7,0,0,10.19,85.67,1.3212452390880247
12,385,4580,32.0,319.0,794.0,16529.0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,0,4,3,7,0,0,10.42,72.15,1.4037725066891822
12,387,4967,42.0,361.0,21.0,16550.0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,0,4,3,7,0,0,15.04,58.46,1.4037725066891822
12,362,5329,43.0,404.0,1254.0,17804.0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,0,4,3,7,0,0,15.67,64.29,1.2480632360974186
12,315,5644,25.0,429.0,912.0,18716.0,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,4,4,8,3,3,15.71,63.04,1.038607759310395
12,268,5912,31.0,460.0,1005.0,19721.0,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,4,4,8,3,3,14.9,67.08,0.8571697742428301
12,255,6167,37.0,497.0,770.0,20491.0,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,4,4,8,3,3,13.46,78.42,0.8571697742428301
12,279,6446,43.0,540.0,678.0,21169.0,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,5,4,8,3,3,8.96,63.0,0.885402284835284
12,317,6763,26.0,566.0,703.0,21872.0,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,5,4,8,3,3,7.31,63.79,1.0169096255027665
12,347,7110,38.0,604.0,755.0,22627.0,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,5,4,8,3,3,10.1,64.21,1.1222207187507556
12,350,7460,35.0,639.0,705.0,23332.0,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,5,5,9,3,3,13.19,61.19,1.1222207187507556
12,311,7771,29.0,668.0,783.0,24114.0,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,5,5,9,3,3,10.65,88.25,0.9980813811394361
12,251,8022,32.0,700.0,1056.0,25170.0,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,5,5,9,3,3,8.31,90.56,0.8006128570139323
12,236,8258,26.0,726.0,921.0,26091.0,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,6,5,9,3,3,12.06,71.12,0.7820194297133614
12,240,8498,25.0,751.0,1033.0,27124.0,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,6,5,9,3,3,11.71,59.17,0.7820194297133614
12,265,8763,30.0,781.0,964.0,28088.0,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,6,5,9,3,3,13.38,55.73,0.8089920288730619
12,237,9000,23.0,804.0,816.0,28904.0,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,6,6,10,3,3,14.27,59.17,0.8089920288730619
12,223,9223,18.0,822.0,1027.0,29931.0,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,6,6,10,3,3,14.56,60.02,0.7806376952864418
12,183,9406,31.0,853.0,1301.0,31232.0,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,6,6,10,3,3,14.33,66.71,0.6586958731377113
12,157,9563,29.0,882.0,775.0,32007.0,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,7,6,10,3,3,13.54,69.06,0.5858144932365099
12,143,9706,16.0,898.0,1250.0,33257.0,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,7,6,10,3,3,12.06,76.73,0.5858144932365099
12,148,9854,16.0,914.0,1191.0,34448.0,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,7,6,10,3,3,11.79,80.96,0.611069585893666
12,167,10021,15.0,929.0,734.0,35182.0,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,7,7,11,6,6,9.0,94.02,0.731719055958927
12,177,10198,26.0,955.0,1042.0,36224.0,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,7,7,11,6,6,9.5,87.13,0.8199643424547268
12,184,10382,16.0,971.0,1090.0,37314.0,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,7,7,11,6,6,9.4,81.4,0.8936286249851174
12,185,10567,29.0,1000.0,1438.0,38752.0,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,8,7,11,6,6,10.56,81.98,0.8936286249851174
12,153,10720,14.0,1014.0,1198.0,39950.0,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,8,7,11,6,6,9.58,79.5,0.7911528570372233
12,141,10861,14.0,1028.0,1504.0,41454.0,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,8,7,11,6,6,10.1,92.67,0.7651625930987019
12,140,11001,23.0,1051.0,892.0,42346.0,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,8,8,12,6,6,12.96,72.98,0.7651625930987019
12,161,11162,17.0,1068.0,743.0,43089.0,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,8,8,12,6,6,11.27,65.75,0.9083354812129001
12,174,11336,23.0,1091.0,933.0,44022.0,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,8,8,12,6,6,12.1,62.6,0.9083354812129001
12,154,11490,19.0,1110.0,1134.0,45156.0,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,9,8,12,6,6,13.79,70.88,0.9079251440125282
12,143,11633,13.0,1123.0,1096.0,46252.0,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,9,8,12,6,6,15.81,69.4,0.8555797164312992
12,119,11752,7.0,1130.0,2017.0,48269.0,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,9,8,12,6,6,17.71,68.06,0.8555797164312992
12,140,11892,10.0,1140.0,1314.0,49583.0,13,6,6,13,6,6,13,6,6,13,6,6,13,6,6,13,6,6,13,6,6,9,9,13,6,6,12.23,70.77,0.8718044615289039
12,145,12037,15.0,1155.0,1193.0,50776.0,13,6,6,13,6,6,13,6,6,13,6,6,13,6,6,13,6,6,13,6,6,9,9,13,6,6,7.91,53.02,0.9244461129695224
12,161,12198,11.0,1166.0,1087.0,51863.0,13,6,6,13,6,6,13,6,6,13,6,6,13,6,6,13,6,6,13,6,6,9,9,13,6,6,8.38,64.71,0.9536697041310139
12,145,12343,16.0,1182.0,1300.0,53163.0,13,6,6,13,6,6,13,6,6,13,6,6,13,6,6,13,6,6,13,6,6,10,9,13,6,6,9.02,58.48,0.9536697041310139
12,154,12497,12.0,1194.0,1421.0,54584.0,13,6,6,13,6,6,13,6,6,13,6,6,13,6,6,13,6,6,13,6,6,10,9,13,6,6,8.52,59.33,1.0213592960607276
12,159,12656,16.0,1210.0,1652.0,56234.0,13,6,6,13,6,6,13,6,6,13,6,6,13,6,6,13,6,6,13,6,6,10,9,13,6,6,10.35,65.17,1.0309587072805917
12,155,12811,13.0,1223.0,1743.0,57977.0,14,9,9,14,9,9,14,9,9,14,9,9,14,9,9,14,9,9,14,9,9,10,10,14,9,9,11.58,70.25,1.0309587072805917
12,150,12961,11.0,1234.0,1931.0,59908.0,14,9,9,14,9,9,14,9,9,14,9,9,14,9,9,14,9,9,14,9,9,10,10,14,9,9,11.71,82.54,1.0309587072805917
12,167,13128,10.0,1244.0,1914.0,61822.0,14,9,9,14,9,9,14,9,9,14,9,9,14,9,9,14,9,9,14,9,9,10,10,14,9,9,12.71,78.5,1.1054532345342236
12,182,13310,11.0,1255.0,1565.0,63387.0,14,9,9,14,9,9,14,9,9,14,9,9,14,9,9,14,9,9,14,9,9,11,10,14,9,9,13.04,88.1,1.1054532345342236
12,170,13480,7.0,1262.0,1843.0,65230.0,14,9,9,14,9,9,14,9,9,14,9,9,14,9,9,14,9,9,14,9,9,11,10,14,9,9,15.42,71.35,1.1028307938616113
12,145,13625,9.0,1271.0,1794.0,67024.0,14,9,9,14,9,9,14,9,9,14,9,9,14,9,9,14,9,9,14,9,9,11,10,14,9,9,15.67,73.38,0.926685702530042
12,131,13756,10.0,1281.0,2161.0,69185.0,15,9,9,15,9,9,15,9,9,15,9,9,15,9,9,15,9,9,15,9,9,11,11,15,9,9,14.44,74.35,0.831293906423855
12,113,13869,7.0,1288.0,2426.0,71611.0,15,9,9,15,9,9,15,9,9,15,9,9,15,9,9,15,9,9,15,9,9,11,11,15,9,9,13.06,76.04,0.7199098969234918
12,103,13972,12.0,1300.0,3079.0,74690.0,15,9,9,15,9,9,15,9,9,15,9,9,15,9,9,15,9,9,15,9,9,11,11,15,9,9,12.88,81.9,0.6679094267271632
12,97,14069,10.0,1310.0,3030.0,77720.0,15,9,9,15,9,9,15,9,9,15,9,9,15,9,9,15,9,9,15,9,9,12,11,15,9,9,14.0,70.91,0.6679094267271632
12,108,14177,10.0,1320.0,2206.0,79926.0,15,9,9,15,9,9,15,9,9,15,9,9,15,9,9,15,9,9,15,9,9,12,11,15,9,9,14.52,81.08,0.7511943155150399
12,107,14284,6.0,1326.0,1555.0,81481.0,15,9,9,15,9,9,15,9,9,15,9,9,15,9,9,15,9,9,15,9,9,12,11,15,9,9,18.62,62.1,0.7757983129080379
12,109,14393,16.0,1342.0,2743.0,84224.0,16,9,9,16,9,9,16,9,9,16,9,9,16,9,9,16,9,9,16,9,9,12,12,16,9,9,18.77,54.88,0.7757983129080379
