Name,US $ TO AUSTRALIAN $ (WMR) - EXCHANGE RATE,CANADIAN $ TO US $ (WMR) - EXCHANGE RATE,SWISS FRANC TO US $ (WMR) - EXCHANGE RATE,DANISH KRONE TO US $ (WMR) - EXCHANGE RATE,US $ TO ECU/EURO (WMR) - EXCHANGE RATE,US $ TO UK £ (WMR) - EXCHANGE RATE,JAPANESE YEN TO US $ (WMR) - EXCHANGE RATE,NORWEGIAN KRONE TO US $ (WMR) - EXCHANGE RATE,US $ TO NEW ZEALAND $ (WMR) - EXCHANGE RATE,SWEDISH KRONA TO US $ (WMR) - EXCHANGE RATE,BRAZILIAN REAL TO US $ (WMR) - EXCHANGE RATE,CZECH KORUNA TO US $ (WMR) - EXCHANGE RATE,HUNGARIAN FORINT TO US $ (WMR) - EXCHANGE RATE,SOUTH KOREAN WON TO US $ (WMR) - EXCHANGE RATE,MEXICAN PESO TO US $ (WMR) - EXCHANGE RATE,POLISH ZLOTY TO US $ (WMR) - EXCHANGE RATE,SINGAPORE $ TO US $ (WMR) - EXCHANGE RATE,NEW TURKISH LIRA TO US $ (WMR) - EXCHANGE RATE,TAIWAN NEW $ TO US $ (WMR) - EXCHANGE RATE,SOUTH AFRICA RAND TO US $ (WMR) - EXCHANGE RATE,CHILEAN PESO TO US $ (WMR) - EXCHANGE RATE,CHINESE YUAN TO US $ (WMR) - EXCHANGE RATE,HONG KONG $ TO US $ (WMR) - EXCHANGE RATE,INDONESIAN RUPIAH TO US $ (WMR) - EXCHANGE RATE,ISRAELI SHEKEL TO US $ (WMR) - EXCHANGE RATE,INDIAN RUPEE TO US $ (WMR) - EXCHANGE RATE,MALAYSIAN RINGGIT TO US $ (WMR) - EXCHANGE RATE,PHILIPPINE PESO TO US $ (WMR) - EXCHANGE RATE,RUSSIAN ROUBLE TO US $ (WMR) - EXCHANGE RATE,THAI BAHT TO US $ (WMR) - EXCHANGE RATE,KUWAITI DINAR TO US $ (WMR) - EXCHANGE RATE,SAUDI RIYAL TO US $ (WMR) - EXCHANGE RATE,UAE DIRHAM TO US $ (WMR) - EXCHANGE RATE
27/01/1983,NA,NA,NA,NA,NA,1.5375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/01/1983,NA,NA,NA,NA,NA,1.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/01/1983,NA,NA,NA,NA,NA,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/02/1983,NA,NA,NA,NA,NA,1.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/02/1983,NA,NA,NA,NA,NA,1.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/02/1983,NA,NA,NA,NA,NA,1.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/02/1983,NA,NA,NA,NA,NA,1.5195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/02/1983,NA,NA,NA,NA,NA,1.5325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/02/1983,NA,NA,NA,NA,NA,1.5375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/02/1983,NA,NA,NA,NA,NA,1.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/02/1983,NA,NA,NA,NA,NA,1.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/02/1983,NA,NA,NA,NA,NA,1.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/02/1983,NA,NA,NA,NA,NA,1.5385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15/02/1983,NA,NA,NA,NA,NA,1.5415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/02/1983,NA,NA,NA,NA,NA,1.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/02/1983,NA,NA,NA,NA,NA,1.5425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18/02/1983,NA,NA,NA,NA,NA,1.5425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/02/1983,NA,NA,NA,NA,NA,1.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/02/1983,NA,NA,NA,NA,NA,1.5205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/02/1983,NA,NA,NA,NA,NA,1.523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/02/1983,NA,NA,NA,NA,NA,1.5275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/02/1983,NA,NA,NA,NA,NA,1.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/02/1983,NA,NA,NA,NA,NA,1.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/03/1983,NA,NA,NA,NA,NA,1.5065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/03/1983,NA,NA,NA,NA,NA,1.5065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/03/1983,NA,NA,NA,NA,NA,1.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/03/1983,NA,NA,NA,NA,NA,1.5125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
