# Weather station Belgrade, Serbia, WMO_ID=13274,selection from 03.04.2020 till 31.08.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=13274&lang=en
#
"Local time in Belgrade";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.08.2020 23:00";"23.7";"742.4";"753.7";"";"57";"Wind blowing from the south";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"14.7";"";"";"";"";"";"";
"31.08.2020 22:00";"25.0";"742.9";"754.1";"-1.8";"51";"Wind blowing from the west-southwest";"1";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"14.1";"";"";"";"";"";"";
"31.08.2020 21:00";"25.2";"743.5";"754.7";"";"50";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"30.0";"13.9";"";"";"";"";"";"";
"31.08.2020 20:00";"25.9";"744.0";"755.2";"";"48";"Wind blowing from the north-northeast";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"14.1";"";"";"";"";"";"";
"31.08.2020 19:00";"26.6";"744.7";"755.9";"-1.3";"46";"Wind blowing from the north-northeast";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"34.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"13.9";"No precipitation";"12";"";"";"";"";
"31.08.2020 18:00";"28.1";"745.1";"756.3";"";"45";"Wind blowing from the north-northeast";"3";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"15.1";"";"";"";"";"";"";
"31.08.2020 17:00";"29.3";"745.6";"756.7";"";"43";"Wind blowing from the north-northeast";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"15.5";"";"";"";"";"";"";
"31.08.2020 16:00";"30.8";"746.0";"757.1";"-1.5";"42";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"16.3";"";"";"";"";"";"";
"31.08.2020 15:00";"33.9";"746.5";"757.4";"";"36";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"16.9";"";"";"";"";"";"";
"31.08.2020 14:00";"34.3";"746.8";"757.8";"";"35";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"16.9";"";"";"";"";"";"";
"31.08.2020 13:00";"33.6";"747.5";"758.5";"-0.7";"36";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"16.4";"No precipitation";"6";"";"";"";"";
"31.08.2020 12:00";"32.7";"748.0";"758.9";"";"40";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"17.3";"";"";"";"";"";"";
"31.08.2020 11:00";"31.4";"748.2";"759.3";"";"43";"Wind blowing from the north-northeast";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"17.3";"";"";"";"";"";"";
"31.08.2020 10:00";"30.4";"748.2";"759.4";"0.2";"45";"Wind blowing from the north";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"17.0";"";"";"";"";"";"";
"31.08.2020 09:00";"29.2";"748.2";"759.4";"";"46";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"16.5";"";"";"";"";"";"";
"31.08.2020 08:00";"28.4";"748.1";"759.3";"";"45";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"15.3";"";"";"";"";"";"";
"31.08.2020 07:00";"26.0";"748.0";"759.2";"0.9";"61";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"21.7";"";"";"";"";"";"";"30.0";"17.8";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"19.0";"";"";
"31.08.2020 06:00";"23.1";"747.7";"759.1";"";"72";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"17.7";"";"";"";"";"";"";
"31.08.2020 05:00";"21.8";"747.7";"759.1";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"17.6";"";"";"";"";"";"";
"31.08.2020 04:00";"24.0";"747.1";"758.5";"0.2";"68";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"17.6";"";"";"";"";"";"";
"31.08.2020 03:00";"24.6";"746.7";"758.0";"";"59";"Wind blowing from the south-east";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"16.1";"";"";"";"";"";"";
"31.08.2020 02:00";"25.2";"746.8";"758.2";"";"56";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"15.7";"";"";"";"";"";"";
"31.08.2020 01:00";"25.4";"746.9";"758.2";"0.2";"55";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"15.6";"No precipitation";"6";"";"";"";"";
"30.08.2020 23:00";"27.0";"746.9";"758.2";"";"49";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"15.4";"";"";"";"";"";"";
"30.08.2020 22:00";"27.9";"746.7";"757.9";"0.9";"48";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"16.0";"";"";"";"";"";"";
"30.08.2020 21:00";"28.5";"746.5";"757.6";"";"46";"Wind blowing from the south-east";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"15.6";"";"";"";"";"";"";
"30.08.2020 20:00";"28.9";"746.2";"757.3";"";"46";"Wind blowing from the south-southeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"16.0";"";"";"";"";"";"";
"30.08.2020 19:00";"30.1";"745.8";"756.9";"0.5";"41";"Wind blowing from the south-southeast";"3";"";"";"no clouds";" ";"";"";"";"36.2";"";"";"";"";"";"40.0";"15.3";"No precipitation";"12";"";"";"";"";
"30.08.2020 18:00";"31.9";"745.7";"756.7";"";"39";"Wind blowing from the south-southeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"16.1";"";"";"";"";"";"";
"30.08.2020 17:00";"34.0";"745.7";"756.7";"";"33";"Wind blowing from the south-southeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"15.5";"";"";"";"";"";"";
"30.08.2020 16:00";"35.1";"745.3";"756.3";"-0.8";"28";"Wind blowing from the south-southeast";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"14.1";"";"";"";"";"";"";
"30.08.2020 15:00";"35.8";"745.2";"756.1";"";"28";"Wind blowing from the south";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"14.8";"";"";"";"";"";"";
"30.08.2020 14:00";"35.7";"745.3";"756.1";"";"29";"Wind blowing from the south-east";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"15.0";"";"";"";"";"";"";
"30.08.2020 13:00";"34.9";"746.1";"757.0";"-0.4";"32";"Wind blowing from the south-southeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"15.7";"No precipitation";"6";"";"";"";"";
"30.08.2020 12:00";"34.2";"746.3";"757.3";"";"31";"Wind blowing from the south-southeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"14.9";"";"";"";"";"";"";
"30.08.2020 11:00";"33.0";"746.4";"757.4";"";"33";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"14.7";"";"";"";"";"";"";
"30.08.2020 10:00";"32.0";"746.5";"757.3";"0.9";"37";"Wind blowing from the south-southeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"15.6";"";"";"";"";"";"";
"30.08.2020 09:00";"29.6";"746.1";"757.2";"";"43";"Wind blowing from the south-east";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"15.7";"";"";"";"";"";"";
"30.08.2020 08:00";"27.2";"745.7";"756.9";"";"51";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"16.2";"";"";"";"";"";"";
"30.08.2020 07:00";"24.7";"745.6";"756.8";"0.3";"59";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"23.3";"";"";"";"";"";"";"40.0";"16.0";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"17.0";"";"";
"30.08.2020 06:00";"23.7";"745.6";"756.9";"";"58";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"15.0";"";"";"";"";"";"";
"30.08.2020 05:00";"23.4";"745.6";"756.9";"";"59";"Wind blowing from the south-southeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"14.8";"";"";"";"";"";"";
"30.08.2020 04:00";"24.1";"745.3";"756.6";"0.1";"59";"Wind blowing from the south-southeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"15.6";"";"";"";"";"";"";
"30.08.2020 03:00";"24.1";"745.2";"756.5";"";"59";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"15.6";"";"";"";"";"";"";
"30.08.2020 02:00";"24.9";"745.2";"756.4";"";"58";"Wind blowing from the south";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"16.1";"";"";"";"";"";"";
"30.08.2020 01:00";"25.1";"745.2";"756.6";"-0.1";"58";"Wind blowing from the south-southeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"16.3";"No precipitation";"6";"";"";"";"";
"30.08.2020 00:00";"26.1";"745.3";"756.5";"";"57";"Wind blowing from the south-southeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"16.8";"";"";"";"";"";"";
"29.08.2020 23:00";"26.7";"745.3";"756.5";"";"56";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"17.3";"";"";"";"";"";"";
"29.08.2020 22:00";"27.6";"745.3";"756.5";"0.8";"52";"Wind blowing from the south-southeast";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"17.0";"";"";"";"";"";"";
"29.08.2020 21:00";"28.4";"745.0";"756.1";"";"52";"Wind blowing from the south-southeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"17.5";"";"";"";"";"";"";
"29.08.2020 20:00";"29.4";"744.9";"756.0";"";"50";"Wind blowing from the south-east";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"17.8";"";"";"";"";"";"";
"29.08.2020 19:00";"30.0";"744.5";"755.5";"0.0";"46";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"35.3";"";"";"";"";"";"40.0";"17.3";"No precipitation";"12";"";"";"";"";
"29.08.2020 18:00";"32.0";"744.4";"755.4";"";"38";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"16.1";"";"";"";"";"";"";
"29.08.2020 17:00";"33.4";"744.3";"755.2";"";"34";"Wind blowing from the south-southeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"15.6";"";"";"";"";"";"";
"29.08.2020 16:00";"34.7";"744.5";"755.4";"-0.6";"31";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"15.4";"";"";"";"";"";"";
"29.08.2020 15:00";"34.6";"744.6";"755.5";"";"32";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"15.7";"";"";"";"";"";"";
"29.08.2020 14:00";"34.2";"744.7";"755.7";"";"35";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"16.5";"";"";"";"";"";"";
"29.08.2020 13:00";"33.8";"745.1";"756.1";"-0.7";"35";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"16.3";"No precipitation";"6";"";"";"";"";
"29.08.2020 12:00";"33.0";"745.2";"756.1";"";"38";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"17.0";"";"";"";"";"";"";
"29.08.2020 11:00";"32.4";"745.6";"756.6";"";"40";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"17.1";"";"";"";"";"";"";
"29.08.2020 10:00";"31.3";"745.8";"756.8";"0.5";"45";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"18.0";"";"";"";"";"";"";
"29.08.2020 09:00";"29.3";"745.9";"757.0";"";"48";"Wind blowing from the south-southeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"17.2";"";"";"";"";"";"";
"29.08.2020 08:00";"26.0";"745.6";"756.9";"";"58";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"17.0";"";"";"";"";"";"";
"29.08.2020 07:00";"23.4";"745.3";"756.7";"0.6";"62";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"21.8";"";"";"";"";"";"";"40.0";"15.7";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"20.0";"";"";
"29.08.2020 06:00";"21.8";"745.1";"756.5";"";"63";"Wind blowing from the south-east";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"14.5";"";"";"";"";"";"";
"29.08.2020 05:00";"22.0";"745.0";"756.4";"";"60";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"13.9";"";"";"";"";"";"";
"29.08.2020 04:00";"22.4";"744.7";"755.9";"0.0";"58";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"13.6";"";"";"";"";"";"";
"29.08.2020 03:00";"23.0";"744.5";"755.8";"";"52";"Wind blowing from the south-east";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"12.7";"";"";"";"";"";"";
"29.08.2020 02:00";"23.2";"744.5";"755.8";"";"50";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"12.1";"";"";"";"";"";"";
"29.08.2020 01:00";"23.4";"744.7";"756.0";"-0.5";"49";"Wind blowing from the south-east";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"12.1";"No precipitation";"6";"";"";"";"";
"29.08.2020 00:00";"24.3";"744.8";"756.1";"";"47";"Wind blowing from the south-east";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"12.1";"";"";"";"";"";"";
"28.08.2020 23:00";"24.3";"745.0";"756.4";"";"46";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"12.0";"";"";"";"";"";"";
"28.08.2020 22:00";"25.2";"745.2";"756.4";"0.0";"43";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"11.8";"";"";"";"";"";"";
"28.08.2020 21:00";"25.6";"745.3";"756.5";"";"44";"Wind blowing from the south-east";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"12.4";"";"";"";"";"";"";
"28.08.2020 20:00";"26.4";"745.3";"756.5";"";"45";"Wind blowing from the south-east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"40.0";"13.5";"";"";"";"";"";"";
"28.08.2020 19:00";"27.2";"745.2";"756.4";"-0.4";"44";"Wind blowing from the south-east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"31.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"40.0";"13.9";"No precipitation";"12";"";"";"";"";
"28.08.2020 18:00";"29.0";"745.2";"756.3";"";"38";"Wind blowing from the south-east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"40.0";"13.4";"";"";"";"";"";"";
"28.08.2020 17:00";"30.1";"745.4";"756.5";"";"34";"Wind blowing from the south-east";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"40.0";"12.5";"";"";"";"";"";"";
"28.08.2020 16:00";"31.0";"745.6";"756.7";"-1.5";"29";"Wind blowing from the south-east";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"11.2";"";"";"";"";"";"";
"28.08.2020 15:00";"31.0";"745.9";"757.0";"";"29";"Wind blowing from the east-southeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"11.1";"";"";"";"";"";"";
"28.08.2020 14:00";"31.0";"746.4";"757.5";"";"29";"Wind blowing from the east-southeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"11.1";"";"";"";"";"";"";
"28.08.2020 13:00";"30.1";"747.1";"758.2";"-0.9";"29";"Wind blowing from the east-southeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"10.3";"No precipitation";"6";"";"";"";"";
"28.08.2020 12:00";"29.4";"747.5";"758.7";"";"31";"Wind blowing from the east-southeast";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"10.5";"";"";"";"";"";"";
"28.08.2020 11:00";"29.0";"747.9";"759.1";"";"35";"Wind blowing from the east-southeast";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"11.8";"";"";"";"";"";"";
"28.08.2020 10:00";"27.2";"748.0";"759.2";"0.1";"37";"Wind blowing from the east-southeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"11.1";"";"";"";"";"";"";
"28.08.2020 09:00";"26.0";"748.0";"759.3";"";"38";"Wind blowing from the east-southeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"10.5";"";"";"";"";"";"";
"28.08.2020 08:00";"24.2";"748.0";"759.4";"";"42";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"10.5";"";"";"";"";"";"";
"28.08.2020 07:00";"21.5";"747.9";"759.3";"0.2";"49";"Wind blowing from the east-southeast";"2";"";"";"10%  or less, but not 0";" ";"";"";"18.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"10.3";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"14.0";"";"";
"28.08.2020 06:00";"19.8";"747.9";"759.4";"";"53";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"10.0";"";"";"";"";"";"";
"28.08.2020 05:00";"18.8";"747.7";"759.3";"";"53";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"9.0";"";"";"";"";"";"";
"28.08.2020 04:00";"20.2";"747.7";"759.1";"-0.4";"44";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"7.6";"";"";"";"";"";"";
"28.08.2020 03:00";"20.4";"747.7";"759.2";"";"42";"Wind blowing from the east-southeast";"2";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"40.0";"7.0";"";"";"";"";"";"";
"28.08.2020 02:00";"20.0";"748.0";"759.4";"";"44";"Wind blowing from the east-southeast";"2";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"40.0";"7.4";"";"";"";"";"";"";
"28.08.2020 01:00";"20.3";"748.1";"759.6";"-0.7";"46";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"8.3";"No precipitation";"6";"";"";"";"";
"28.08.2020 00:00";"20.3";"748.3";"759.8";"";"50";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"50.0";"9.4";"";"";"";"";"";"";
"27.08.2020 23:00";"20.3";"748.6";"760.2";"";"53";"Wind blowing from the east-southeast";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"50.0";"10.5";"";"";"";"";"";"";
"27.08.2020 22:00";"20.8";"748.8";"760.3";"0.1";"55";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"50.0";"11.5";"";"";"";"";"";"";
"27.08.2020 21:00";"21.3";"748.6";"760.1";"";"56";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"50.0";"12.1";"";"";"";"";"";"";
"27.08.2020 20:00";"22.1";"748.8";"760.3";"";"54";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"50.0";"12.3";"";"";"";"";"";"";
"27.08.2020 19:00";"23.9";"748.7";"760.1";"-0.3";"43";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"50.0";"10.5";"No precipitation";"12";"";"";"";"";
"27.08.2020 18:00";"25.7";"748.7";"760.0";"";"36";"Wind blowing from the north-northeast";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"50.0";"9.5";"";"";"";"";"";"";
"27.08.2020 17:00";"26.7";"748.8";"760.0";"";"36";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"50.0";"10.2";"";"";"";"";"";"";
