,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11,Action 12,Action 13,Action 14,Action 15,Action 16,Action 17,Action 18,Action 19,Action 20,Action to Next Point
1746,1,2,3,-1,-1,-1,-2,0,2,1,1,-2,-2,-3,-2,0,1,1,-2,-2,-2
1747,-2,-2,-1,2,3,2,1,-1,-3,-2,-2,3,3,2,-1,-2,-3,-2,-1,2,2
1748,-2,-2,-2,-1,-1,3,2,-1,-2,-2,-2,3,3,2,0,-3,-1,1,1,3,1
1749,-3,2,3,3,3,-3,-3,-3,-3,2,3,3,-2,-3,-2,1,2,3,3,2,-2
1750,2,2,-2,-2,-1,2,3,3,-2,-2,-3,-2,-2,3,3,1,-2,0,-3,-1,2
1751,2,2,1,-1,-3,-2,1,2,2,0,-1,-2,-2,2,1,1,0,-2,-2,0,2
1752,3,-2,-1,-2,2,3,2,2,-2,-3,-2,-2,2,3,2,-2,-3,-3,1,2,2
1753,3,3,-2,-3,-3,-3,2,3,3,3,-3,-3,-3,-3,2,3,3,-2,-3,-2,1
1754,-1,-2,-1,1,1,2,2,2,0,-2,-2,2,2,2,0,-1,-2,-1,1,2,1
1755,-2,-1,2,1,-1,-2,-3,-2,0,2,2,0,-2,-2,1,2,2,2,0,-1,-3
1756,-2,-3,-2,0,1,1,-2,-2,-2,-2,0,1,2,1,-2,-1,-1,2,2,2,0
1757,2,3,2,2,-2,-2,-2,1,3,2,1,-3,-3,-3,1,2,2,1,-1,-2,-1
1758,-2,-2,-2,0,0,3,1,-1,-1,-3,-2,2,2,2,0,-2,-2,1,0,3,2
1759,2,3,2,-2,-3,-2,-2,1,3,2,0,-2,-2,1,2,3,2,2,-3,-3,-2
1760,-1,-2,2,3,3,3,0,-3,-3,-2,3,2,2,-2,-3,-2,0,2,2,2,1
1761,1,-1,-1,0,2,2,-1,-2,-2,-2,-1,2,2,2,0,-1,-2,2,2,2,2
1762,3,3,3,3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-1,2,1,-2,-1,-3,0
1763,-3,-3,1,2,3,2,-2,-3,-2,-2,1,3,2,0,-2,-2,1,2,3,2,2
