Region No,Group No,Point 1 Orig Rt,Point 1 Agent Difference,Point 1 Action to Next Point,Point 2 Orig Rt,Point 2 Agent Difference,Point 2 Action to Next Point,Point 3 Orig Rt,Point 3 Agent Difference,Point 3 Action to Next Point,Goal Point Orig Rt,Goal Point Agent Difference,Next Point Rt Orig,Next Point Agent Difference,Agent Action to Next Point
5,57,0.9141038856977781,0.006939066896959778,0,0.9141038856977781,0.006939066896959778,0,0.8469522468743743,0.010136729160416302,7,0.8372585401323333,0.0004430224183752385,0.8372585401323333,0.836815517713958,0
5,58,0.8372585401323333,0.0004430224183752385,0,0.8372585401323333,0.0004430224183752385,0,0.9141803964898538,0.00701557768903549,2,1.2043901721492094,0.14687834268378874,1.2677786318202195,1.207858840130023,4
5,59,1.2043901721492094,0.14687834268378874,4,1.2677786318202195,0.05991979169019657,4,1.3797037691887455,0.021497918394120186,4,1.3797037691887455,-0.006391237838363262,1.2742774097976723,1.4139841632595922,1
5,60,1.3797037691887455,-0.006391237838363262,1,1.2742774097976723,-0.005783799134216228,8,1.2742774097976723,-0.005783799134216228,0,1.3372401645317051,-0.013170345487043766,1.8381768444303621,1.4207598111056092,2
5,61,1.3372401645317051,-0.013170345487043766,2,1.8381768444303621,-0.057507151424075476,5,2.188429254045126,0.14239824752608587,4,2.188429254045126,-0.007948763138516668,1.8365316856953786,2.346725027848245,4
5,62,2.188429254045126,-0.007948763138516668,4,1.8365316856953786,0.18542715434742485,10,1.7147696095667457,-0.006684222868068357,2,1.7147696095667457,-0.006684222868068357,1.8044731314677167,1.721453832434814,0
5,63,1.7147696095667457,-0.006684222868068357,0,1.8044731314677167,0.012669997946042288,2,1.8044731314677167,0.012669997946042288,0,1.6341269248151937,-0.007329198041878371,1.5071765464032312,1.4911091121924698,9
5,64,1.6341269248151937,-0.007329198041878371,9,1.5071765464032312,0.0160674342107614,9,1.352770946590534,0.012008845062666529,9,1.1534162091929872,-0.03699888167027798,1.1534162091929872,1.0400680801986628,9
5,65,1.1534162091929872,-0.03699888167027798,9,1.1534162091929872,-0.009109725437794536,6,1.2538831532869237,-0.014676579439078186,3,1.587153003300061,0.16824625990945674,1.665685732458742,1.5692537540552065,4
5,66,1.587153003300061,0.16824625990945674,4,1.665685732458742,0.09643197840353546,4,1.665685732458742,-0.009601819691684721,3,1.6022560157932202,-0.002682235270346167,1.539926354785679,1.534588949976706,7
5,67,1.6022560157932202,-0.002682235270346167,7,1.539926354785679,0.005337404808972934,7,1.5000374184411829,-0.006662375303039703,6,1.5000374184411829,-0.006662375303039703,1.574327644900579,1.5066997937442226,0
5,68,1.5000374184411829,-0.006662375303039703,0,1.574327644900579,-0.0027214499305039386,2,1.60703529267793,0.0020970416143637483,1,1.60703529267793,0.0020970416143637483,1.4608228560921357,1.6049382510635664,0
5,69,1.60703529267793,0.0020970416143637483,0,1.4608228560921357,0.006231615693171655,9,1.4457037150063652,-0.00888752539259885,0,1.4457037150063652,-0.00888752539259885,1.5807986607405073,1.454591240398964,0
5,70,1.4457037150063652,-0.00888752539259885,0,1.5807986607405073,0.02017362224632313,3,1.704498895363859,-0.006473153794927633,4,1.704498895363859,-0.006473153794927633,1.6117499681604621,1.7109720491587865,0
5,71,1.704498895363859,-0.006473153794927633,0,1.6117499681604621,0.006811717096895764,8,1.3951875929994564,-0.05940364739950765,9,1.2649952965714217,-0.03924893316293998,1.2649952965714217,1.1538972190697594,9
5,72,1.2649952965714217,-0.03924893316293998,9,1.2649952965714217,-0.011359776930456533,6,1.3986905242800671,0.01630165268296868,3,1.4191617385266186,0.00888371069703675,1.4191617385266186,1.4381671840620653,1
5,73,1.4191617385266186,0.00888371069703675,1,1.4191617385266186,0.00888371069703675,0,1.2637643219613068,0.0038333047963272637,9,1.0670324788932275,-0.04255152760714975,0.9857754573310935,0.9592369958357749,9
5,74,1.0670324788932275,-0.04255152760714975,9,0.9857754573310935,-0.017774751074063566,8,0.9857754573310935,0.01011440515841977,6,1.1013325582113704,0.019637707943476634,1.1618540497048806,1.187728648363114,3
5,75,1.1013325582113704,0.019637707943476634,3,1.1618540497048806,0.009809898350126467,2,1.1618540497048806,0.009809898350126467,0,1.1057289078665302,-0.018426087255740464,1.0088364453354373,1.0962658388897872,6
5,76,1.1057289078665302,-0.018426087255740464,6,1.0088364453354373,-0.009284751691613247,8,1.0088364453354373,-0.009284751691613247,0,1.103810988541278,0.01534049042736707,1.26708446894958,1.1588197992007712,2
5,77,1.103810988541278,0.01534049042736707,2,1.26708446894958,0.02826696017106678,4,1.2842830891678674,0.017576424156870774,1,1.2842830891678674,-0.010312732075612674,1.1518630302885329,1.3224849774759635,1
5,78,1.2842830891678674,-0.010312732075612674,1,1.1518630302885329,0.007614219709655146,9,0.9534176661735773,-0.04048413374069815,9,0.9008014980770301,0.012933496257974908,0.9008014980770301,0.781834203723835,8
5,79,0.9008014980770301,0.012933496257974908,8,0.9008014980770301,0.012933496257974908,0,1.0204236472178705,-0.017791365265787062,4,1.0502319040330854,0.012016891549427866,1.0502319040330854,1.0382150124836576,0
5,80,1.0502319040330854,0.012016891549427866,0,1.0502319040330854,0.012016891549427866,0,1.0034857702588438,-0.006840085992330325,6,0.8883775614855358,-0.01591449667041811,0.8883775614855358,0.7982582600607337,8
5,81,0.8883775614855358,-0.01591449667041811,8,0.8883775614855358,0.011974659562065226,6,0.9082603371677119,0.0039682790117580025,1,1.019822983433405,0.009497127182230836,1.019822983433405,1.1163596543463943,3
5,82,1.019822983433405,0.009497127182230836,3,1.019822983433405,0.009497127182230836,0,0.9533817308936647,0.01340517572935096,7,0.9097959458698516,-0.0022914530619788653,0.8153817916369427,0.8841982426993471,6
5,83,0.9097959458698516,-0.0022914530619788653,6,0.8153817916369427,0.009328190800332425,8,0.8153817916369427,0.009328190800332425,0,0.85330431697863,0.019361559909536363,0.9613983800196494,0.8618319133015769,1
5,84,0.85330431697863,0.019361559909536363,1,0.9613983800196494,0.021421824855335614,3,0.9613983800196494,-0.0064673313771477225,1,0.9421186147668863,0.0021420596025725214,0.8927150506722222,0.9120873989318304,6
5,85,0.9421186147668863,0.0021420596025725214,6,0.8927150506722222,-0.019372348259608207,6,0.7702072954809979,0.008466907213769859,9,0.7026516442415525,0.011260557061184784,0.7026516442415525,0.6210417860935074,7
