Region No,Group No,Current Point (Orig) Rt,Current Point (Agent) Rt,Current Point (Orig vs Agent) Rt Difference,Agent Action to Next Point (Index),Agent Action to Next Point (Value),Goal Point (Orig) Rt,Goal Point (Agent) Rt,Goal Point (Eval) Rt,Goal Point (Orig vs Agent) Rt Difference,Goal Point (Orig vs Eval) Rt Difference,Goal Point (Agent vs Eval) Rt Difference,Point Impact,Point Impact Percentage,Most Impactful?
1,1,3.3202382855333386,3.3202382855333386,0.0,0,0,2.4859261933681522,2.4779597574347076,1.6378751720973632,0.007966435933444593,-0.848051021270789,0.8400845853373444,0.8560174572042336,55,1
1,1,3.128535196053666,3.103367034360293,0.025168161693373214,15,-0.21687125117304554,2.4859261933681522,2.4779597574347076,1.8684853523760117,0.007966435933444593,-0.6174408409921406,0.609474405058696,0.6254072769255852,41,0
1,1,2.4859261933681522,2.538978510480416,-0.05305231711226366,16,-0.5643885238798768,2.4859261933681522,2.4779597574347076,2.4328738762558886,0.007966435933444593,-0.05305231711226366,0.045085881178819065,0.06101875304570825,4,0
1,2,2.4859261933681522,2.4779597574347076,0.007966435933444593,11,-0.06101875304570832,4.234013222920847,4.171125329074338,5.990066688406987,0.06288789384650872,1.7560534654861395,-1.8189413593326487,1.6931655716396308,50,1
1,2,2.4859261933681522,3.0423482813145846,-0.5564220879464323,8,0.5643885238798768,4.234013222920847,4.171125329074338,5.42567816452711,0.06288789384650872,1.1916649416062626,-1.2545528354527713,1.1287770477597538,33,0
1,2,4.234013222920847,3.6067368051944615,0.6272764177263856,8,0.5643885238798768,4.234013222920847,4.171125329074338,4.861289640647232,0.06288789384650872,0.6272764177263856,-0.6901643115728939,0.5643885238798769,17,0
1,3,4.234013222920847,4.171125329074338,0.06288789384650872,8,0.5643885238798768,2.4340700028232893,2.4779597574347076,0.6970146765722403,-0.04388975461141831,-1.737055326251049,1.7809450808624674,1.6931655716396308,50,1
1,3,3.7700578354986813,3.6067368051944615,0.16332103030421985,16,-0.5643885238798768,2.4340700028232893,2.4779597574347076,1.2614032004521172,-0.04388975461141831,-1.1726668023711722,1.2165565569825905,1.1287770477597538,33,0
1,3,2.758108367973172,3.0423482813145846,-0.28423991334141263,16,-0.5643885238798768,2.4340700028232893,2.4779597574347076,1.825791724331994,-0.04388975461141831,-0.6082782784912952,0.6521680331027135,0.5643885238798769,17,0
1,4,2.4340700028232893,2.4779597574347076,-0.04388975461141831,16,-0.5643885238798768,2.5972681952373313,2.5876325184681646,2.716576633039955,0.009635676769166768,0.11930843780262368,-0.12894411457179045,0.10967276103345691,25,0
1,4,2.415340177137338,2.4169410043889994,-0.0016008272516612188,11,-0.06101875304570832,2.5972681952373313,2.5876325184681646,2.7775953860856633,0.009635676769166768,0.18032719084833193,-0.1899628676174987,0.17069151407916516,39,1
1,4,2.415340177137338,2.430679933494602,-0.015339756357263923,1,0.01373892910560273,2.5972681952373313,2.5876325184681646,2.7638564569800605,0.009635676769166768,0.16658826174272923,-0.176223938511896,0.15695258497356246,36,0
1,5,2.5972681952373313,2.5876325184681646,0.009635676769166768,6,0.1569525849735625,2.535741164403585,2.5388268217475165,2.483849810339006,-0.0030856573439312918,-0.05189135406457934,0.054977011408510634,0.04880569672064805,21,0
1,5,2.627218221793697,2.6242626331994026,0.002955588594294234,2,0.03663011473123785,2.535741164403585,2.5388268217475165,2.447219695607768,-0.0030856573439312918,-0.08852146879581735,0.09160712613974864,0.08543581145188606,37,0
1,5,2.627218221793697,2.6242626331994026,0.002955588594294234,0,0,2.535741164403585,2.5388268217475165,2.433480766502165,-0.0030856573439312918,-0.10226039790142005,0.10534605524535134,0.09917474055748876,42,1
1,6,2.535741164403585,2.5388268217475165,-0.0030856573439312918,12,-0.08543581145188617,2.74545901083386,2.7419591438149595,2.9520911999202033,0.003499867018900371,0.2066321890863434,-0.21013205610524377,0.20313232206744303,47,0
1,6,2.535741164403585,2.5388268217475165,-0.0030856573439312918,0,0,2.74545901083386,2.7419591438149595,2.965830129025806,0.003499867018900371,0.2203711181919461,-0.22387098521084647,0.21687125117304573,50,1
1,6,2.74545901083386,2.7556980729205622,-0.010239062086702333,7,0.21687125117304554,2.74545901083386,2.7419591438149595,2.7352199487471576,0.003499867018900371,-0.010239062086702333,0.006739195067801962,0.013738929105602704,3,0
1,7,2.74545901083386,2.7419591438149595,0.003499867018900371,9,-0.01373892910560273,1.9957884148828353,2.0913453902958223,1.249617685950711,-0.09555697541298702,-0.7461707289321242,0.8417277043451112,0.6506137535191372,50,1
1,7,2.4825672019283083,2.525087892641914,-0.042520690713605536,15,-0.21687125117304554,1.9957884148828353,2.0913453902958223,1.4664889371237568,-0.09555697541298702,-0.5292994777590785,0.6248564531720655,0.43374250234609146,33,0
1,7,2.3184041268758366,2.308216641468868,0.010187485406968566,15,-0.21687125117304554,1.9957884148828353,2.0913453902958223,1.6833601882968026,-0.09555697541298702,-0.31242822658603275,0.4079852019990198,0.21687125117304573,17,0
1,8,1.9957884148828353,2.0913453902958223,-0.09555697541298702,15,-0.21687125117304554,1.6812872904157923,1.6808914394179766,1.284968119641365,0.00039585099781569433,-0.39631917077442735,0.39592331977661166,0.39671502177224305,58,1
1,8,1.9200424611826648,1.9343928053222599,-0.014350344139595128,14,-0.1569525849735625,1.6812872904157923,1.6808914394179766,1.4281817755093247,0.00039585099781569433,-0.2531055149064676,0.2527096639086519,0.2535013659042833,37,0
