,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action to Next Point
108,2,2,2,-2,-2,-2,-1,0,1,-1,-2
109,0,0,0,-1,-1,-1,2,2,2,2,-1
110,0,0,1,2,2,2,0,0,-2,-2,-2
111,0,2,3,3,-2,-3,-3,-3,2,3,3
112,3,2,2,0,-3,-3,-2,0,2,-2,-3
113,-3,-3,-2,3,2,2,-2,-3,-2,0,2
114,-1,-1,-1,1,-3,-2,0,1,2,1,0
115,-1,-2,-2,-2,-2,-1,1,0,-2,-2,-2
116,1,-2,-2,-2,-3,-2,-3,-3,0,0,1
117,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2
118,-1,1,2,2,-1,-1,-1,0,2,1,2
119,-2,-1,-1,2,2,0,-1,0,1,2,2
120,2,2,2,0,0,0,1,2,2,2,0
121,3,3,3,3,-3,-3,-3,1,2,2,-2
122,-2,0,2,2,1,0,-3,1,2,3,2
123,2,2,2,-2,-2,-2,1,2,3,3,-2
124,-1,1,0,0,-1,1,2,2,0,-2,-2
125,3,3,3,3,-3,-3,-3,-3,3,1,-2
126,2,-2,-2,0,0,3,1,1,-2,-2,-2
127,-3,-1,2,1,-2,-1,-3,0,0,2,3
128,-3,3,3,3,3,1,-2,2,3,3,3
129,0,-2,-2,-2,0,1,2,2,0,-1,-1
130,-2,2,2,2,0,-2,-2,1,0,3,2
131,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
132,1,-2,-1,2,2,1,-2,-1,-2,2,3
133,1,2,-1,-2,-2,-2,-2,-1,1,0,-2
134,-3,-3,-3,-3,-2,0,1,-3,-3,-3,-1
135,-3,-3,2,2,2,-1,-2,-3,0,-2,0
136,3,1,1,-2,-2,-2,2,1,2,0,-2
137,-1,-2,-2,2,2,2,1,0,-3,-2,2
138,2,2,1,-2,-3,-3,2,2,3,3,-1
139,-2,-2,1,2,2,1,-3,-3,-1,3,3
140,-3,-3,-3,2,2,0,1,1,2,2,3
141,2,3,2,-1,-2,-3,-2,-2,2,2,1
142,2,-1,-3,-3,-3,-3,-2,1,-1,-1,-2
143,0,-2,-3,-2,-1,3,3,3,2,-3,-3
144,1,1,-2,-2,-2,2,1,2,0,-2,-2
145,1,-2,-2,1,1,-2,-2,-3,-3,-2,3
146,-3,-3,-3,-3,-3,-3,-2,-2,-3,-3,1
147,1,0,0,-1,1,2,3,2,2,-3,-3
148,-3,-2,0,1,1,-2,-2,-2,-2,0,1
149,-3,-3,-1,-2,-3,0,-3,-2,-2,1,1
150,1,2,-1,-2,-2,0,2,2,2,-2,-2
151,-3,-3,-3,-1,-3,-3,-3,-1,2,1,-2
152,-2,2,2,1,-2,-3,-2,-2,2,3,-1
153,-1,1,2,-1,-2,-2,-2,-2,-1,1,0
154,2,2,-1,-2,-3,0,-2,0,1,1,1
155,-2,-2,-1,3,2,2,0,-3,-2,-1,2
156,2,2,2,-2,-2,0,0,3,1,1,-2
157,2,2,-1,-2,-3,-2,0,2,1,-2,0
158,0,0,2,2,2,2,-1,-2,-2,-2,-1
159,2,2,0,3,2,2,-2,-2,-2,0,2
160,-3,0,-1,-3,-3,-1,-3,-1,0,3,3
161,3,3,-2,-3,-3,-3,-3,2,0,1,-3
162,-1,-2,-3,-3,-2,2,2,2,1,-2,-2
163,-2,-2,-3,-3,-3,-3,1,2,-2,-2,-2
164,1,1,1,-2,-2,-2,-1,3,3,2,0
165,-2,2,2,2,2,-2,-2,-3,-2,2,2
166,-2,-1,1,1,-1,-2,-2,-1,0,2,2
167,0,-2,-2,-2,0,2,3,2,0,-2,-2
168,1,1,1,-1,-1,-2,-1,1,2,1,1
169,1,-1,-3,-2,-2,-1,0,1,-1,-2,-2
170,1,-1,-2,-2,-1,0,2,2,-1,-1,-1
171,-3,-3,2,3,-3,-2,2,3,3,-3,-3
172,-3,-3,-2,0,1,-3,-3,-3,-1,0,1
173,-1,-1,0,0,3,2,2,-1,0,1,2
174,2,2,1,-1,-1,-3,-2,0,2,2,2
175,2,2,1,-2,-2,-1,2,2,2,2,-2
176,1,2,1,1,0,-2,-1,0,2,2,2
177,1,1,1,-2,-2,0,2,2,2,-1,-2
178,-2,0,2,2,2,2,0,-1,-1,0,0
179,0,-2,-3,-2,-2,-2,3,3,3,-2,-3
180,2,2,-2,-2,0,0,3,1,1,-2,-2
181,-3,-2,-1,1,3,2,-2,-2,-3,-2,2
182,1,2,3,2,2,-3,-3,-2,-1,1,2
183,2,2,-2,-2,-2,1,2,3,3,-2,0
184,-1,-1,1,1,0,0,0,0,-1,-1,2
185,2,0,-1,-2,-2,-1,1,1,2,0,0
186,1,-1,-1,-2,-1,-1,2,1,1,-1,-2
187,1,-2,0,-3,-1,2,3,3,3,-2,-2
188,2,2,0,-2,-2,-2,-1,2,1,-2,-2
189,3,2,-3,-3,1,2,1,-1,-3,-3,-1
190,2,2,0,-2,-2,-2,-2,-1,1,2,0
191,2,1,-1,-1,-1,2,2,2,0,-1,-2
192,2,1,-2,-1,0,0,3,2,1,-2,0
193,-2,-1,-3,-3,-3,1,2,2,2,1,0
194,0,-1,-2,-2,2,2,2,1,-3,-3,-2
195,-2,0,2,3,2,2,-2,-3,-2,-1,2
196,2,-1,-2,-2,-2,-2,0,0,-2,-2,-2
197,0,3,-2,-3,0,-1,2,1,1,-2,-2
198,-2,1,0,3,2,-1,-1,-1,2,2,2
199,1,0,-2,-2,-1,2,1,2,-2,-2,-2
200,2,2,-1,-2,-2,-2,1,2,1,-1,-2
201,2,2,3,1,-2,-2,-1,2,3,2,1
202,-1,-2,2,0,1,-1,-1,-2,-1,1,1
203,-3,-2,0,1,0,-1,-2,-2,-2,-1,2
204,1,0,0,0,1,0,-1,-1,-1,2,3
205,0,-2,-3,-2,-2,1,2,1,1,0,1
206,-2,1,3,3,-2,-3,-3,-3,-3,2,0
207,-1,2,2,0,-1,-2,-1,0,1,2,0
208,-3,0,-2,0,1,1,1,-1,-2,-1,0
209,-2,-1,-1,2,3,3,1,-2,-3,-2,-2
210,0,2,3,3,3,3,3,-1,-3,-2,-2
211,0,1,2,1,1,0,-1,1,2,3,-1
212,-2,-2,-2,-1,1,1,2,-1,-2,1,-1
213,-3,-3,0,2,3,3,3,-3,-3,-3,1
214,3,2,1,-3,-3,-3,1,2,2,1,-1
215,0,2,2,1,-1,-1,-1,1,2,2,2
216,3,-2,-2,-3,-2,-2,3,3,1,-2,0
217,-3,-3,-3,1,3,3,3,3,2,1,2
218,2,0,-1,-1,0,0,0,-3,-2,-1,1
219,-3,-3,1,2,2,2,1,0,0,0,1
220,-1,0,2,2,3,2,1,1,1,-1,3
221,-1,-2,0,1,2,1,-1,-2,-2,-1,0
222,2,2,1,0,-1,2,2,2,2,0,-1
223,1,2,-2,-2,-1,2,2,2,1,-2,-3
224,-2,-2,-2,1,2,2,0,-1,-2,-1,-1
225,0,0,-3,-2,-1,1,3,2,-2,-2,-3
226,3,3,0,-3,-3,-3,-1,2,2,2,2
227,-1,3,3,3,3,-3,-3,-3,-3,-2,3
228,-2,-2,1,2,2,0,-1,-2,-2,1,2
