Date,Country,Cases,Cumulative Cases,Deaths,Cumulative Deaths,Tests,Cumulative Tests,Meeting Friends/Family (indoor),Meeting Friends/Family (outdoor),Domestic Travel,International Travel,Cafes and Restaurants,Pubs and bars,Sports and leisure,Schools Closure,Temperature,Humidity,Nursing & Care Home Visit
07/03/2020,15,295,131238,,0,,0,,,,,,,,,3,0,
07/04/2020,15,148,131386,,0,,0,,,,,,,,,3,0,
07/05/2020,15,414,131800,,0,,0,,,,,,,,,3,0,
07/06/2020,15,529,132329,,0,,0,,,,,,,,,3,0,
07/07/2020,15,656,132985,,0,,0,,,,,,,,,3,0,
07/08/2020,15,422,133407,,0,,0,,,,,,,,,3,0,
07/09/2020,15,593,134000,,0,,0,,,,,,,,,3,0,
07/10/2020,15,465,134465,,0,,0,,,,,,,,,3,0,
07/11/2020,15,284,134749,,0,,0,,,,,,,,,3,0,
07/12/2020,15,681,135430,,0,,0,,,,,,,,,3,1,
7/13/2020,15,904,136334,,0,,0,,,,,,,,,3,0,
7/14/2020,15,1195,137529,,0,,0,,,,,,,,,3,0,
7/15/2020,15,968,138497,,0,,0,,,,,,,,,3,0,
7/16/2020,15,1212,139709,,0,,0,,,,,,,,,3,0,
7/17/2020,15,920,140629,,0,,0,,,,,,,,,3,0,
7/18/2020,15,467,141096,,0,,0,,,,,,,,,3,0,
7/19/2020,15,1527,142623,,0,,0,,,,,,,,,3,0,
7/20/2020,15,1979,144602,,0,,0,,,,,,,,,3,0,
7/21/2020,15,2432,147034,,0,,0,,,,,,,,,3,0,
7/22/2020,15,1777,148811,,0,,0,,,,,,,,,3,1,
7/23/2020,15,2076,150887,,0,,0,,,,,,,,,3,0,
7/24/2020,15,1623,152510,,0,,0,,,,,,,,,3,0,
7/25/2020,15,752,153262,,0,,0,,,,,,,,,3,0,
7/26/2020,15,2120,155382,,0,,0,,,,,,,,,3,0,
7/27/2020,15,2730,158112,,0,,0,,,,,,,,,3,0,
7/28/2020,15,3406,161518,,0,,0,,,,,,,,,3,0,
7/29/2020,15,2216,163734,,0,,0,,,,,,,,,3,0,
7/30/2020,15,2638,166372,,0,,0,,,,,,,,,3,0,
7/31/2020,15,1960,168332,,0,,0,,,,,,,,,3,0,
08/01/2020,15,1031,169363,,0,,0,,,,,,,,,3,0,
08/02/2020,15,2844,172207,,0,,0,,,,,,,,,3,0,
08/03/2020,15,4764,176971,,0,,0,,,,,,,,,3,0,
08/04/2020,15,5748,182719,,0,,0,,,,,,,,,3,0,
08/05/2020,15,4267,186986,,0,,0,,,,,,,,,3,0,
08/06/2020,15,3849,190835,,0,,0,,,,,,,,,3,0,
08/07/2020,15,2865,193700,,0,,0,,,,,,,,,3,0,
08/08/2020,15,1503,195203,,0,,0,,,,,,,,,3,0,
08/09/2020,15,2872,198075,,0,,0,,,,,,,,,3,0,
08/10/2020,15,4084,202159,,0,,0,,,,,,,,,3,0,
08/11/2020,15,5140,207299,,0,,0,,,,,,,,,3,1,
08/12/2020,15,4785,212084,,0,,0,,,,,,,,,3,1,
8/13/2020,15,5400,217484,,0,,0,,,,,,,,,3,1,
8/14/2020,15,4343,221827,,0,,0,,,,,,,,,3,1,
8/15/2020,15,1827,223654,,0,,0,,,,,,,,,3,0,
8/16/2020,15,5423,229077,,0,,0,,,,,,,,,3,1,
8/17/2020,15,7127,236204,,0,,0,,,,,,,,,3,1,
8/18/2020,15,9352,245556,,0,,0,,,,,,,,,3,1,
8/19/2020,15,6274,251830,,0,,0,,,,,,,,,3,0,
8/20/2020,15,7286,259116,,0,,0,,,,,,,,,3,0,
8/21/2020,15,5063,264179,,0,,0,,,,,,,,,3,1,
8/22/2020,15,2716,266895,,0,,0,,,,,,,,,3,0,
8/23/2020,15,6460,273355,,0,,0,,,,,,,,,3,0,
8/24/2020,15,8833,282188,,0,,0,,,,,,,,,3,0,
8/25/2020,15,11265,293453,,0,,0,,,,,,,,,3,0,
8/26/2020,15,8024,301477,,0,,0,,,,,,,,,3,0,
8/27/2020,15,8911,310388,,0,,0,,,,,,,,,3,0,
8/28/2020,15,6479,316867,,0,,0,,,,,,,,,3,0,
8/29/2020,15,3260,320127,,0,,0,,,,,,,,,2,0,
8/30/2020,15,7857,327984,,0,,0,,,,,,,,,2,0,
8/31/2020,15,10562,338546,,0,,0,,,,,,,,,2,0,
04/03/2020,1,21,21,,,,,,,,,,,,,1,1,
04/04/2020,1,24,45,,0,,0,,,,,,,,,2,1,
04/05/2020,1,28,73,,0,,0,,,,,,,,,2,1,
04/06/2020,1,25,98,,0,,0,,,,,,,,,2,0,
04/07/2020,1,16,114,,0,,0,,,,,,,,,2,0,
04/08/2020,1,13,127,,0,,0,,,,,,,,,2,1,
04/09/2020,1,11,138,,0,,0,,,,,,,,,2,1,
04/10/2020,1,11,149,,0,,0,,,,,,,,,2,1,
04/11/2020,1,11,160,,0,,0,,,,,,,,,2,1,
04/12/2020,1,12,172,,0,,0,,,,,,,,,2,1,
4/13/2020,1,17,189,,0,,0,,,,,,,,,2,1,
4/14/2020,1,14,203,,0,,0,,,,,,,,,2,1,
4/15/2020,1,16,219,,0,,0,,,,,,,,,2,1,
4/16/2020,1,17,236,,0,,0,,,,,,,,,2,1,
4/17/2020,1,22,258,,0,,0,,,,,,,,,2,1,
4/18/2020,1,18,276,,0,,0,,,,,,,,,2,1,
4/19/2020,1,14,290,,0,,0,,,,,,,,,2,1,
4/20/2020,1,15,305,,0,,0,,,,,,,,,2,2,
4/21/2020,1,21,326,,0,,0,,,,,,,,,2,2,
4/22/2020,1,24,350,,0,,0,,,,,,,,,2,2,
4/23/2020,1,26,376,,0,,0,,,,,,,,,2,1,
4/24/2020,1,23,399,,0,,0,,,,,,,,,2,1,
4/25/2020,1,26,425,,0,,0,,,,,,,,,2,1,
4/26/2020,1,21,446,,0,,0,,,,,,,,,2,1,
4/27/2020,1,19,465,,0,,0,,,,,,,,,2,1,
