Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action to Next Point
1,167,-2,-2,0,-1,2,1
1,168,-2,0,-1,2,1,-1
1,169,0,-1,2,1,-1,-2
1,170,-1,2,1,-1,-2,0
1,171,2,1,-1,-2,0,-3
1,172,1,-1,-2,0,-3,0
1,173,-1,-2,0,-3,0,-2
1,174,-2,0,-3,0,-2,-1
1,175,0,-3,0,-2,-1,-2
1,176,-3,0,-2,-1,-2,2
1,177,0,-2,-1,-2,2,0
1,178,-2,-1,-2,2,0,-2
1,179,-1,-2,2,0,-2,-2
1,180,-2,2,0,-2,-2,-3
1,181,2,0,-2,-2,-3,-2
1,182,0,-2,-2,-3,-2,-2
1,183,-2,-2,-3,-2,-2,-2
1,184,-2,-3,-2,-2,-2,1
1,185,-3,-2,-2,-2,1,2
1,186,-2,-2,-2,1,2,-1
1,187,-2,-2,1,2,-1,-1
1,188,-2,1,2,-1,-1,1
1,189,1,2,-1,-1,1,-1
1,190,2,-1,-1,1,-1,-1
1,191,-1,-1,1,-1,-1,2
1,192,-1,1,-1,-1,2,2
1,193,1,-1,-1,2,2,-1
1,194,-1,-1,2,2,-1,-2
1,195,-1,2,2,-1,-2,-2
1,196,2,2,-1,-2,-2,-2
1,197,2,-1,-2,-2,-2,-2
1,198,-1,-2,-2,-2,-2,-2
1,199,-2,-2,-2,-2,-2,0
1,200,-2,-2,-2,-2,0,-3
1,201,-2,-2,-2,0,-3,-2
1,202,-2,-2,0,-3,-2,-2
1,203,-2,0,-3,-2,-2,-2
1,204,0,-3,-2,-2,-2,2
1,205,-3,-2,-2,-2,2,1
1,206,-2,-2,-2,2,1,3
1,207,-2,-2,2,1,3,-2
1,208,-2,2,1,3,-2,2
1,209,2,1,3,-2,2,-2
1,210,1,3,-2,2,-2,-2
1,211,3,-2,2,-2,-2,-1
1,212,-2,2,-2,-2,-1,2
1,213,2,-2,-2,-1,2,3
1,214,-2,-2,-1,2,3,0
1,215,-2,-1,2,3,0,3
1,216,-1,2,3,0,3,0
