Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action to Next Point
1,151,-2,-2,-2,2,-1,1,-1,1
1,152,-2,-2,2,-1,1,-1,1,-2
1,153,-2,2,-1,1,-1,1,-2,2
1,154,2,-1,1,-1,1,-2,2,1
1,155,-1,1,-1,1,-2,2,1,2
1,156,1,-1,1,-2,2,1,2,2
1,157,-1,1,-2,2,1,2,2,1
1,158,1,-2,2,1,2,2,1,-2
1,159,-2,2,1,2,2,1,-2,-2
1,160,2,1,2,2,1,-2,-2,-2
1,161,1,2,2,1,-2,-2,-2,-1
1,162,2,2,1,-2,-2,-2,-1,-1
1,163,2,1,-2,-2,-2,-1,-1,-1
1,164,1,-2,-2,-2,-1,-1,-1,1
1,165,-2,-2,-2,-1,-1,-1,1,2
1,166,-2,-2,-1,-1,-1,1,2,-1
1,167,-2,-1,-1,-1,1,2,-1,-2
1,168,-1,-1,-1,1,2,-1,-2,-2
1,169,-1,-1,1,2,-1,-2,-2,-2
1,170,-1,1,2,-1,-2,-2,-2,-3
1,171,1,2,-1,-2,-2,-2,-3,2
1,172,2,-1,-2,-2,-2,-3,2,-1
1,173,-1,-2,-2,-2,-3,2,-1,-2
1,174,-2,-2,-2,-3,2,-1,-2,1
1,175,-2,-2,-3,2,-1,-2,1,1
1,176,-2,-3,2,-1,-2,1,1,-2
1,177,-3,2,-1,-2,1,1,-2,-2
1,178,2,-1,-2,1,1,-2,-2,-3
1,179,-1,-2,1,1,-2,-2,-3,-2
1,180,-2,1,1,-2,-2,-3,-2,-2
1,181,1,1,-2,-2,-3,-2,-2,-2
1,182,1,-2,-2,-3,-2,-2,-2,2
1,183,-2,-2,-3,-2,-2,-2,2,1
1,184,-2,-3,-2,-2,-2,2,1,-1
1,185,-3,-2,-2,-2,2,1,-1,0
1,186,-2,-2,-2,2,1,-1,0,1
1,187,-2,-2,2,1,-1,0,1,-1
1,188,-2,2,1,-1,0,1,-1,-2
1,189,2,1,-1,0,1,-1,-2,2
1,190,1,-1,0,1,-1,-2,2,2
1,191,-1,0,1,-1,-2,2,2,1
1,192,0,1,-1,-2,2,2,1,-2
1,193,1,-1,-2,2,2,1,-2,-2
1,194,-1,-2,2,2,1,-2,-2,-2
1,195,-2,2,2,1,-2,-2,-2,-2
1,196,2,2,1,-2,-2,-2,-2,-2
1,197,2,1,-2,-2,-2,-2,-2,-2
1,198,1,-2,-2,-2,-2,-2,-2,-2
1,199,-2,-2,-2,-2,-2,-2,-2,-3
1,200,-2,-2,-2,-2,-2,-2,-3,0
1,201,-2,-2,-2,-2,-2,-3,0,-2
1,202,-2,-2,-2,-2,-3,0,-2,0
1,203,-2,-2,-2,-3,0,-2,0,2
1,204,-2,-2,-3,0,-2,0,2,2
1,205,-2,-3,0,-2,0,2,2,3
1,206,-3,0,-2,0,2,2,3,-1
1,207,0,-2,0,2,2,3,-1,-2
1,208,-2,0,2,2,3,-1,-2,-2
1,209,0,2,2,3,-1,-2,-2,-2
1,210,2,2,3,-1,-2,-2,-2,2
1,211,2,3,-1,-2,-2,-2,2,3
1,212,3,-1,-2,-2,-2,2,3,2
1,213,-1,-2,-2,-2,2,3,2,3
1,214,-2,-2,-2,2,3,2,3,-2
1,215,-2,-2,2,3,2,3,-2,1
1,216,-2,2,3,2,3,-2,1,1
1,217,2,3,2,3,-2,1,1,-2
1,218,3,2,3,-2,1,1,-2,1
1,219,2,3,-2,1,1,-2,1,0
1,220,3,-2,1,1,-2,1,0,-1
1,221,-2,1,1,-2,1,0,-1,-2
1,222,1,1,-2,1,0,-1,-2,-2
1,223,1,-2,1,0,-1,-2,-2,-2
1,224,-2,1,0,-1,-2,-2,-2,-3
1,225,1,0,-1,-2,-2,-2,-3,1
1,226,0,-1,-2,-2,-2,-3,1,-2
1,227,-1,-2,-2,-2,-3,1,-2,-2
1,228,-2,-2,-2,-3,1,-2,-2,-3
1,229,-2,-2,-3,1,-2,-2,-3,2
1,230,-2,-3,1,-2,-2,-3,2,1
1,231,-3,1,-2,-2,-3,2,1,-2
1,232,1,-2,-2,-3,2,1,-2,-2
1,233,-2,-2,-3,2,1,-2,-2,2
1,234,-2,-3,2,1,-2,-2,2,2
1,235,-3,2,1,-2,-2,2,2,2
1,236,2,1,-2,-2,2,2,2,-1
1,237,1,-2,-2,2,2,2,-1,-2
1,238,-2,-2,2,2,2,-1,-2,-1
1,239,-2,2,2,2,-1,-2,-1,-1
1,240,2,2,2,-1,-2,-1,-1,-2
1,241,2,2,-1,-2,-1,-1,-2,-2
1,242,2,-1,-2,-1,-1,-2,-2,-2
1,243,-1,-2,-1,-1,-2,-2,-2,-1
1,244,-2,-1,-1,-2,-2,-2,-1,-2
1,245,-1,-1,-2,-2,-2,-1,-2,-2
1,246,-1,-2,-2,-2,-1,-2,-2,-2
1,247,-2,-2,-2,-1,-2,-2,-2,-2
1,248,-2,-2,-1,-2,-2,-2,-2,-2
1,249,-2,-1,-2,-2,-2,-2,-2,1
1,250,-1,-2,-2,-2,-2,-2,1,-2
1,251,-2,-2,-2,-2,-2,1,-2,-2
1,252,-2,-2,-2,-2,1,-2,-2,-2
2,1,0,-1,-1,-1,-2,-1,-2,-2
2,2,-1,-1,-1,-2,-1,-2,-2,-2
2,3,-1,-1,-2,-1,-2,-2,-2,-2
2,4,-1,-2,-1,-2,-2,-2,-2,-1
2,5,-2,-1,-2,-2,-2,-2,-1,-1
2,6,-1,-2,-2,-2,-2,-1,-1,1
2,7,-2,-2,-2,-2,-1,-1,1,1
2,8,-2,-2,-2,-1,-1,1,1,-1
2,9,-2,-2,-1,-1,1,1,-1,-1
2,10,-2,-1,-1,1,1,-1,-1,-2
2,11,-1,-1,1,1,-1,-1,-2,-1
2,12,-1,1,1,-1,-1,-2,-1,-1
2,13,1,1,-1,-1,-2,-1,-1,2
2,14,1,-1,-1,-2,-1,-1,2,2
2,15,-1,-1,-2,-1,-1,2,2,2
2,16,-1,-2,-1,-1,2,2,2,-1
2,17,-2,-1,-1,2,2,2,-1,-2
2,18,-1,-1,2,2,2,-1,-2,-2
2,19,-1,2,2,2,-1,-2,-2,-1
2,20,2,2,2,-1,-2,-2,-1,0
2,21,2,2,-1,-2,-2,-1,0,-2
2,22,2,-1,-2,-2,-1,0,-2,-2
2,23,-1,-2,-2,-1,0,-2,-2,-2
2,24,-2,-2,-1,0,-2,-2,-2,-2
2,25,-2,-1,0,-2,-2,-2,-2,1
2,26,-1,0,-2,-2,-2,-2,1,1
2,27,0,-2,-2,-2,-2,1,1,0
2,28,-2,-2,-2,-2,1,1,0,-2
2,29,-2,-2,-2,1,1,0,-2,-2
2,30,-2,-2,1,1,0,-2,-2,-2
2,31,-2,1,1,0,-2,-2,-2,-2
2,32,1,1,0,-2,-2,-2,-2,-2
2,33,1,0,-2,-2,-2,-2,-2,-2
2,34,0,-2,-2,-2,-2,-2,-2,2
2,35,-2,-2,-2,-2,-2,-2,2,2
2,36,-2,-2,-2,-2,-2,2,2,-1
2,37,-2,-2,-2,-2,2,2,-1,-2
2,38,-2,-2,-2,2,2,-1,-2,-2
2,39,-2,-2,2,2,-1,-2,-2,0
2,40,-2,2,2,-1,-2,-2,0,1
2,41,2,2,-1,-2,-2,0,1,2
2,42,2,-1,-2,-2,0,1,2,2
2,43,-1,-2,-2,0,1,2,2,2
2,44,-2,-2,0,1,2,2,2,2
2,45,-2,0,1,2,2,2,2,-1
2,46,0,1,2,2,2,2,-1,2
2,47,1,2,2,2,2,-1,2,3
2,48,2,2,2,2,-1,2,3,2
2,49,2,2,2,-1,2,3,2,3
2,50,2,2,-1,2,3,2,3,3
2,51,2,-1,2,3,2,3,3,2
2,52,-1,2,3,2,3,3,2,-1
2,53,2,3,2,3,3,2,-1,3
2,54,3,2,3,3,2,-1,3,2
2,55,2,3,3,2,-1,3,2,3
2,56,3,3,2,-1,3,2,3,-2
2,57,3,2,-1,3,2,3,-2,-2
2,58,2,-1,3,2,3,-2,-2,-2
2,59,-1,3,2,3,-2,-2,-2,-2
2,60,3,2,3,-2,-2,-2,-2,-2
2,61,2,3,-2,-2,-2,-2,-2,-2
2,62,3,-2,-2,-2,-2,-2,-2,-2
2,63,-2,-2,-2,-2,-2,-2,-2,2
2,64,-2,-2,-2,-2,-2,-2,2,3
2,65,-2,-2,-2,-2,-2,2,3,2
2,66,-2,-2,-2,-2,2,3,2,3
2,67,-2,-2,-2,2,3,2,3,2
2,68,-2,-2,2,3,2,3,2,2
2,69,-2,2,3,2,3,2,2,2
2,70,2,3,2,3,2,2,2,2
2,71,3,2,3,2,2,2,2,2
2,72,2,3,2,2,2,2,2,-2
2,73,3,2,2,2,2,2,-2,-3
2,74,2,2,2,2,2,-2,-3,-3
2,75,2,2,2,2,-2,-3,-3,-2
2,76,2,2,2,-2,-3,-3,-2,-2
2,77,2,2,-2,-3,-3,-2,-2,2
2,78,2,-2,-3,-3,-2,-2,2,2
2,79,-2,-3,-3,-2,-2,2,2,0
2,80,-3,-3,-2,-2,2,2,0,-2
2,81,-3,-2,-2,2,2,0,-2,-2
2,82,-2,-2,2,2,0,-2,-2,-2
2,83,-2,2,2,0,-2,-2,-2,-1
2,84,2,2,0,-2,-2,-2,-1,2
2,85,2,0,-2,-2,-2,-1,2,2
2,86,0,-2,-2,-2,-1,2,2,3
2,87,-2,-2,-2,-1,2,2,3,2
2,88,-2,-2,-1,2,2,3,2,2
2,89,-2,-1,2,2,3,2,2,2
2,90,-1,2,2,3,2,2,2,0
2,91,2,2,3,2,2,2,0,2
2,92,2,3,2,2,2,0,2,2
2,93,3,2,2,2,0,2,2,0
2,94,2,2,2,0,2,2,0,-2
2,95,2,2,0,2,2,0,-2,-2
2,96,2,0,2,2,0,-2,-2,-1
2,97,0,2,2,0,-2,-2,-1,-2
2,98,2,2,0,-2,-2,-1,-2,1
2,99,2,0,-2,-2,-1,-2,1,2
2,100,0,-2,-2,-1,-2,1,2,2
2,101,-2,-2,-1,-2,1,2,2,3
2,102,-2,-1,-2,1,2,2,3,-2
2,103,-1,-2,1,2,2,3,-2,-2
2,104,-2,1,2,2,3,-2,-2,-3
2,105,1,2,2,3,-2,-2,-3,2
2,106,2,2,3,-2,-2,-3,2,1
2,107,2,3,-2,-2,-3,2,1,-1
2,108,3,-2,-2,-3,2,1,-1,0
2,109,-2,-2,-3,2,1,-1,0,1
2,110,-2,-3,2,1,-1,0,1,2
2,111,-3,2,1,-1,0,1,2,2
2,112,2,1,-1,0,1,2,2,2
2,113,1,-1,0,1,2,2,2,3
2,114,-1,0,1,2,2,2,3,-2
2,115,0,1,2,2,2,3,-2,-2
2,116,1,2,2,2,3,-2,-2,-2
2,117,2,2,2,3,-2,-2,-2,-2
2,118,2,2,3,-2,-2,-2,-2,2
2,119,2,3,-2,-2,-2,-2,2,1
2,120,3,-2,-2,-2,-2,2,1,2
2,121,-2,-2,-2,-2,2,1,2,2
2,122,-2,-2,-2,2,1,2,2,2
2,123,-2,-2,2,1,2,2,2,0
2,124,-2,2,1,2,2,2,0,2
2,125,2,1,2,2,2,0,2,2
2,126,1,2,2,2,0,2,2,2
2,127,2,2,2,0,2,2,2,3
2,128,2,2,0,2,2,2,3,3
2,129,2,0,2,2,2,3,3,2
2,130,0,2,2,2,3,3,2,2
2,131,2,2,2,3,3,2,2,1
2,132,2,2,3,3,2,2,1,1
2,133,2,3,3,2,2,1,1,2
2,134,3,3,2,2,1,1,2,2
2,135,3,2,2,1,1,2,2,2
2,136,2,2,1,1,2,2,2,-2
2,137,2,1,1,2,2,2,-2,2
2,138,1,1,2,2,2,-2,2,-1
2,139,1,2,2,2,-2,2,-1,2
2,140,2,2,2,-2,2,-1,2,1
2,141,2,2,-2,2,-1,2,1,2
2,142,2,-2,2,-1,2,1,2,2
2,143,-2,2,-1,2,1,2,2,2
2,144,2,-1,2,1,2,2,2,-3
2,145,-1,2,1,2,2,2,-3,-2
2,146,2,1,2,2,2,-3,-2,-3
2,147,1,2,2,2,-3,-2,-3,-1
2,148,2,2,2,-3,-2,-3,-1,-2
2,149,2,2,-3,-2,-3,-1,-2,-2
2,150,2,-3,-2,-3,-1,-2,-2,-1
2,151,-3,-2,-3,-1,-2,-2,-1,2
2,152,-2,-3,-1,-2,-2,-1,2,3
2,153,-3,-1,-2,-2,-1,2,3,2
2,154,-1,-2,-2,-1,2,3,2,1
2,155,-2,-2,-1,2,3,2,1,2
2,156,-2,-1,2,3,2,1,2,2
2,157,-1,2,3,2,1,2,2,-1
2,158,2,3,2,1,2,2,-1,-1
2,159,3,2,1,2,2,-1,-1,1
2,160,2,1,2,2,-1,-1,1,2
2,161,1,2,2,-1,-1,1,2,1
2,162,2,2,-1,-1,1,2,1,-2
2,163,2,-1,-1,1,2,1,-2,1
2,164,-1,-1,1,2,1,-2,1,-1
2,165,-1,1,2,1,-2,1,-1,0
2,166,1,2,1,-2,1,-1,0,-2
2,167,2,1,-2,1,-1,0,-2,-2
2,168,1,-2,1,-1,0,-2,-2,-2
2,169,-2,1,-1,0,-2,-2,-2,-2
2,170,1,-1,0,-2,-2,-2,-2,-3
2,171,-1,0,-2,-2,-2,-2,-3,-3
2,172,0,-2,-2,-2,-2,-3,-3,-2
2,173,-2,-2,-2,-2,-3,-3,-2,-2
2,174,-2,-2,-2,-3,-3,-2,-2,-1
2,175,-2,-2,-3,-3,-2,-2,-1,2
2,176,-2,-3,-3,-2,-2,-1,2,2
2,177,-3,-3,-2,-2,-1,2,2,3
2,178,-3,-2,-2,-1,2,2,3,-2
2,179,-2,-2,-1,2,2,3,-2,-2
2,180,-2,-1,2,2,3,-2,-2,2
2,181,-1,2,2,3,-2,-2,2,3
2,182,2,2,3,-2,-2,2,3,3
2,183,2,3,-2,-2,2,3,3,3
2,184,3,-2,-2,2,3,3,3,2
2,185,-2,-2,2,3,3,3,2,-1
2,186,-2,2,3,3,3,2,-1,-2
2,187,2,3,3,3,2,-1,-2,-2
2,188,3,3,3,2,-1,-2,-2,-2
2,189,3,3,2,-1,-2,-2,-2,2
2,190,3,2,-1,-2,-2,-2,2,0
2,191,2,-1,-2,-2,-2,2,0,0
2,192,-1,-2,-2,-2,2,0,0,-2
2,193,-2,-2,-2,2,0,0,-2,1
2,194,-2,-2,2,0,0,-2,1,-1
2,195,-2,2,0,0,-2,1,-1,0
2,196,2,0,0,-2,1,-1,0,-1
2,197,0,0,-2,1,-1,0,-1,1
2,198,0,-2,1,-1,0,-1,1,-1
2,199,-2,1,-1,0,-1,1,-1,0
2,200,1,-1,0,-1,1,-1,0,2
2,201,-1,0,-1,1,-1,0,2,2
2,202,0,-1,1,-1,0,2,2,2
2,203,-1,1,-1,0,2,2,2,2
2,204,1,-1,0,2,2,2,2,-1
2,205,-1,0,2,2,2,2,-1,-2
2,206,0,2,2,2,2,-1,-2,-1
2,207,2,2,2,2,-1,-2,-1,2
2,208,2,2,2,-1,-2,-1,2,2
2,209,2,2,-1,-2,-1,2,2,2
2,210,2,-1,-2,-1,2,2,2,1
2,211,-1,-2,-1,2,2,2,1,1
2,212,-2,-1,2,2,2,1,1,-1
2,213,-1,2,2,2,1,1,-1,-1
2,214,2,2,2,1,1,-1,-1,-2
2,215,2,2,1,1,-1,-1,-2,-2
2,216,2,1,1,-1,-1,-2,-2,-2
2,217,1,1,-1,-1,-2,-2,-2,-2
2,218,1,-1,-1,-2,-2,-2,-2,0
2,219,-1,-1,-2,-2,-2,-2,0,1
2,220,-1,-2,-2,-2,-2,0,1,2
2,221,-2,-2,-2,-2,0,1,2,0
2,222,-2,-2,-2,0,1,2,0,1
2,223,-2,-2,0,1,2,0,1,2
2,224,-2,0,1,2,0,1,2,2
2,225,0,1,2,0,1,2,2,2
2,226,1,2,0,1,2,2,2,2
2,227,2,0,1,2,2,2,2,3
2,228,0,1,2,2,2,2,3,-1
2,229,1,2,2,2,2,3,-1,2
2,230,2,2,2,2,3,-1,2,2
2,231,2,2,2,3,-1,2,2,2
2,232,2,2,3,-1,2,2,2,0
2,233,2,3,-1,2,2,2,0,-1
2,234,3,-1,2,2,2,0,-1,-1
2,235,-1,2,2,2,0,-1,-1,-1
2,236,2,2,2,0,-1,-1,-1,-2
2,237,2,2,0,-1,-1,-1,-2,-3
2,238,2,0,-1,-1,-1,-2,-3,-2
2,239,0,-1,-1,-1,-2,-3,-2,-2
2,240,-1,-1,-1,-2,-3,-2,-2,-2
2,241,-1,-1,-2,-3,-2,-2,-2,1
2,242,-1,-2,-3,-2,-2,-2,1,0
2,243,-2,-3,-2,-2,-2,1,0,-2
2,244,-3,-2,-2,-2,1,0,-2,-2
2,245,-2,-2,-2,1,0,-2,-2,-2
2,246,-2,-2,1,0,-2,-2,-2,1
2,247,-2,1,0,-2,-2,-2,1,1
2,248,1,0,-2,-2,-2,1,1,0
2,249,0,-2,-2,-2,1,1,0,0
2,250,-2,-2,-2,1,1,0,0,2
2,251,-2,-2,1,1,0,0,2,2
2,252,-2,1,1,0,0,2,2,2
3,1,0,-2,-1,0,2,2,1,-2
3,2,-2,-1,0,2,2,1,-2,-2
3,3,-1,0,2,2,1,-2,-2,0
3,4,0,2,2,1,-2,-2,0,-1
3,5,2,2,1,-2,-2,0,-1,-2
3,6,2,1,-2,-2,0,-1,-2,-3
3,7,1,-2,-2,0,-1,-2,-3,-2
3,8,-2,-2,0,-1,-2,-3,-2,-2
3,9,-2,0,-1,-2,-3,-2,-2,-2
3,10,0,-1,-2,-3,-2,-2,-2,-2
3,11,-1,-2,-3,-2,-2,-2,-2,2
3,12,-2,-3,-2,-2,-2,-2,2,2
3,13,-3,-2,-2,-2,-2,2,2,2
3,14,-2,-2,-2,-2,2,2,2,1
3,15,-2,-2,-2,2,2,2,1,-2
3,16,-2,-2,2,2,2,1,-2,-2
3,17,-2,2,2,2,1,-2,-2,-3
3,18,2,2,2,1,-2,-2,-3,3
3,19,2,2,1,-2,-2,-3,3,-2
3,20,2,1,-2,-2,-3,3,-2,2
3,21,1,-2,-2,-3,3,-2,2,2
3,22,-2,-2,-3,3,-2,2,2,2
3,23,-2,-3,3,-2,2,2,2,2
3,24,-3,3,-2,2,2,2,2,2
3,25,3,-2,2,2,2,2,2,2
3,26,-2,2,2,2,2,2,2,1
3,27,2,2,2,2,2,2,1,2
3,28,2,2,2,2,2,1,2,3
3,29,2,2,2,2,1,2,3,0
3,30,2,2,2,1,2,3,0,2
3,31,2,2,1,2,3,0,2,2
3,32,2,1,2,3,0,2,2,3
3,33,1,2,3,0,2,2,3,2
3,34,2,3,0,2,2,3,2,-3
3,35,3,0,2,2,3,2,-3,-2
3,36,0,2,2,3,2,-3,-2,-2
3,37,2,2,3,2,-3,-2,-2,-1
3,38,2,3,2,-3,-2,-2,-1,2
3,39,3,2,-3,-2,-2,-1,2,-1
3,40,2,-3,-2,-2,-1,2,-1,-2
3,41,-3,-2,-2,-1,2,-1,-2,0
3,42,-2,-2,-1,2,-1,-2,0,2
3,43,-2,-1,2,-1,-2,0,2,2
3,44,-1,2,-1,-2,0,2,2,2
3,45,2,-1,-2,0,2,2,2,0
3,46,-1,-2,0,2,2,2,0,2
3,47,-2,0,2,2,2,0,2,2
3,48,0,2,2,2,0,2,2,2
3,49,2,2,2,0,2,2,2,3
3,50,2,2,0,2,2,2,3,-2
3,51,2,0,2,2,2,3,-2,-2
3,52,0,2,2,2,3,-2,-2,-3
3,53,2,2,2,3,-2,-2,-3,2
3,54,2,2,3,-2,-2,-3,2,2
3,55,2,3,-2,-2,-3,2,2,2
3,56,3,-2,-2,-3,2,2,2,0
3,57,-2,-2,-3,2,2,2,0,-2
3,58,-2,-3,2,2,2,0,-2,-2
3,59,-3,2,2,2,0,-2,-2,-2
3,60,2,2,2,0,-2,-2,-2,-2
3,61,2,2,0,-2,-2,-2,-2,-2
3,62,2,0,-2,-2,-2,-2,-2,2
3,63,0,-2,-2,-2,-2,-2,2,2
3,64,-2,-2,-2,-2,-2,2,2,1
3,65,-2,-2,-2,-2,2,2,1,2
3,66,-2,-2,-2,2,2,1,2,2
3,67,-2,-2,2,2,1,2,2,2
3,68,-2,2,2,1,2,2,2,3
3,69,2,2,1,2,2,2,3,2
3,70,2,1,2,2,2,3,2,2
3,71,1,2,2,2,3,2,2,0
3,72,2,2,2,3,2,2,0,1
3,73,2,2,3,2,2,0,1,2
3,74,2,3,2,2,0,1,2,2
