Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action to Next Point
1,96,-2,-2,-2,-2,-1,1,0,1,2,2,2
1,97,-2,-2,-2,-1,1,0,1,2,2,2,2
1,98,-2,-2,-1,1,0,1,2,2,2,2,2
1,99,-2,-1,1,0,1,2,2,2,2,2,-1
1,100,-1,1,0,1,2,2,2,2,2,-1,-1
1,101,1,0,1,2,2,2,2,2,-1,-1,-2
1,102,0,1,2,2,2,2,2,-1,-1,-2,-2
1,103,1,2,2,2,2,2,-1,-1,-2,-2,2
1,104,2,2,2,2,2,-1,-1,-2,-2,2,2
1,105,2,2,2,2,-1,-1,-2,-2,2,2,2
1,106,2,2,2,-1,-1,-2,-2,2,2,2,2
1,107,2,2,-1,-1,-2,-2,2,2,2,2,3
1,108,2,-1,-1,-2,-2,2,2,2,2,3,-2
1,109,-1,-1,-2,-2,2,2,2,2,3,-2,-2
1,110,-1,-2,-2,2,2,2,2,3,-2,-2,-2
1,111,-2,-2,2,2,2,2,3,-2,-2,-2,1
1,112,-2,2,2,2,2,3,-2,-2,-2,1,2
1,113,2,2,2,2,3,-2,-2,-2,1,2,2
1,114,2,2,2,3,-2,-2,-2,1,2,2,2
1,115,2,2,3,-2,-2,-2,1,2,2,2,2
1,116,2,3,-2,-2,-2,1,2,2,2,2,2
1,117,3,-2,-2,-2,1,2,2,2,2,2,2
1,118,-2,-2,-2,1,2,2,2,2,2,2,0
1,119,-2,-2,1,2,2,2,2,2,2,0,2
1,120,-2,1,2,2,2,2,2,2,0,2,2
1,121,1,2,2,2,2,2,2,0,2,2,2
1,122,2,2,2,2,2,2,0,2,2,2,1
1,123,2,2,2,2,2,0,2,2,2,1,2
1,124,2,2,2,2,0,2,2,2,1,2,-2
1,125,2,2,2,0,2,2,2,1,2,-2,-2
1,126,2,2,0,2,2,2,1,2,-2,-2,-1
1,127,2,0,2,2,2,1,2,-2,-2,-1,2
1,128,0,2,2,2,1,2,-2,-2,-1,2,2
1,129,2,2,2,1,2,-2,-2,-1,2,2,2
1,130,2,2,1,2,-2,-2,-1,2,2,2,2
1,131,2,1,2,-2,-2,-1,2,2,2,2,0
1,132,1,2,-2,-2,-1,2,2,2,2,0,-2
1,133,2,-2,-2,-1,2,2,2,2,0,-2,1
1,134,-2,-2,-1,2,2,2,2,0,-2,1,2
1,135,-2,-1,2,2,2,2,0,-2,1,2,2
1,136,-1,2,2,2,2,0,-2,1,2,2,3
1,137,2,2,2,2,0,-2,1,2,2,3,-2
1,138,2,2,2,0,-2,1,2,2,3,-2,2
1,139,2,2,0,-2,1,2,2,3,-2,2,2
1,140,2,0,-2,1,2,2,3,-2,2,2,2
1,141,0,-2,1,2,2,3,-2,2,2,2,3
1,142,-2,1,2,2,3,-2,2,2,2,3,-1
1,143,1,2,2,3,-2,2,2,2,3,-1,-2
1,144,2,2,3,-2,2,2,2,3,-1,-2,1
1,145,2,3,-2,2,2,2,3,-1,-2,1,2
1,146,3,-2,2,2,2,3,-1,-2,1,2,-2
1,147,-2,2,2,2,3,-1,-2,1,2,-2,-2
1,148,2,2,2,3,-1,-2,1,2,-2,-2,-3
1,149,2,2,3,-1,-2,1,2,-2,-2,-3,1
1,150,2,3,-1,-2,1,2,-2,-2,-3,1,1
1,151,3,-1,-2,1,2,-2,-2,-3,1,1,0
