Total errors 6398

13/09/2020 | Meeting Friends/Family (Indoor)          | East Midlands
13/09/2020 | Non-essential shops                      | East Midlands
12/09/2020 | Meeting Friends/Family (Indoor)          | East Midlands
12/09/2020 | Non-essential shops                      | East Midlands
11/09/2020 | Meeting Friends/Family (Indoor)          | East Midlands
11/09/2020 | Non-essential shops                      | East Midlands
10/09/2020 | Meeting Friends/Family (Indoor)          | East Midlands
10/09/2020 | Non-essential shops                      | East Midlands
09/09/2020 | Meeting Friends/Family (Indoor)          | East Midlands
09/09/2020 | Non-essential shops                      | East Midlands
08/09/2020 | Meeting Friends/Family (Indoor)          | East Midlands
08/09/2020 | Non-essential shops                      | East Midlands
07/09/2020 | Meeting Friends/Family (Indoor)          | East Midlands
07/09/2020 | Non-essential shops                      | East Midlands
06/09/2020 | Meeting Friends/Family (Indoor)          | East Midlands
06/09/2020 | Non-essential shops                      | East Midlands
05/09/2020 | Meeting Friends/Family (Indoor)          | East Midlands
05/09/2020 | Non-essential shops                      | East Midlands
04/09/2020 | Meeting Friends/Family (Indoor)          | East Midlands
04/09/2020 | Non-essential shops                      | East Midlands
03/09/2020 | Meeting Friends/Family (Indoor)          | East Midlands
03/09/2020 | Non-essential shops                      | East Midlands
02/09/2020 | Meeting Friends/Family (Indoor)          | East Midlands
02/09/2020 | Non-essential shops                      | East Midlands
01/09/2020 | Meeting Friends/Family (Indoor)          | East Midlands
01/09/2020 | Non-essential shops                      | East Midlands
31/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
31/08/2020 | Non-essential shops                      | East Midlands
30/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
30/08/2020 | Non-essential shops                      | East Midlands
29/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
29/08/2020 | Non-essential shops                      | East Midlands
28/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
28/08/2020 | Non-essential shops                      | East Midlands
27/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
27/08/2020 | Non-essential shops                      | East Midlands
26/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
26/08/2020 | Non-essential shops                      | East Midlands
25/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
25/08/2020 | Non-essential shops                      | East Midlands
24/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
24/08/2020 | Non-essential shops                      | East Midlands
23/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
23/08/2020 | Non-essential shops                      | East Midlands
22/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
22/08/2020 | Non-essential shops                      | East Midlands
21/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
21/08/2020 | Non-essential shops                      | East Midlands
20/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
20/08/2020 | Non-essential shops                      | East Midlands
19/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
19/08/2020 | Non-essential shops                      | East Midlands
18/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
18/08/2020 | Non-essential shops                      | East Midlands
17/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
17/08/2020 | Non-essential shops                      | East Midlands
16/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
16/08/2020 | Non-essential shops                      | East Midlands
15/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
15/08/2020 | Non-essential shops                      | East Midlands
14/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
14/08/2020 | Non-essential shops                      | East Midlands
13/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
13/08/2020 | Non-essential shops                      | East Midlands
12/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
12/08/2020 | Non-essential shops                      | East Midlands
11/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
11/08/2020 | Non-essential shops                      | East Midlands
10/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
10/08/2020 | Non-essential shops                      | East Midlands
09/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
09/08/2020 | Non-essential shops                      | East Midlands
08/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
08/08/2020 | Non-essential shops                      | East Midlands
07/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
07/08/2020 | Non-essential shops                      | East Midlands
06/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
06/08/2020 | Non-essential shops                      | East Midlands
05/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
05/08/2020 | Non-essential shops                      | East Midlands
04/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
04/08/2020 | Non-essential shops                      | East Midlands
03/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
03/08/2020 | Non-essential shops                      | East Midlands
02/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
02/08/2020 | Non-essential shops                      | East Midlands
01/08/2020 | Meeting Friends/Family (Indoor)          | East Midlands
01/08/2020 | Non-essential shops                      | East Midlands
31/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
31/07/2020 | Non-essential shops                      | East Midlands
30/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
30/07/2020 | Non-essential shops                      | East Midlands
29/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
29/07/2020 | Non-essential shops                      | East Midlands
28/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
28/07/2020 | Non-essential shops                      | East Midlands
27/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
27/07/2020 | Non-essential shops                      | East Midlands
26/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
26/07/2020 | Non-essential shops                      | East Midlands
25/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
25/07/2020 | Non-essential shops                      | East Midlands
24/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
24/07/2020 | Non-essential shops                      | East Midlands
23/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
23/07/2020 | Non-essential shops                      | East Midlands
22/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
22/07/2020 | Non-essential shops                      | East Midlands
21/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
21/07/2020 | Non-essential shops                      | East Midlands
20/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
20/07/2020 | Non-essential shops                      | East Midlands
19/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
19/07/2020 | Non-essential shops                      | East Midlands
18/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
18/07/2020 | Non-essential shops                      | East Midlands
17/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
17/07/2020 | Non-essential shops                      | East Midlands
16/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
16/07/2020 | Non-essential shops                      | East Midlands
15/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
15/07/2020 | Non-essential shops                      | East Midlands
14/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
14/07/2020 | Non-essential shops                      | East Midlands
13/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
13/07/2020 | Non-essential shops                      | East Midlands
12/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
12/07/2020 | Non-essential shops                      | East Midlands
11/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
11/07/2020 | Non-essential shops                      | East Midlands
10/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
10/07/2020 | Non-essential shops                      | East Midlands
09/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
09/07/2020 | Non-essential shops                      | East Midlands
08/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
08/07/2020 | Non-essential shops                      | East Midlands
07/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
07/07/2020 | Non-essential shops                      | East Midlands
06/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
06/07/2020 | Non-essential shops                      | East Midlands
05/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
05/07/2020 | Non-essential shops                      | East Midlands
04/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
04/07/2020 | Non-essential shops                      | East Midlands
03/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
03/07/2020 | Non-essential shops                      | East Midlands
02/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
02/07/2020 | Non-essential shops                      | East Midlands
01/07/2020 | Meeting Friends/Family (Indoor)          | East Midlands
01/07/2020 | Non-essential shops                      | East Midlands
30/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
30/06/2020 | Non-essential shops                      | East Midlands
29/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
29/06/2020 | Non-essential shops                      | East Midlands
28/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
28/06/2020 | Non-essential shops                      | East Midlands
27/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
27/06/2020 | Non-essential shops                      | East Midlands
26/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
26/06/2020 | Non-essential shops                      | East Midlands
25/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
25/06/2020 | Non-essential shops                      | East Midlands
24/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
24/06/2020 | Non-essential shops                      | East Midlands
23/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
23/06/2020 | Non-essential shops                      | East Midlands
22/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
22/06/2020 | Non-essential shops                      | East Midlands
