Total errors 18120

04/21/2020 | Pubs and bars                            | Spain
04/21/2020 | Sports and leisure                       | Spain
04/21/2020 | Schools Closure                          | Spain
04/22/2020 | Meeting Friends/Family (indoor)          | Spain
04/22/2020 | Meeting Friends/Family (outdoor)         | Spain
04/22/2020 | Domestic Travel                          | Spain
04/22/2020 | Cafes and Restaurants                    | Spain
04/22/2020 | Pubs and bars                            | Spain
04/22/2020 | Sports and leisure                       | Spain
04/22/2020 | Schools Closure                          | Spain
04/23/2020 | Meeting Friends/Family (indoor)          | Spain
04/23/2020 | Meeting Friends/Family (outdoor)         | Spain
04/23/2020 | Domestic Travel                          | Spain
04/23/2020 | Cafes and Restaurants                    | Spain
04/23/2020 | Pubs and bars                            | Spain
04/23/2020 | Sports and leisure                       | Spain
04/23/2020 | Schools Closure                          | Spain
04/24/2020 | Meeting Friends/Family (indoor)          | Spain
04/24/2020 | Meeting Friends/Family (outdoor)         | Spain
04/24/2020 | Domestic Travel                          | Spain
04/24/2020 | Cafes and Restaurants                    | Spain
04/24/2020 | Pubs and bars                            | Spain
04/24/2020 | Sports and leisure                       | Spain
04/24/2020 | Schools Closure                          | Spain
04/25/2020 | Meeting Friends/Family (indoor)          | Spain
04/25/2020 | Meeting Friends/Family (outdoor)         | Spain
04/25/2020 | Domestic Travel                          | Spain
04/25/2020 | Cafes and Restaurants                    | Spain
04/25/2020 | Pubs and bars                            | Spain
04/25/2020 | Sports and leisure                       | Spain
04/25/2020 | Schools Closure                          | Spain
04/26/2020 | Meeting Friends/Family (indoor)          | Spain
04/26/2020 | Meeting Friends/Family (outdoor)         | Spain
04/26/2020 | Domestic Travel                          | Spain
04/26/2020 | Cafes and Restaurants                    | Spain
04/26/2020 | Pubs and bars                            | Spain
04/26/2020 | Sports and leisure                       | Spain
04/26/2020 | Schools Closure                          | Spain
04/27/2020 | Meeting Friends/Family (indoor)          | Spain
04/27/2020 | Meeting Friends/Family (outdoor)         | Spain
04/27/2020 | Domestic Travel                          | Spain
04/27/2020 | Cafes and Restaurants                    | Spain
04/27/2020 | Pubs and bars                            | Spain
04/27/2020 | Sports and leisure                       | Spain
04/27/2020 | Schools Closure                          | Spain
04/28/2020 | Meeting Friends/Family (indoor)          | Spain
04/28/2020 | Meeting Friends/Family (outdoor)         | Spain
04/28/2020 | Domestic Travel                          | Spain
04/28/2020 | Cafes and Restaurants                    | Spain
04/28/2020 | Pubs and bars                            | Spain
04/28/2020 | Sports and leisure                       | Spain
04/28/2020 | Schools Closure                          | Spain
04/29/2020 | Meeting Friends/Family (indoor)          | Spain
04/29/2020 | Meeting Friends/Family (outdoor)         | Spain
04/29/2020 | Domestic Travel                          | Spain
04/29/2020 | Cafes and Restaurants                    | Spain
04/29/2020 | Pubs and bars                            | Spain
04/29/2020 | Sports and leisure                       | Spain
04/29/2020 | Schools Closure                          | Spain
04/30/2020 | Meeting Friends/Family (indoor)          | Spain
04/30/2020 | Meeting Friends/Family (outdoor)         | Spain
04/30/2020 | Domestic Travel                          | Spain
04/30/2020 | Cafes and Restaurants                    | Spain
04/30/2020 | Pubs and bars                            | Spain
04/30/2020 | Sports and leisure                       | Spain
04/30/2020 | Schools Closure                          | Spain
05/01/2020 | Meeting Friends/Family (indoor)          | Spain
05/01/2020 | Meeting Friends/Family (outdoor)         | Spain
05/01/2020 | Domestic Travel                          | Spain
05/01/2020 | Cafes and Restaurants                    | Spain
05/01/2020 | Pubs and bars                            | Spain
05/01/2020 | Sports and leisure                       | Spain
05/01/2020 | Schools Closure                          | Spain
05/02/2020 | Meeting Friends/Family (indoor)          | Spain
05/02/2020 | Meeting Friends/Family (outdoor)         | Spain
05/02/2020 | Domestic Travel                          | Spain
05/02/2020 | Cafes and Restaurants                    | Spain
05/02/2020 | Pubs and bars                            | Spain
05/02/2020 | Sports and leisure                       | Spain
05/02/2020 | Schools Closure                          | Spain
05/03/2020 | Meeting Friends/Family (indoor)          | Spain
05/03/2020 | Meeting Friends/Family (outdoor)         | Spain
05/03/2020 | Domestic Travel                          | Spain
05/03/2020 | Cafes and Restaurants                    | Spain
05/03/2020 | Pubs and bars                            | Spain
05/03/2020 | Sports and leisure                       | Spain
05/03/2020 | Schools Closure                          | Spain
05/04/2020 | Meeting Friends/Family (indoor)          | Spain
05/04/2020 | Meeting Friends/Family (outdoor)         | Spain
05/04/2020 | Domestic Travel                          | Spain
05/04/2020 | Cafes and Restaurants                    | Spain
05/04/2020 | Pubs and bars                            | Spain
05/04/2020 | Sports and leisure                       | Spain
05/04/2020 | Schools Closure                          | Spain
05/05/2020 | Meeting Friends/Family (indoor)          | Spain
05/05/2020 | Meeting Friends/Family (outdoor)         | Spain
05/05/2020 | Domestic Travel                          | Spain
05/05/2020 | Cafes and Restaurants                    | Spain
05/05/2020 | Pubs and bars                            | Spain
05/05/2020 | Sports and leisure                       | Spain
05/05/2020 | Schools Closure                          | Spain
05/06/2020 | Meeting Friends/Family (indoor)          | Spain
05/06/2020 | Meeting Friends/Family (outdoor)         | Spain
05/06/2020 | Domestic Travel                          | Spain
05/06/2020 | Cafes and Restaurants                    | Spain
05/06/2020 | Pubs and bars                            | Spain
05/06/2020 | Sports and leisure                       | Spain
05/06/2020 | Schools Closure                          | Spain
05/07/2020 | Meeting Friends/Family (indoor)          | Spain
05/07/2020 | Meeting Friends/Family (outdoor)         | Spain
05/07/2020 | Domestic Travel                          | Spain
05/07/2020 | Cafes and Restaurants                    | Spain
05/07/2020 | Pubs and bars                            | Spain
05/07/2020 | Sports and leisure                       | Spain
05/07/2020 | Schools Closure                          | Spain
05/08/2020 | Meeting Friends/Family (indoor)          | Spain
05/08/2020 | Meeting Friends/Family (outdoor)         | Spain
05/08/2020 | Domestic Travel                          | Spain
05/08/2020 | Cafes and Restaurants                    | Spain
05/08/2020 | Pubs and bars                            | Spain
05/08/2020 | Sports and leisure                       | Spain
05/08/2020 | Schools Closure                          | Spain
05/09/2020 | Meeting Friends/Family (indoor)          | Spain
05/09/2020 | Meeting Friends/Family (outdoor)         | Spain
05/09/2020 | Domestic Travel                          | Spain
05/09/2020 | Cafes and Restaurants                    | Spain
05/09/2020 | Pubs and bars                            | Spain
05/09/2020 | Sports and leisure                       | Spain
05/09/2020 | Schools Closure                          | Spain
05/10/2020 | Meeting Friends/Family (indoor)          | Spain
05/10/2020 | Meeting Friends/Family (outdoor)         | Spain
05/10/2020 | Domestic Travel                          | Spain
05/10/2020 | Cafes and Restaurants                    | Spain
05/10/2020 | Pubs and bars                            | Spain
05/10/2020 | Sports and leisure                       | Spain
05/10/2020 | Schools Closure                          | Spain
05/11/2020 | Meeting Friends/Family (indoor)          | Spain
05/11/2020 | Meeting Friends/Family (outdoor)         | Spain
05/11/2020 | Domestic Travel                          | Spain
05/11/2020 | Cafes and Restaurants                    | Spain
05/11/2020 | Pubs and bars                            | Spain
05/11/2020 | Sports and leisure                       | Spain
05/11/2020 | Schools Closure                          | Spain
05/12/2020 | Meeting Friends/Family (indoor)          | Spain
05/12/2020 | Meeting Friends/Family (outdoor)         | Spain
05/12/2020 | Domestic Travel                          | Spain
05/12/2020 | Cafes and Restaurants                    | Spain
05/12/2020 | Pubs and bars                            | Spain
05/12/2020 | Sports and leisure                       | Spain
05/12/2020 | Schools Closure                          | Spain
05/13/2020 | Meeting Friends/Family (indoor)          | Spain
05/13/2020 | Meeting Friends/Family (outdoor)         | Spain
05/13/2020 | Domestic Travel                          | Spain
05/13/2020 | Cafes and Restaurants                    | Spain
05/13/2020 | Pubs and bars                            | Spain
05/13/2020 | Sports and leisure                       | Spain
05/13/2020 | Schools Closure                          | Spain
05/14/2020 | Meeting Friends/Family (indoor)          | Spain
05/14/2020 | Meeting Friends/Family (outdoor)         | Spain
05/14/2020 | Domestic Travel                          | Spain
05/14/2020 | Cafes and Restaurants                    | Spain
05/14/2020 | Pubs and bars                            | Spain
05/14/2020 | Sports and leisure                       | Spain
05/14/2020 | Schools Closure                          | Spain
05/15/2020 | Meeting Friends/Family (indoor)          | Spain
05/15/2020 | Meeting Friends/Family (outdoor)         | Spain
05/15/2020 | Domestic Travel                          | Spain
05/15/2020 | Cafes and Restaurants                    | Spain
05/15/2020 | Pubs and bars                            | Spain
05/15/2020 | Sports and leisure                       | Spain
05/15/2020 | Schools Closure                          | Spain
05/16/2020 | Meeting Friends/Family (indoor)          | Spain
05/16/2020 | Meeting Friends/Family (outdoor)         | Spain
05/16/2020 | Domestic Travel                          | Spain
05/16/2020 | Cafes and Restaurants                    | Spain
05/16/2020 | Pubs and bars                            | Spain
05/16/2020 | Sports and leisure                       | Spain
05/16/2020 | Schools Closure                          | Spain
05/17/2020 | Meeting Friends/Family (indoor)          | Spain
05/17/2020 | Meeting Friends/Family (outdoor)         | Spain
05/17/2020 | Domestic Travel                          | Spain
05/17/2020 | Cafes and Restaurants                    | Spain
05/17/2020 | Pubs and bars                            | Spain
05/17/2020 | Sports and leisure                       | Spain
05/17/2020 | Schools Closure                          | Spain
05/18/2020 | Meeting Friends/Family (indoor)          | Spain
05/18/2020 | Meeting Friends/Family (outdoor)         | Spain
05/18/2020 | Domestic Travel                          | Spain
05/18/2020 | Cafes and Restaurants                    | Spain
05/18/2020 | Pubs and bars                            | Spain
05/18/2020 | Sports and leisure                       | Spain
05/18/2020 | Schools Closure                          | Spain
05/19/2020 | Meeting Friends/Family (indoor)          | Spain
05/19/2020 | Meeting Friends/Family (outdoor)         | Spain
05/19/2020 | Domestic Travel                          | Spain
05/19/2020 | Cafes and Restaurants                    | Spain
05/19/2020 | Pubs and bars                            | Spain
05/19/2020 | Sports and leisure                       | Spain
05/19/2020 | Schools Closure                          | Spain
05/20/2020 | Meeting Friends/Family (indoor)          | Spain
05/20/2020 | Meeting Friends/Family (outdoor)         | Spain
05/20/2020 | Domestic Travel                          | Spain
05/20/2020 | Cafes and Restaurants                    | Spain
05/20/2020 | Pubs and bars                            | Spain
05/20/2020 | Sports and leisure                       | Spain
05/20/2020 | Schools Closure                          | Spain
05/21/2020 | Meeting Friends/Family (indoor)          | Spain
05/21/2020 | Meeting Friends/Family (outdoor)         | Spain
05/21/2020 | Domestic Travel                          | Spain
05/21/2020 | Cafes and Restaurants                    | Spain
05/21/2020 | Pubs and bars                            | Spain
05/21/2020 | Sports and leisure                       | Spain
05/21/2020 | Schools Closure                          | Spain
05/22/2020 | Meeting Friends/Family (indoor)          | Spain
05/22/2020 | Meeting Friends/Family (outdoor)         | Spain
05/22/2020 | Domestic Travel                          | Spain
05/22/2020 | Cafes and Restaurants                    | Spain
05/22/2020 | Pubs and bars                            | Spain
05/22/2020 | Sports and leisure                       | Spain
05/22/2020 | Schools Closure                          | Spain
05/23/2020 | Meeting Friends/Family (indoor)          | Spain
05/23/2020 | Meeting Friends/Family (outdoor)         | Spain
05/23/2020 | Domestic Travel                          | Spain
05/23/2020 | Cafes and Restaurants                    | Spain
05/23/2020 | Pubs and bars                            | Spain
05/23/2020 | Sports and leisure                       | Spain
05/23/2020 | Schools Closure                          | Spain
05/24/2020 | Meeting Friends/Family (indoor)          | Spain
05/24/2020 | Meeting Friends/Family (outdoor)         | Spain
05/24/2020 | Domestic Travel                          | Spain
05/24/2020 | Cafes and Restaurants                    | Spain
