,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H7_Vaccination policy,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,GovernmentResponseIndexForDisplay,ContainmentHealthIndexForDisplay,EconomicSupportIndexForDisplay
15,16/01/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2.78,2.78,7.22,8.33,0
16,17/01/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2.78,2.78,7.22,8.33,0
17,18/01/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2.78,2.78,7.22,8.33,0
18,19/01/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2.78,2.78,7.22,8.33,0
19,20/01/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2.78,2.78,7.22,8.33,0
20,21/01/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2.78,2.78,7.22,8.33,0
21,22/01/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,2.78,2.78,7.22,8.33,0
22,23/01/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,2.78,2.78,7.22,8.33,0
23,24/01/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,2.78,2.78,7.22,8.33,0
24,25/01/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,2.78,2.78,7.22,8.33,0
25,26/01/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,4,0,2.78,2.78,7.22,8.33,0
26,27/01/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,4,0,2.78,2.78,7.22,8.33,0
27,28/01/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,7,0,2.78,2.78,7.22,8.33,0
28,29/01/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,7,0,2.78,2.78,7.22,8.33,0
29,30/01/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,11,0,2.78,2.78,7.22,8.33,0
30,31/01/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,15,0,2.78,2.78,7.22,8.33,0
31,01/02/2020,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,20,0,8.33,8.33,10.56,12.18,0
32,02/02/2020,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,20,0,8.33,8.33,10.56,12.18,0
33,03/02/2020,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,20,0,8.33,8.33,10.56,12.18,0
34,04/02/2020,0,0,0,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,22,0,19.44,19.44,17.22,19.87,0
35,05/02/2020,0,0,0,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,23,0,19.44,19.44,17.22,19.87,0
36,06/02/2020,0,0,0,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,23,0,19.44,19.44,17.22,19.87,0
37,07/02/2020,0,0,0,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,23,0,19.44,19.44,17.22,19.87,0
38,08/02/2020,0,0,0,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,24,0,19.44,19.44,17.22,19.87,0
39,09/02/2020,0,0,0,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,24,0,19.44,19.44,17.22,19.87,0
40,10/02/2020,0,0,0,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,26,0,19.44,19.44,17.22,19.87,0
41,11/02/2020,0,0,0,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,27,0,19.44,19.44,17.22,19.87,0
42,12/02/2020,0,0,0,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,28,0,19.44,19.44,17.22,19.87,0
43,13/02/2020,0,0,0,0,0,0,0,3,0,0,81949436,0,2,1,1,60530834,0,0,0,33,1,19.44,19.44,17.22,19.87,0
44,14/02/2020,0,0,0,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,43,1,19.44,19.44,17.22,19.87,0
45,15/02/2020,0,0,0,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,54,1,19.44,19.44,17.22,19.87,0
46,16/02/2020,0,0,0,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,60,1,19.44,19.44,17.22,19.87,0
47,17/02/2020,0,0,0,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,67,1,19.44,19.44,17.22,19.87,0
48,18/02/2020,0,0,0,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,79,2,19.44,19.44,17.22,19.87,0
49,19/02/2020,0,0,0,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,85,2,19.44,19.44,17.22,19.87,0
50,20/02/2020,0,0,1,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,95,2,25,25,20.56,23.72,0
51,21/02/2020,0,0,1,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,112,2,25,25,20.56,23.72,0
52,22/02/2020,0,0,1,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,137,2,25,25,20.56,23.72,0
53,23/02/2020,0,0,1,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,149,2,25,25,20.56,23.72,0
54,24/02/2020,0,0,1,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,160,2,25,25,20.56,23.72,0
55,25/02/2020,0,1,1,0,0,0,1,3,0,0,0,0,2,1,1,0,0,0,0,173,3,34.26,34.26,26.11,30.13,0
56,26/02/2020,0,1,1,0,0,0,1,3,0,0,0,0,2,1,1,0,0,0,0,192,3,34.26,34.26,26.11,30.13,0
57,27/02/2020,0,1,1,0,0,0,1,3,0,0,0,0,2,1,1,0,0,0,0,218,4,34.26,34.26,26.11,30.13,0
58,28/02/2020,0,1,1,0,0,0,1,3,0,0,0,0,2,1,1,0,0,0,0,236,5,34.26,34.26,26.11,30.13,0
59,29/02/2020,0,1,1,0,0,0,1,3,0,0,0,0,2,1,1,0,0,0,0,245,6,34.26,34.26,26.11,30.13,0
60,01/03/2020,0,1,1,0,0,0,1,3,0,0,0,0,2,1,1,0,0,1,0,259,6,34.26,34.26,27.78,32.05,0
61,02/03/2020,3,1,1,0,0,0,1,3,0,0,0,0,2,1,1,0,0,1,0,278,6,43.52,43.52,33.33,38.46,0
62,03/03/2020,3,1,1,0,0,0,1,3,0,0,0,0,2,1,1,0,0,1,0,298,6,43.52,43.52,33.33,38.46,0
63,04/03/2020,3,1,1,0,0,0,1,3,0,0,0,0,2,1,1,0,0,1,0,333,7,43.52,43.52,33.33,38.46,0
64,05/03/2020,3,1,1,0,0,0,1,3,0,0,0,0,2,1,1,0,0,1,0,365,7,43.52,43.52,33.33,38.46,0
65,06/03/2020,3,1,1,0,0,0,1,3,0,0,0,0,2,1,1,0,0,1,0,420,7,43.52,43.52,33.33,38.46,0
66,07/03/2020,3,1,1,0,0,0,1,3,0,0,0,0,2,1,1,0,0,1,0,466,7,43.52,43.52,33.33,38.46,0
67,08/03/2020,3,1,1,0,0,0,1,3,0,0,0,0,2,1,1,0,0,1,0,499,8,43.52,43.52,33.33,38.46,0
68,09/03/2020,3,1,1,0,0,0,1,2,0,0,0,0,2,1,1,0,0,1,0,527,10,40.74,40.74,31.67,36.54,0
69,10/03/2020,3,1,1,0,0,0,1,2,0,0,3685314415,0,2,1,1,468619258,0,1,0,585,13,40.74,40.74,31.67,36.54,0
70,11/03/2020,3,1,1,0,0,0,1,2,0,0,0,0,2,1,1,0,0,1,0,640,15,40.74,40.74,31.67,36.54,0
71,12/03/2020,3,1,1,0,0,0,1,2,0,0,0,0,2,1,1,0,0,1,0,696,19,40.74,40.74,31.67,36.54,0
72,13/03/2020,3,1,1,0,0,0,1,2,0,0,0,0,2,1,1,0,0,1,0,733,21,40.74,40.74,31.67,36.54,0
73,14/03/2020,3,1,1,0,0,0,1,2,0,0,0,0,2,1,1,0,0,1,0,795,22,40.74,40.74,31.67,36.54,0
74,15/03/2020,3,1,1,0,0,0,1,2,0,0,0,0,2,1,1,0,0,1,0,826,24,40.74,40.74,31.67,36.54,0
75,16/03/2020,3,1,1,0,0,0,1,2,0,2,0,0,2,1,1,0,0,1,0,843,30,40.74,40.74,38.33,36.54,50
76,17/03/2020,3,1,1,0,0,0,1,2,0,2,0,0,2,1,1,0,0,1,0,893,30,40.74,40.74,38.33,36.54,50
77,18/03/2020,3,1,1,0,0,0,1,2,0,2,0,0,2,1,1,0,0,1,0,928,32,40.74,40.74,38.33,36.54,50
78,19/03/2020,3,1,1,0,0,0,1,2,0,2,0,0,2,1,1,0,0,1,0,968,33,40.74,40.74,38.33,36.54,50
79,20/03/2020,3,1,1,0,0,0,1,2,0,2,0,0,2,1,1,0,0,1,0,1022,34,40.74,40.74,38.33,36.54,50
80,21/03/2020,3,1,1,0,0,0,1,2,0,2,0,0,2,1,1,0,0,1,0,1059,36,40.74,40.74,38.33,36.54,50
81,22/03/2020,3,1,1,0,0,0,1,2,0,2,0,0,2,1,1,0,0,1,0,1104,40,40.74,40.74,38.33,36.54,50
82,23/03/2020,3,1,1,0,0,0,1,2,0,2,0,0,2,1,1,0,0,1,0,1144,41,40.74,40.74,38.33,36.54,50
83,24/03/2020,3,1,1,0,0,0,1,2,0,2,0,0,2,1,1,0,0,1,0,1217,42,40.74,40.74,38.33,36.54,50
84,25/03/2020,3,1,1,0,0,0,1,2,0,2,0,0,2,1,1,0,0,1,0,1314,45,40.74,40.74,38.33,36.54,50
85,26/03/2020,3,1,1,0,0,0,1,2,0,2,0,0,2,1,1,0,0,1,0,1416,47,40.74,40.74,38.33,36.54,50
86,27/03/2020,3,1,1,0,0,0,1,2,0,2,0,0,2,1,1,0,0,1,0,1530,53,40.74,40.74,38.33,36.54,50
87,28/03/2020,3,1,1,0,0,0,1,2,0,2,0,0,2,1,1,0,0,1,0,1728,56,40.74,40.74,38.33,36.54,50
88,29/03/2020,3,1,1,0,0,0,1,2,0,2,0,0,2,1,1,0,0,1,0,1907,63,40.74,40.74,38.33,36.54,50
89,30/03/2020,3,1,1,0,0,0,1,2,0,2,0,0,2,1,1,0,0,1,0,2001,65,40.74,40.74,38.33,36.54,50
90,31/03/2020,3,1,1,0,0,0,1,2,0,2,0,0,2,1,1,0,0,1,0,2255,67,40.74,40.74,38.33,36.54,50
91,01/04/2020,3,1,1,0,0,0,1,2,0,2,0,0,2,1,1,0,0,1,0,2535,72,40.74,40.74,38.33,36.54,50
92,02/04/2020,3,1,1,0,0,0,1,2,0,2,0,8.34353E+11,2,1,1,0,0,1,0,2818,75,40.74,40.74,38.33,36.54,50
93,03/04/2020,3,1,1,0,0,0,1,3,0,2,0,0,2,1,1,0,0,1,0,3154,81,43.52,43.52,40,38.46,50
94,04/04/2020,3,1,1,0,0,0,1,3,0,2,0,0,2,1,1,0,0,1,0,3525,87,43.52,43.52,40,38.46,50
95,05/04/2020,3,1,1,0,0,0,1,3,0,2,0,0,2,1,1,0,0,1,0,3876,93,43.52,43.52,40,38.46,50
96,06/04/2020,3,1,1,0,0,0,1,3,0,2,0,0,2,1,1,0,0,1,0,4110,96,43.52,43.52,40,38.46,50
97,07/04/2020,3,1,1,0,0,1,1,3,0,2,9.90863E+11,0,2,1,1,0,0,1,0,4485,98,45.37,45.37,41.11,39.74,50
98,08/04/2020,3,1,1,0,0,1,1,3,0,2,0,0,2,1,1,0,0,1,0,5020,105,45.37,45.37,41.11,39.74,50
99,09/04/2020,3,1,1,0,0,1,1,3,0,2,0,0,2,1,1,0,0,1,0,5614,113,45.37,45.37,41.11,39.74,50
100,10/04/2020,3,1,1,0,0,1,1,3,0,2,0,0,2,1,1,0,0,1,0,6250,125,45.37,45.37,41.11,39.74,50
101,11/04/2020,3,1,1,0,0,1,1,3,0,2,0,0,2,1,1,0,0,1,0,6951,138,45.37,45.37,41.11,39.74,50
102,12/04/2020,3,1,1,0,0,1,1,3,0,2,0,0,2,1,1,0,0,1,0,7473,147,45.37,45.37,41.11,39.74,50
103,13/04/2020,3,1,1,0,0,1,1,3,0,2,0,0,2,1,1,0,0,1,0,7773,156,45.37,45.37,41.11,39.74,50
104,14/04/2020,3,1,1,0,0,1,1,3,0,2,0,0,2,1,1,0,0,1,0,8277,170,45.37,45.37,41.11,39.74,50
105,15/04/2020,3,1,1,0,0,1,1,3,0,2,0,0,2,1,1,0,0,1,0,8835,186,45.37,45.37,41.11,39.74,50
106,16/04/2020,3,1,1,0,0,1,1,3,1,2,0,2458012369,2,1,1,0,0,1,0,9398,204,47.22,47.22,45.56,41.03,75
107,17/04/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,9958,217,47.22,47.22,45.56,41.03,75
108,18/04/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,10548,236,47.22,47.22,45.56,41.03,75
109,19/04/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,10914,255,47.22,47.22,45.56,41.03,75
110,20/04/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,16801000000,0,1,0,11258,275,47.22,47.22,45.56,41.03,75
111,21/04/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,11641,303,47.22,47.22,45.56,41.03,75
112,22/04/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,12037,323,47.22,47.22,45.56,41.03,75
113,23/04/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,12469,351,47.22,47.22,45.56,41.03,75
114,24/04/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,12854,360,47.22,47.22,45.56,41.03,75
115,25/04/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,13186,379,47.22,47.22,45.56,41.03,75
116,26/04/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,13405,395,47.22,47.22,45.56,41.03,75
117,27/04/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,13576,417,47.22,47.22,45.56,41.03,75
118,28/04/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,13860,436,47.22,47.22,45.56,41.03,75
119,29/04/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,14076,454,47.22,47.22,45.56,41.03,75
120,30/04/2020,3,1,1,0,0,1,1,3,1,2,0,150000000,2,1,1,0,0,1,0,14284,481,47.22,47.22,45.56,41.03,75
121,01/05/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,14558,510,47.22,47.22,45.56,41.03,75
122,02/05/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,14861,536,47.22,47.22,45.56,41.03,75
123,03/05/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,15061,560,47.22,47.22,45.56,41.03,75
124,04/05/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,15229,582,47.22,47.22,45.56,41.03,75
125,05/05/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,15354,593,47.22,47.22,45.56,41.03,75
126,06/05/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,15455,605,47.22,47.22,45.56,41.03,75
127,07/05/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,15553,617,47.22,47.22,45.56,41.03,75
128,08/05/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,15640,634,47.22,47.22,45.56,41.03,75
129,09/05/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,15755,654,47.22,47.22,45.56,41.03,75
130,10/05/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,15824,666,47.22,47.22,45.56,41.03,75
131,11/05/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,15861,685,47.22,47.22,45.56,41.03,75
132,12/05/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,15948,707,47.22,47.22,45.56,41.03,75
133,13/05/2020,3,1,1,0,0,1,1,3,1,2,0,100000000,2,1,1,0,0,1,0,15998,726,47.22,47.22,45.56,41.03,75
134,14/05/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,16096,742,40.74,40.74,41.67,36.54,75
135,15/05/2020,3,1,1,0,0,1,1,3,1,2,0,2700000000,2,1,1,0,0,1,0,16148,760,40.74,40.74,41.67,36.54,75
136,16/05/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,16202,778,40.74,40.74,41.67,36.54,75
137,17/05/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,16226,787,40.74,40.74,41.67,36.54,75
138,18/05/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,16259,796,40.74,40.74,41.67,36.54,75
139,19/05/2020,3,1,1,0,0,1,1,3,1,2,491257000,0,2,1,1,0,0,1,0,16287,805,40.74,40.74,41.67,36.54,75
140,20/05/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,16321,818,40.74,40.74,41.67,36.54,75
141,21/05/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,16362,826,40.74,40.74,41.67,36.54,75
142,22/05/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,16385,836,40.74,40.74,41.67,36.54,75
143,23/05/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,16410,845,40.74,40.74,41.67,36.54,75
144,24/05/2020,3,1,1,0,0,1,1,3,1,2,0,0,2,1,1,0,0,1,0,16451,852,40.74,40.74,41.67,36.54,75
145,25/05/2020,3,0,1,0,0,0,1,3,1,2,0,0,2,1,1,0,0,1,0,16472,857,31.48,31.48,36.11,30.13,75
146,26/05/2020,3,0,1,0,0,0,1,3,1,2,0,0,2,1,1,0,0,1,0,16502,863,34.26,34.26,37.78,32.05,75
147,27/05/2020,3,0,1,0,0,0,1,3,1,2,0,0,2,1,1,0,0,1,0,16528,870,34.26,34.26,37.78,32.05,75
148,28/05/2020,3,0,1,0,0,0,1,3,1,2,0,0,2,1,1,0,0,1,0,16598,881,34.26,34.26,37.78,32.05,75
149,29/05/2020,3,0,1,0,0,0,1,3,1,2,0,0,2,1,1,0,0,1,0,16673,887,34.26,34.26,37.78,32.05,75
150,30/05/2020,3,0,1,0,0,0,1,3,1,2,0,0,2,1,1,0,0,1,0,16716,894,34.26,34.26,37.78,32.05,75
151,31/05/2020,3,0,1,0,0,0,1,3,1,2,0,0,2,1,1,0,0,1,0,16751,898,34.26,34.26,37.78,32.05,75
152,01/06/2020,1,0,1,0,0,0,1,3,1,2,0,0,2,1,1,0,0,1,0,16787,899,28.7,28.7,34.44,28.21,75
153,02/06/2020,1,0,1,0,0,0,1,3,1,2,0,0,2,1,1,0,0,1,0,16837,902,28.7,28.7,34.44,28.21,75
154,03/06/2020,1,0,1,0,0,0,1,3,1,2,0,0,2,1,1,0,0,1,0,16867,905,28.7,28.7,34.44,28.21,75
155,04/06/2020,1,0,1,0,0,0,1,3,1,2,0,0,2,1,1,0,0,1,0,16911,911,28.7,28.7,34.44,28.21,75
156,05/06/2020,1,0,1,0,0,0,1,3,1,2,0,0,2,1,1,0,300000000,1,0,16958,916,28.7,28.7,34.44,28.21,75
157,06/06/2020,1,0,1,0,0,0,1,3,1,2,0,0,2,1,1,0,0,1,0,17000,915,28.7,28.7,34.44,28.21,75
158,07/06/2020,1,0,1,0,0,0,1,3,1,2,0,7541400,2,1,1,0,0,1,0,17039,917,28.7,28.7,34.44,28.21,75
159,08/06/2020,1,0,1,0,0,0,1,3,1,2,0,0,2,1,1,0,0,1,0,17060,920,28.7,28.7,34.44,28.21,75
160,09/06/2020,1,0,1,0,0,0,1,3,1,2,0,0,2,1,1,0,0,1,0,17111,920,28.7,28.7,34.44,28.21,75
161,10/06/2020,1,0,1,0,0,0,1,3,1,2,0,0,2,1,1,0,0,1,0,17146,922,28.7,28.7,34.44,28.21,75
162,11/06/2020,1,0,1,0,0,0,1,3,1,2,0,0,2,1,1,0,0,1,0,17187,922,28.7,28.7,34.44,28.21,75
163,12/06/2020,1,0,1,0,0,0,1,3,1,2,0,0,2,1,1,0,0,1,0,17250,924,28.7,28.7,34.44,28.21,75
164,13/06/2020,1,0,1,0,0,0,1,3,1,2,0,0,2,1,1,0,0,1,0,17293,927,28.7,28.7,34.44,28.21,75
165,14/06/2020,1,0,1,0,0,0,1,3,1,2,0,0,2,1,1,0,0,1,0,17369,927,28.7,28.7,34.44,28.21,75
166,15/06/2020,1,0,1,0,0,0,1,3,1,2,0,0,2,2,1,0,0,1,0,17439,929,28.7,28.7,36.67,30.77,75
167,16/06/2020,1,0,1,0,0,0,1,3,1,2,0,0,2,2,1,0,0,1,0,17484,934,28.7,28.7,36.67,30.77,75
168,17/06/2020,1,0,1,0,0,0,1,3,1,2,0,0,2,2,1,0,0,1,0,17530,935,28.7,28.7,36.67,30.77,75
169,18/06/2020,1,0,1,0,0,0,1,3,1,2,0,0,2,2,1,0,0,1,0,17588,935,28.7,28.7,36.67,30.77,75
170,19/06/2020,1,0,1,0,0,0,1,3,1,2,0,0,2,2,1,0,0,1,0,17658,951,28.7,28.7,36.67,30.77,75
171,20/06/2020,1,0,1,0,0,0,1,3,1,2,0,0,2,2,1,0,0,1,0,17725,955,28.7,28.7,36.67,30.77,75
172,21/06/2020,1,0,1,0,0,0,0,3,1,2,0,0,2,2,1,0,0,1,0,17780,955,25.93,25.93,35,28.85,75
173,22/06/2020,1,0,1,0,0,0,0,3,1,2,0,0,2,2,1,0,0,1,0,17820,955,25.93,25.93,35,28.85,75
174,23/06/2020,1,0,1,0,0,0,0,3,1,2,0,0,2,2,1,0,0,1,0,17879,965,25.93,25.93,35,28.85,75
175,24/06/2020,1,0,1,0,0,0,0,3,1,2,0,0,2,2,1,0,0,1,0,17963,967,25.93,25.93,35,28.85,75
176,25/06/2020,1,0,1,0,0,0,0,3,1,2,0,0,2,2,1,0,0,1,0,18055,971,25.93,25.93,35,28.85,75
177,26/06/2020,1,0,1,0,0,0,0,3,1,2,0,0,2,2,1,0,0,1,0,18162,971,25.93,25.93,35,28.85,75
178,27/06/2020,1,0,1,0,0,0,0,3,1,2,0,0,2,2,1,0,0,1,0,18254,971,25.93,25.93,35,28.85,75
179,28/06/2020,1,0,1,0,0,0,0,3,1,2,0,0,2,2,1,0,0,1,0,18366,972,25.93,25.93,35,28.85,75
180,29/06/2020,1,0,1,0,0,0,0,3,1,2,0,0,2,2,1,0,0,1,0,18476,972,25.93,25.93,35,28.85,75
181,30/06/2020,1,0,1,0,0,0,0,3,1,2,0,0,2,2,1,0,0,1,0,18615,972,25.93,25.93,35,28.85,75
182,01/07/2020,1,0,1,0,0,0,0,3,1,2,0,465133140,2,2,1,0,0,1,0,18838,976,25.93,25.93,35,28.85,75
183,02/07/2020,1,0,1,0,0,0,0,3,1,2,0,0,2,2,1,0,0,1,0,19055,977,25.93,25.93,35,28.85,75
184,03/07/2020,1,0,1,0,0,0,0,3,1,2,0,0,2,2,1,0,0,1,0,19185,977,25.93,25.93,35,28.85,75
185,04/07/2020,1,0,1,0,0,0,0,3,1,2,0,0,2,2,1,0,0,1,0,19461,977,25.93,25.93,35,28.85,75
186,05/07/2020,1,0,1,0,0,0,0,3,1,2,0,0,2,2,1,0,0,1,0,19668,977,25.93,25.93,35,28.85,75
187,06/07/2020,1,0,1,0,0,0,0,3,1,2,0,0,2,2,1,0,0,1,0,19848,978,25.93,25.93,35,28.85,75
188,07/07/2020,1,0,1,0,0,0,0,3,1,2,0,0,2,2,1,0,0,1,0,20055,981,25.93,25.93,35,28.85,75
189,08/07/2020,1,0,1,0,0,0,0,3,1,2,0,7484026,2,2,1,0,0,1,0,20261,982,25.93,25.93,35,28.85,75
190,09/07/2020,1,0,1,0,0,0,0,3,1,2,0,0,2,2,1,0,0,1,0,20617,982,25.93,25.93,35,28.85,75
191,10/07/2020,1,0,1,0,0,0,0,3,1,2,0,0,2,2,1,0,106000000,1,0,21044,982,25.93,25.93,35,28.85,75
192,11/07/2020,1,0,1,0,0,0,0,3,1,2,0,0,2,2,1,0,0,1,0,21430,982,25.93,25.93,35,28.85,75
