,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H7_Vaccination policy,ConfirmedCases,ConfirmedDeaths,StringencyIndexForDisplay,StringencyLegacyIndexForDisplay,GovernmentResponseIndexForDisplay,ContainmentHealthIndexForDisplay,EconomicSupportIndexForDisplay,H6_Facial Covering_National,H6_Facial Covering_Regional,US_to_UK
52,22/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,23,0,11.11,14.29,15.56,17.95,0,0,0,-0.002013098
53,23/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,28,0,11.11,14.29,15.56,17.95,0,0,0,-0.000478061
54,24/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,30,0,11.11,14.29,15.56,17.95,0,0,0,-0.002627107
55,25/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,34,0,11.11,14.29,15.56,17.95,0,0,0,0.00701595
56,26/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,37,0,11.11,14.29,15.56,17.95,0,0,0,-0.007673806
57,27/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,44,0,11.11,14.29,15.56,17.95,0,0,0,-0.003334629
58,28/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,56,0,11.11,14.29,15.56,17.95,0,0,0,-0.007837367
59,29/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,61,0,11.11,14.29,15.56,17.95,0,0,0,-0.006281934
60,01/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,94,0,11.11,14.29,15.56,17.95,0,0,0,-0.005817977
61,02/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,134,0,11.11,14.29,15.56,17.95,0,0,0,-0.002116071
62,03/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,189,0,11.11,14.29,15.56,17.95,0,0,0,0.005554918
63,04/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,245,0,11.11,14.29,15.56,17.95,0,0,0,7.80E-05
64,05/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,294,0,11.11,14.29,15.56,17.95,0,0,0,0.008080852
65,06/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,26019722.45,0,0,373,1,11.11,14.29,15.56,17.95,0,0,0,0.008591681
66,07/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,428,2,11.11,14.29,15.56,17.95,0,0,0,0.005583517
67,08/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,482,2,11.11,14.29,15.56,17.95,0,0,0,0.007418683
68,09/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,629,3,11.11,14.29,15.56,17.95,0,0,0,0.005318246
69,10/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,887,7,11.11,14.29,15.56,17.95,0,0,0,-0.012633849
70,11/03/2020,0,0,0,0,0,0,0,0,0,0,32223318565,183360000,2,1,2,6444663713,0,0,0,1298,7,11.11,14.29,15.56,17.95,0,0,0,-0.004143519
71,12/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1787,9,11.11,14.29,8.89,10.26,0,0,0,-0.027020699
72,13/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2266,10,12.96,17.86,10,11.54,0,0,0,-0.011266031
73,14/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2630,29,12.96,17.86,10,11.54,0,0,0,-0.014143416
74,15/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3072,43,12.96,17.86,10,11.54,0,0,0,-0.017476715
75,16/03/2020,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3684,65,16.67,25,12.22,14.1,0,0,0,-0.010049521
76,17/03/2020,0,1,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,4452,82,22.22,34.52,18.89,17.95,25,0,0,-0.021904697
77,18/03/2020,0,1,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,5451,116,31.48,45.24,24.44,24.36,25,0,0,-0.020821379
78,19/03/2020,0,1,1,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,6506,162,31.48,45.24,27.78,24.36,50,0,0,-0.008794456
79,20/03/2020,0,1,1,0,1,0,0,0,2,2,43436046045,0,2,1,0,0,0,0,0,7760,194,37.04,54.76,36.11,28.21,87.5,0,0,0.007092834
80,21/03/2020,0,3,0,0,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,8957,252,47.22,61.9,42.22,35.26,87.5,0,0,-0.007507667
81,22/03/2020,0,3,2,0,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,10333,288,62.04,72.62,51.11,45.51,87.5,0,0,-0.003069763
82,23/03/2020,3,3,2,0,1,2,2,0,2,2,0,0,2,1,0,0,2989616.7,0,0,12668,364,78.24,80.95,60.83,56.73,87.5,0,0,-0.021779289
83,24/03/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,15039,512,79.63,80.95,61.67,57.69,87.5,0,0,0.025009898
84,25/03/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,17732,703,79.63,80.95,61.67,57.69,87.5,0,0,-0.001826562
85,26/03/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,254591132.1,0,0,20816,884,79.63,80.95,63.33,57.69,100,0,0,0.031431099
86,27/03/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,24017,1172,79.63,80.95,63.33,57.69,100,0,0,0.017844856
87,28/03/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,26839,1464,79.63,80.95,63.33,57.69,100,0,0,0.015816464
88,29/03/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,29696,1676,79.63,80.95,63.33,57.69,100,0,0,0.021697473
89,30/03/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,33969,2050,79.63,80.95,63.33,57.69,100,0,0,0.004724132
90,31/03/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,38484,2453,79.63,80.95,63.33,57.69,100,0,0,-0.00104788
91,01/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,43398,3125,79.63,80.95,63.33,57.69,100,0,0,0.002014181
92,02/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,48263,3782,79.63,80.95,63.33,57.69,100,0,0,-0.003668841
93,03/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,53178,4518,79.63,80.95,63.33,57.69,100,0,0,-0.009741127
94,04/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,57198,5274,79.63,80.95,63.33,57.69,100,0,0,-0.003798596
95,05/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,60792,5873,79.63,80.95,63.33,57.69,100,0,0,-0.005736188
96,06/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,66067,6440,79.63,80.95,63.33,57.69,100,0,0,-0.000285545
97,07/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,71517,7545,79.63,80.95,63.33,57.69,100,0,0,0.004071501
98,08/04/2020,3,3,2,4,1,2,2,0,2,2,929000000,0,2,1,0,0,0,0,0,76646,8575,79.63,80.95,63.33,57.69,100,0,0,0.006237869
99,09/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,81498,9691,79.63,80.95,63.33,57.69,100,0,0,0.006921278
100,10/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,85813,10813,79.63,80.95,63.33,57.69,100,0,0,0
101,11/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,89390,11656,79.63,80.95,63.33,57.69,100,0,0,0.004386382
102,12/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,92885,12313,79.63,80.95,63.33,57.69,100,0,0,0.00376922
103,13/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,97068,13037,79.63,80.95,63.33,57.69,100,0,0,0.002803141
104,14/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,101393,14113,79.63,80.95,63.33,57.69,100,0,0,0.007529466
105,15/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,106458,14993,79.63,80.95,63.33,57.69,100,0,0,-0.008009447
106,16/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,111756,16029,79.63,80.95,63.33,57.69,100,0,0,-0.004129338
107,17/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,116721,16942,79.63,80.95,63.33,57.69,100,0,0,0.004649307
108,18/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,121437,18047,79.63,80.95,63.33,57.69,100,0,0,-0.002496493
109,19/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,125289,18479,79.63,80.95,63.33,57.69,100,0,0,-0.000658841
110,20/04/2020,3,3,2,4,1,2,2,0,2,2,1550000000,0,2,1,0,0,0,0,0,130147,19049,79.63,80.95,63.33,57.69,100,0,0,-0.002402115
111,21/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,134907,20273,79.63,80.95,63.33,57.69,100,0,0,-0.016163274
112,22/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,140397,21120,79.63,80.95,63.33,57.69,100,0,0,0.004308775
113,23/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,145540,21802,79.63,80.95,63.33,57.69,100,0,0,0.004855557
114,24/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,150513,22812,79.63,80.95,63.33,57.69,100,0,0,-0.004004131
115,25/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,154261,23627,79.63,80.95,63.33,57.69,100,0,0,0.001720067
116,26/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,157729,23991,79.63,80.95,63.33,57.69,100,0,0,0.000857164
117,27/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,0,0,162431,24311,79.63,80.95,63.33,57.69,100,0,0,0.005818904
118,28/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,1,0,167152,25280,79.63,80.95,64.17,58.65,100,0,1,0.002213592
119,29/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,1,0,172587,26049,79.63,80.95,64.17,58.65,100,0,1,-4.02E-05
120,30/04/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,1,0,177543,26683,79.63,80.95,64.17,58.65,100,0,1,0.014131972
121,01/05/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,1,0,182270,27381,79.63,80.95,64.17,58.65,100,0,1,-0.005644792
122,02/05/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,1,0,185491,27965,79.63,80.95,64.17,58.65,100,0,1,0.002815659
123,03/05/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,1,0,188465,28218,79.63,80.95,64.17,58.65,100,0,1,0.003767613
124,04/05/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,1,0,191843,28490,79.63,80.95,64.17,58.65,100,0,1,-0.009734289
125,05/05/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,1,0,195527,29216,79.63,80.95,64.17,58.65,100,0,1,0.00273356
126,06/05/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,1,0,199358,29863,79.63,80.95,64.17,58.65,100,0,1,-0.007494897
127,07/05/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,1,0,203125,30321,79.63,80.95,64.17,58.65,100,0,1,-0.006207546
128,08/05/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,1,0,206174,30900,79.63,80.95,64.17,58.65,100,0,1,0.013541853
129,09/05/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,1,0,208324,31175,79.63,80.95,64.17,58.65,100,0,1,-5.35E-05
130,10/05/2020,3,3,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,1,0,210645,31392,79.63,80.95,64.17,58.65,100,0,1,0.002426925
131,11/05/2020,3,0,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,1,0,214228,31579,77.78,77.38,63.06,57.37,100,0,1,-0.007819783
132,12/05/2020,3,0,2,4,1,2,2,0,2,2,0,0,2,1,0,0,0,1,0,217617,32193,77.78,77.38,63.06,57.37,100,0,1,-0.002025358
133,13/05/2020,3,0,2,4,1,1,0,0,2,2,0,0,2,1,0,0,0,1,0,220915,32640,71.3,72.62,59.17,52.88,100,0,1,-0.008551585
134,14/05/2020,3,0,2,4,1,1,0,0,2,2,0,0,2,1,0,0,0,1,0,223524,32992,71.3,72.62,59.17,52.88,100,0,1,-0.002169864
135,15/05/2020,3,0,2,4,1,1,0,0,2,2,0,0,2,1,0,0,0,1,0,226041,33342,71.3,72.62,59.17,52.88,100,0,1,-0.00612553
136,16/05/2020,3,0,2,4,1,1,0,0,2,2,0,0,2,1,0,0,0,1,0,228106,33753,71.3,72.62,59.17,52.88,100,0,1,-0.00561566
137,17/05/2020,3,0,2,4,1,1,0,0,2,2,0,0,2,1,0,0,0,1,0,229932,33820,71.3,72.62,59.17,52.88,100,0,1,-0.004637018
138,18/05/2020,3,0,2,4,1,1,0,0,2,2,0,0,2,2,0,0,0,1,0,232506,33966,71.3,72.62,61.39,55.45,100,0,1,0.005551572
139,19/05/2020,3,0,2,4,1,1,0,0,2,2,0,0,2,2,0,0,0,1,0,235547,34466,71.3,72.62,61.39,55.45,100,0,1,0.004745744
140,20/05/2020,3,0,2,4,1,1,0,0,2,2,0,24500000,2,2,0,0,0,1,0,238253,34794,71.3,72.62,61.39,55.45,100,0,1,0.001590506
141,21/05/2020,3,0,2,4,1,1,0,0,2,2,0,0,2,2,0,0,0,1,0,240795,35067,71.3,72.62,61.39,55.45,100,0,1,-0.004492554
142,22/05/2020,3,0,2,4,1,1,0,0,2,2,0,0,2,2,0,0,0,1,0,242825,35358,71.3,72.62,61.39,55.45,100,0,1,-0.002089779
143,23/05/2020,3,0,2,4,1,1,0,0,2,2,0,0,2,2,0,0,0,1,0,244332,35578,71.3,72.62,61.39,55.45,100,0,1,-0.001663942
144,24/05/2020,3,0,2,4,1,1,0,0,2,2,0,0,2,2,0,0,0,1,0,245680,35957,71.3,72.62,61.39,55.45,100,0,1,-0.002748759
145,25/05/2020,3,0,2,4,1,1,0,0,2,2,0,0,2,2,0,0,0,1,0,247287,36061,71.3,72.62,61.39,55.45,100,0,1,0.000533104
146,26/05/2020,3,0,2,4,1,1,0,0,2,2,0,0,2,2,0,0,0,1,0,248937,36192,71.3,72.62,61.39,55.45,100,0,1,0.013236056
147,27/05/2020,3,0,2,4,1,1,0,0,2,2,0,0,2,2,1,0,0,1,0,250739,36614,71.3,72.62,64.72,59.29,100,0,1,-0.011843127
148,28/05/2020,3,0,2,4,1,1,0,0,2,2,0,0,2,2,1,0,0,1,0,252473,36957,71.3,72.62,64.72,59.29,100,0,1,0.008723
149,29/05/2020,3,2,2,4,1,1,0,0,2,2,0,0,2,2,1,0,0,1,0,253977,37231,69.44,72.62,63.61,58.01,100,0,1,0.003484183
150,30/05/2020,3,2,2,4,1,1,0,0,2,2,0,0,2,2,1,0,0,1,0,255076,37385,69.44,72.62,63.61,58.01,100,0,1,0.000121352
151,31/05/2020,3,2,2,4,1,1,0,0,2,2,0,0,2,2,1,0,0,1,0,256145,37445,69.44,72.62,63.61,58.01,100,0,1,0.004109512
152,01/06/2020,0,2,2,4,1,1,0,0,2,2,0,0,2,2,2,0,0,1,0,257579,37531,67.59,69.05,65.83,60.58,100,0,1,0.009659578
153,02/06/2020,0,2,2,4,1,1,0,0,2,2,0,0,2,2,2,0,0,1,0,259046,37780,67.59,69.05,65.83,60.58,100,0,1,0.00591056
154,03/06/2020,0,2,2,4,1,1,0,0,2,2,0,0,2,2,2,0,0,1,0,260388,38034,67.59,69.05,65.83,60.58,100,0,1,0.003140719
155,04/06/2020,0,2,2,4,1,1,0,0,2,2,0,0,2,2,2,0,0,1,0,261622,38164,67.59,69.05,65.83,60.58,100,0,1,0.000872877
156,05/06/2020,0,2,2,4,1,1,0,0,2,2,0,0,2,2,2,0,0,1,0,262727,38422,67.59,69.05,65.83,60.58,100,0,1,0.009315979
157,06/06/2020,0,2,2,4,1,1,0,0,2,2,0,0,2,2,2,0,0,1,0,263518,38565,67.59,69.05,65.83,60.58,100,0,1,0.004443192
158,07/06/2020,0,2,2,4,1,1,0,0,2,2,0,0,2,2,2,0,0,1,0,264235,38619,67.59,69.05,65.83,60.58,100,0,1,0.00487735
159,08/06/2020,0,2,2,4,1,1,0,2,2,2,0,0,2,2,2,0,0,1,0,265321,38666,73.15,76.19,69.17,64.42,100,0,1,-0.002163354
160,09/06/2020,0,2,2,4,1,1,0,2,2,2,0,0,2,2,2,0,0,1,0,266474,38861,73.15,76.19,69.17,64.42,100,0,1,0.001927579
161,10/06/2020,0,2,2,4,1,1,0,2,2,2,0,0,2,2,2,0,0,1,0,267656,39025,73.15,76.19,69.17,64.42,100,0,1,0.002551272
162,11/06/2020,0,2,2,4,1,1,0,2,2,2,0,0,2,2,2,0,0,1,0,268657,39101,73.15,76.19,69.17,64.42,100,0,1,-0.008819649
163,12/06/2020,0,2,2,4,1,1,0,2,2,2,0,0,2,2,2,0,0,1,0,269710,39232,73.15,76.19,69.17,64.42,100,0,1,-0.008180167
164,13/06/2020,0,2,2,4,1,1,0,2,2,2,0,0,2,2,2,0,0,1,0,270597,39339,73.15,76.19,69.17,64.42,100,0,1,-0.004816181
165,14/06/2020,0,2,2,4,1,1,0,2,2,2,0,0,2,2,2,0,0,1,0,271404,39366,73.15,76.19,69.17,64.42,100,0,1,-0.007271999
