Local time in Budapest / Lorinc (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
31.08.2020 23:00,16.3,746.5,758.9,0.7,88,Wind blowing from the west,8,,,, ,,,,,,,,,,,14.3,,,,,,
31.08.2020 22:00,16.2,743.5,755.8,-2.8,88,Wind blowing from the north-northeast,4,,7,, ,,,,,,,,,,,14.2,,,,,,
31.08.2020 21:00,16.2,746.4,758.8,-0.9,92,Wind blowing from the north-east,2,,,, ,,,,,,,,,,,14.9,,,,,,
31.08.2020 20:00,19.2,745.8,758.0,-2.1,63,Wind blowing from the north,3,,,, ,,,,,,,,,,,12.0,,,,,,
31.08.2020 19:00,19.8,746.3,758.5,-1.7,59,Wind blowing from the north-northwest,4,,7,, ,,,,24.2,,,,,,,11.6,No precipitation,12,,,,
31.08.2020 18:00,20.5,747.3,759.5,-2.1,56,Wind blowing from the north,3,,,, ,,,,,,,,,,,11.4,,,,,,
31.08.2020 17:00,21.7,747.9,760.0,-1.7,53,Wind blowing from the north,3,,,, ,,,,,,,,,,,11.7,,,,,,
31.08.2020 16:00,22.5,748.0,760.1,-1.8,51,Wind blowing from the north,2,,,, ,,,,,,,,,,,11.9,,,,,,
31.08.2020 15:00,21.9,749.4,761.5,-0.1,50,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,11.0,,,,,,
31.08.2020 14:00,22.7,749.6,761.8,0.4,46,Wind blowing from the west-northwest,4,,,, ,,,,,,,,,,,10.5,,,,,,
31.08.2020 13:00,23.1,749.8,761.9,0.4,44,Wind blowing from the west-northwest,3,,7,, ,,,,,,,,,,,10.2,No precipitation,6,,,,
31.08.2020 12:00,23.6,749.5,761.6,0.6,42,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,10.0,,,,,,
31.08.2020 11:00,22.7,749.2,761.4,0.9,44,Wind blowing from the north-northwest,4,,,, ,,,,,,,,,,,9.8,,,,,,
31.08.2020 10:00,21.8,749.4,761.6,1.3,47,Wind blowing from the north-west,4,,9,, ,,,,,,,,,,,10.0,,,,,,
31.08.2020 09:00,20.8,748.9,761.2,1.2,50,Wind blowing from the north-west,5,,,, ,,,,,,,,,,,10.0,,,,,,
31.08.2020 08:00,20.0,748.3,760.6,1.3,54,Wind blowing from the north-west,5,,,, ,,,,,,,,,,,10.4,,,,,,
31.08.2020 07:00,19.2,748.1,760.4,1.6,63,Wind blowing from the north-northwest,5,,10,, ,,,18.4,,,,,,,,12.0,No precipitation,12,,,,
31.08.2020 06:00,18.6,747.7,760.0,1.7,67,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,12.4,,,,,,
31.08.2020 05:00,19.1,747.0,759.3,1.5,67,Wind blowing from the north-west,2,,,, ,,,,,,,,,,,12.8,,,,,,
31.08.2020 04:00,19.7,746.5,758.8,1.3,66,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,13.2,,,,,,
31.08.2020 03:00,21.8,746.0,758.2,1.1,68,Wind blowing from the west-northwest,3,,,, ,,,,,,,,,,,15.6,,,,,,
31.08.2020 02:00,21.3,745.5,757.6,0.8,69,Wind blowing from the west,2,,,, ,,,,,,,,,,,15.4,,,,,,
31.08.2020 01:00,21.7,745.2,757.3,0.8,68,Wind blowing from the south-west,1,,,, ,,,,,,,,,,,15.5,No precipitation,6,,,,
31.08.2020 00:00,23.9,744.9,756.9,1.3,59,Wind blowing from the west,2,,,, ,,,,,,,,,,,15.4,,,,,,
30.08.2020 23:00,24.7,744.7,756.7,1.1,55,Wind blowing from the south-southwest,1,,,, ,,,,,,,,,,,15.1,,,,,,
30.08.2020 22:00,25.9,744.4,756.4,1.2,50,Wind blowing from the south-west,2,,8,, ,,,,,,,,,,,14.7,,,,,,
30.08.2020 21:00,26.7,743.6,755.5,0.3,52,Wind blowing from the south-east,1,,,, ,,,,,,,,,,,16.0,,,,,,
30.08.2020 20:00,27.7,743.6,755.5,0.1,47,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,15.4,,,,,,
30.08.2020 19:00,28.4,743.2,755.0,-0.3,46,Wind blowing from the south-east,1,,,, ,,,,34.5,,,,,,,15.7,No precipitation,12,,,,
30.08.2020 18:00,31.2,743.3,755.0,-0.3,37,Wind blowing from the south,2,,,, ,,,,,,,,,,,14.8,,,,,,
30.08.2020 17:00,32.9,743.5,755.2,0.0,33,Wind blowing from the south,2,,,, ,,,,,,,,,,,14.5,,,,,,
30.08.2020 16:00,32.8,743.5,755.2,-0.5,31,Wind blowing from the south-southwest,2,,7,, ,,,,,,,,,,,13.5,,,,,,
30.08.2020 15:00,33.9,743.6,755.2,-0.8,29,Wind blowing from the south,4,,,, ,,,,,,,,,,,13.4,,,,,,
30.08.2020 14:00,33.8,743.5,755.2,-1.2,30,Wind blowing from the south-southeast,4,,,, ,,,,,,,,,,,13.8,,,,,,
30.08.2020 13:00,34.3,744.0,755.6,-0.7,29,Wind blowing from the south-west,3,,8,, ,,,,,,,,,,,13.7,No precipitation,6,,,,
30.08.2020 12:00,31.8,744.4,756.1,0.1,37,Wind blowing from the east-southeast,2,,,, ,,,,,,,,,,,15.3,,,,,,
30.08.2020 11:00,30.2,744.7,756.4,1.2,43,Wind blowing from the south-southeast,3,,,, ,,,,,,,,,,,16.2,,,,,,
30.08.2020 10:00,28.5,744.7,756.6,1.0,53,Wind blowing from the south-southeast,1,,,, ,,,,,,,,,,,18.0,,,,,,
30.08.2020 09:00,25.3,744.3,756.3,0.9,62,Wind blowing from the south,1,,,, ,,,,,,,,,,,17.5,,,,,,
30.08.2020 08:00,23.3,743.5,755.5,0.0,69,Wind blowing from the east-southeast,1,,,, ,,,,,,,,,,,17.3,,,,,,
30.08.2020 07:00,22.1,743.7,755.8,0.1,74,Wind blowing from the east-southeast,2,,,, ,,,18.1,,,,,,,,17.3,No precipitation,12,,,,
30.08.2020 06:00,18.6,743.4,755.6,-0.1,85,Wind blowing from the east,1,,,, ,,,,,,,,,,,16.0,,,,,,
30.08.2020 05:00,18.6,743.5,755.7,0.3,85,Wind blowing from the east-southeast,2,,,, ,,,,,,,,,,,16.0,,,,,,
30.08.2020 04:00,19.1,743.6,755.8,0.4,84,Wind blowing from the east,2,,,, ,,,,,,,,,,,16.3,,,,,,
30.08.2020 03:00,19.9,743.5,755.6,0.2,79,Calm no wind,0,,,, ,,,,,,,,,,,16.2,,,,,,
30.08.2020 02:00,20.9,743.2,755.4,-0.2,74,Wind blowing from the east-southeast,1,,,, ,,,,,,,,,,,16.1,,,,,,
30.08.2020 01:00,21.8,743.2,755.3,-0.1,71,Wind blowing from the east-southeast,2,,,, ,,,,,,,,,,,16.3,No precipitation,6,,,,
30.08.2020 00:00,22.4,743.3,755.4,0.1,69,Wind blowing from the east-southeast,2,,,, ,,,,,,,,,,,16.4,,,,,,
29.08.2020 23:00,22.7,743.4,755.5,-0.1,71,Wind blowing from the north-east,1,,,, ,,,,,,,,,,,17.2,,,,,,
29.08.2020 22:00,22.4,743.3,755.4,0.2,74,Wind blowing from the east,1,,,, ,,,,,,,,,,,17.5,,,,,,
29.08.2020 21:00,24.1,743.2,755.2,0.6,68,Wind blowing from the north-east,1,,,, ,,,,,,,,,,,17.8,,,,,,
29.08.2020 20:00,25.9,743.5,755.5,0.8,60,Wind blowing from the north,1,,,, ,,,,,,,,,,,17.5,,,,,,
29.08.2020 19:00,26.7,743.1,755.0,0.4,57,Wind blowing from the east,0,,,, ,,,,33.6,,,,,,,17.5,No precipitation,12,,,,
29.08.2020 18:00,30.7,742.6,754.3,-0.3,44,Wind blowing from the south-east,2,,,, ,,,,,,,,,,,17.1,,,,,,
29.08.2020 17:00,33.0,742.7,754.3,-0.4,37,Wind blowing from the south,3,,,, ,,,,,,,,,,,16.4,,,,,,
29.08.2020 16:00,33.4,742.7,754.3,-0.7,37,Wind blowing from the south,3,,,, ,,,,,,,,,,,16.7,,,,,,
29.08.2020 15:00,32.9,742.9,754.5,-0.8,37,Wind blowing from the south-southwest,3,,,, ,,,,,,,,,,,16.3,,,,,,
29.08.2020 14:00,33.2,743.1,754.7,-0.7,38,Wind blowing from the south-southwest,3,,,, ,,,,,,,,,,,17.0,,,,,,
29.08.2020 13:00,32.1,743.4,755.1,-0.6,41,Wind blowing from the south-southeast,3,,,, ,,,,,,,,,,,17.2,No precipitation,6,,,,
29.08.2020 12:00,30.4,743.7,755.5,-0.3,44,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,16.8,,,,,,
29.08.2020 11:00,28.2,743.8,755.7,-0.1,48,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,16.2,,,,,,
29.08.2020 10:00,26.7,744.0,755.9,0.3,53,Wind blowing from the east-southeast,2,,,, ,,,,,,,,,,,16.3,,,,,,
29.08.2020 09:00,23.5,744.0,756.0,0.2,56,Wind blowing from the south-east,2,,,, ,,,,,,,,,,,14.2,,,,,,
29.08.2020 08:00,21.6,743.9,756.0,0.4,60,Wind blowing from the south-east,2,,,, ,,,,,,,,,,,13.5,,,,,,
29.08.2020 07:00,20.3,743.7,755.8,0.2,65,Wind blowing from the east,2,,,, ,,,17.5,,,,,,,,13.5,No precipitation,12,,,,
29.08.2020 06:00,17.7,743.8,756.1,0.3,74,Wind blowing from the east,2,,,, ,,,,,,,,,,,13.0,,,,,,
29.08.2020 05:00,18.1,743.5,755.8,-0.1,71,Wind blowing from the east-northeast,2,,,, ,,,,,,,,,,,12.8,,,,,,
29.08.2020 04:00,18.2,743.5,755.8,-0.1,70,Wind blowing from the east,1,,,, ,,,,,,,,,,,12.6,,,,,,
29.08.2020 03:00,19.3,743.5,755.7,-0.3,66,Wind blowing from the east-northeast,2,,,, ,,,,,,,,,,,12.8,,,,,,
29.08.2020 02:00,20.1,743.6,755.8,-0.3,63,Wind blowing from the east-southeast,2,,,, ,,,,,,,,,,,12.8,,,,,,
29.08.2020 01:00,20.4,743.6,755.8,-0.6,62,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,,12.9,No precipitation,6,,,,
29.08.2020 00:00,20.8,743.8,755.9,-0.5,61,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,,13.0,,,,,,
28.08.2020 23:00,21.3,743.9,756.1,-0.5,59,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,,13.0,,,,,,
28.08.2020 22:00,21.6,744.2,756.4,-0.1,57,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,,12.7,,,,,,
28.08.2020 21:00,22.2,744.3,756.4,-0.2,56,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,,13.0,,,,,,
28.08.2020 20:00,23.1,744.4,756.5,-0.4,53,Wind blowing from the east-southeast,2,,,, ,,,,,,,,,,,13.0,,,,,,
28.08.2020 19:00,24.0,744.3,756.3,-0.7,51,Wind blowing from the east-southeast,2,,,, ,,,,28.8,,,,,,,13.2,No precipitation,12,,,,
28.08.2020 18:00,27.5,744.5,756.4,-0.9,40,Wind blowing from the south-east,2,,,, ,,,,,,,,,,,12.7,,,,,,
28.08.2020 17:00,28.4,744.8,756.7,-1.1,37,Wind blowing from the south,3,,,, ,,,,,,,,,,,12.3,,,,,,
28.08.2020 16:00,28.6,745.0,756.9,-1.2,36,Wind blowing from the south-southeast,3,,7,, ,,,,,,,,,,,12.1,,,,,,
28.08.2020 15:00,28.4,745.4,757.3,-1.7,36,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,11.9,,,,,,
28.08.2020 14:00,27.9,745.9,757.7,-1.6,37,Wind blowing from the south,3,,,, ,,,,,,,,,,,11.9,,,,,,
28.08.2020 13:00,27.6,746.2,758.2,-1.5,37,Wind blowing from the south-southeast,3,,7,, ,,,,,,,,,,,11.6,No precipitation,6,,,,
28.08.2020 12:00,26.2,747.1,759.1,-0.6,37,Wind blowing from the south,3,,,, ,,,,,,,,,,,10.4,,,,,,
28.08.2020 11:00,25.5,747.5,759.5,-0.3,39,Wind blowing from the south,3,,,, ,,,,,,,,,,,10.5,,,,,,
28.08.2020 10:00,24.7,747.7,759.7,-0.1,40,Wind blowing from the south,2,,,, ,,,,,,,,,,,10.2,,,,,,
28.08.2020 09:00,22.9,747.7,759.9,0.0,44,Wind blowing from the south-east,2,,,, ,,,,,,,,,,,10.0,,,,,,
28.08.2020 08:00,20.6,747.8,760.0,0.1,55,Calm no wind,0,,,, ,,,,,,,,,,,11.3,,,,,,
28.08.2020 07:00,18.3,747.8,760.1,0.1,61,Wind blowing from the north-northeast,1,,,, ,,,13.7,,,,,,,,10.7,No precipitation,12,,,,
28.08.2020 06:00,14.7,747.7,760.2,-0.2,77,Wind blowing from the north-east,1,,,, ,,,,,,,,,,,10.7,,,,,,
28.08.2020 05:00,14.1,747.7,760.3,-0.3,79,Wind blowing from the north-east,1,,,, ,,,,,,,,,,,10.5,,,,,,
28.08.2020 04:00,13.7,747.7,760.3,-0.3,82,Wind blowing from the north-east,1,,,, ,,,,,,,,,,,10.7,,,,,,
28.08.2020 03:00,14.6,747.9,760.3,-0.1,80,Wind blowing from the east-northeast,2,,,, ,,,,,,,,,,,11.2,,,,,,
28.08.2020 02:00,14.8,748.0,760.5,-0.1,76,Calm no wind,0,,,, ,,,,,,,,,,,10.6,,,,,,
28.08.2020 01:00,15.5,748.0,760.5,-0.2,72,Wind blowing from the south,1,,,, ,,,,,,,,,,,10.5,No precipitation,6,,,,
28.08.2020 00:00,16.5,748.0,760.3,0.0,70,Wind blowing from the south-southeast,1,,,, ,,,,,,,,,,,11.0,,,,,,
27.08.2020 23:00,18.0,748.1,760.4,0.1,60,Wind blowing from the north-east,1,,,, ,,,,,,,,,,,10.1,,,,,,
27.08.2020 22:00,20.3,748.2,760.4,0.3,51,Wind blowing from the north,1,,,, ,,,,,,,,,,,9.8,,,,,,
27.08.2020 21:00,21.6,748.0,760.2,0.1,45,Wind blowing from the north-northwest,1,,,, ,,,,,,,,,,,9.2,,,,,,
27.08.2020 20:00,22.5,748.0,760.2,-0.1,42,Wind blowing from the north,1,,,, ,,,,,,,,,,,9.0,,,,,,
27.08.2020 19:00,23.4,747.9,760.0,-0.3,38,Wind blowing from the north-northwest,2,,,, ,,,,26.1,,,,,,,8.3,No precipitation,12,,,,
27.08.2020 18:00,24.4,747.9,760.0,-0.5,36,Wind blowing from the west-northwest,3,,,, ,,,,,,,,,,,8.4,,,,,,
27.08.2020 17:00,25.3,748.1,760.1,-0.6,34,Wind blowing from the west-northwest,5,,,, ,,,,,,,,,,,8.3,,,,,,
27.08.2020 16:00,25.4,748.2,760.2,-0.6,34,Wind blowing from the west-northwest,4,,10,, ,,,,,,,,,,,8.4,,,,,,
27.08.2020 15:00,25.6,748.4,760.4,-0.6,33,Wind blowing from the west-northwest,7,,,, ,,,,,,,,,,,8.1,,,,,,
27.08.2020 14:00,25.6,748.7,760.7,-0.7,35,Wind blowing from the west,6,,,, ,,,,,,,,,,,9.0,,,,,,
27.08.2020 13:00,25.1,748.8,760.9,-0.4,34,Wind blowing from the west,7,,,, ,,,,,,,,,,,8.2,No precipitation,6,,,,
27.08.2020 12:00,24.3,749.0,761.1,-0.1,36,Wind blowing from the west-northwest,9,,,, ,,,,,,,,,,,8.3,,,,,,
27.08.2020 11:00,24.1,749.4,761.5,0.2,39,Wind blowing from the west-northwest,6,,,, ,,,,,,,,,,,9.3,,,,,,
27.08.2020 10:00,23.6,749.2,761.2,0.2,40,Wind blowing from the west-northwest,5,,12,, ,,,,,,,,,,,9.2,,,,,,
27.08.2020 09:00,23.0,749.1,761.2,0.5,41,Wind blowing from the west-northwest,5,,,, ,,,,,,,,,,,9.1,,,,,,
27.08.2020 08:00,21.9,749.2,761.3,1.1,44,Wind blowing from the west-northwest,4,,,, ,,,,,,,,,,,9.1,,,,,,
27.08.2020 07:00,21.4,749.0,761.2,1.0,45,Wind blowing from the north-west,2,,7,, ,,,19.9,,,,,,,,9.0,No precipitation,12,,,,
27.08.2020 06:00,20.2,748.6,760.8,0.6,47,Wind blowing from the west,2,,,, ,,,,,,,,,,,8.5,,,,,,
27.08.2020 05:00,21.3,748.1,760.3,0.4,43,Wind blowing from the west-northwest,5,,,, ,,,,,,,,,,,8.2,,,,,,
27.08.2020 04:00,21.5,748.0,760.1,0.6,42,Wind blowing from the west-northwest,4,,9,, ,,,,,,,,,,,8.1,,,,,,
27.08.2020 03:00,22.4,748.0,760.1,1.0,39,Wind blowing from the west-northwest,4,,,, ,,,,,,,,,,,7.8,,,,,,
27.08.2020 02:00,22.6,747.7,759.8,1.0,40,Wind blowing from the north-west,4,,,, ,,,,,,,,,,,8.3,,,,,,
27.08.2020 01:00,23.0,747.4,759.5,0.6,41,Wind blowing from the north-west,4,,9,, ,,,,,,,,,,,9.1,No precipitation,6,,,,
27.08.2020 00:00,21.2,747.0,759.1,0.5,68,Wind blowing from the west,2,,,, ,,,,,,,,,,,15.1,,,,,,
26.08.2020 23:00,22.1,746.7,758.8,0.4,67,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,,15.7,,,,,,
26.08.2020 22:00,21.3,746.8,758.9,1.0,70,Wind blowing from the west-southwest,1,,,, ,,,,,,,,,,,15.6,,,,,,
26.08.2020 21:00,23.3,746.5,758.6,1.2,59,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,,14.8,,,,,,
26.08.2020 20:00,24.7,746.3,758.3,0.8,50,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,,13.6,,,,,,
26.08.2020 19:00,25.0,745.8,757.8,0.0,46,Wind blowing from the south-west,2,,7,, ,,,,30.6,,,,,,,12.6,No precipitation,12,,,,
26.08.2020 18:00,28.5,745.3,757.2,-1.1,37,Wind blowing from the south-southwest,3,,,, ,,,,,,,,,,,12.4,,,,,,
26.08.2020 17:00,29.8,745.5,757.3,-1.2,35,Wind blowing from the south-west,3,,,, ,,,,,,,,,,,12.7,,,,,,
26.08.2020 16:00,30.0,745.8,757.6,-1.1,35,Wind blowing from the west-southwest,4,,8,, ,,,,,,,,,,,12.9,,,,,,
26.08.2020 15:00,30.1,746.4,758.2,-1.0,36,Wind blowing from the south-west,3,,,, ,,,,,,,,,,,13.4,,,,,,
26.08.2020 14:00,29.6,746.7,758.5,-1.2,39,Wind blowing from the south-southwest,4,,,, ,,,,,,,,,,,14.2,,,,,,
26.08.2020 13:00,28.6,746.9,758.8,-1.1,40,Wind blowing from the south-southwest,4,,8,, ,,,,,,,,,,,13.7,No precipitation,6,,,,
26.08.2020 12:00,27.3,747.4,759.4,-1.1,41,Wind blowing from the south,4,,,, ,,,,,,,,,,,12.9,,,,,,
26.08.2020 11:00,26.1,747.9,759.9,-0.7,43,Wind blowing from the south-southwest,4,,,, ,,,,,,,,,,,12.6,,,,,,
26.08.2020 10:00,25.1,748.0,760.0,-0.6,47,Wind blowing from the south,3,,7,, ,,,,,,,,,,,13.0,,,,,,
26.08.2020 09:00,21.6,748.5,760.6,,59,Wind blowing from the south-southwest,2,,,, ,,,,,,,,,,,13.3,,,,,,
26.08.2020 08:00,19.3,748.6,760.9,,63,Wind blowing from the south-southwest,2,,,, ,,,,,,,,,,,12.1,,,,,,
26.08.2020 07:00,16.9,748.6,761.0,-0.2,75,Wind blowing from the south-southeast,1,,,, ,,,12.3,,,,,,,,12.4,0.1,12,,,,
26.08.2020 06:00,13.2,748.4,760.9,,87,Wind blowing from the east-southeast,2,,,, ,,,,,,,,,,,11.1,,,,,,
26.08.2020 05:00,12.8,748.6,761.1,,90,Wind blowing from the east,1,,,, ,,,,,,,,,,,11.2,,,,,,
26.08.2020 04:00,12.5,748.8,761.4,-0.2,90,Wind blowing from the east,1,,,, ,,,,,,,,,,,10.9,,,,,,
26.08.2020 03:00,13.4,748.7,761.2,,86,Wind blowing from the east-southeast,1,,,, ,,,,,,,,,,,11.1,,,,,,
26.08.2020 02:00,13.7,748.9,761.4,,86,Wind blowing from the east,1,,,, ,,,,,,,,,,,11.4,,,,,,
26.08.2020 01:00,13.6,749.0,761.5,0.0,84,Wind blowing from the east-southeast,1,,,, ,,,,,,,,,,,11.0,No precipitation,6,,,,
26.08.2020 00:00,14.5,749.1,761.6,,82,Wind blowing from the south-west,1,,,, ,,,,,,,,,,,11.5,,,,,,
25.08.2020 23:00,15.9,749.1,761.5,,74,Calm no wind,0,,,, ,,,,,,,,,,,11.3,,,,,,
25.08.2020 22:00,17.2,749.0,761.4,0.7,66,Wind blowing from the west-southwest,1,,,, ,,,,,,,,,,,10.8,,,,,,
25.08.2020 21:00,18.2,748.9,761.2,,63,Wind blowing from the south-west,1,,,, ,,,,,,,,,,,11.0,,,,,,
25.08.2020 20:00,21.0,748.7,760.9,,50,Wind blowing from the west,2,,,, ,,,,,,,,,,,10.2,,,,,,
25.08.2020 19:00,22.9,748.3,760.4,0.5,42,Wind blowing from the west,2,,,, ,,,,26.4,,,,,,,9.3,,,,,,
25.08.2020 18:00,25.0,748.1,760.1,0.2,37,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,9.3,,,,,,
25.08.2020 17:00,25.8,748.0,760.0,-0.1,36,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,9.6,,,,,,
25.08.2020 16:00,26.0,747.8,759.8,-0.4,34,Wind blowing from the west-northwest,4,,9,, ,,,,,,,,,,,8.9,,,,,,
25.08.2020 15:00,26.2,747.9,759.9,-0.3,33,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,8.7,,,,,,
25.08.2020 14:00,26.3,748.1,760.1,-0.2,34,Wind blowing from the west-northwest,3,,,, ,,,,,,,,,,,9.2,,,,,,
25.08.2020 13:00,25.8,748.2,760.2,-0.1,33,Wind blowing from the north-northwest,3,,8,, ,,,,,,,,,,,8.3,No precipitation,6,,,,
25.08.2020 12:00,25.1,748.2,760.2,-0.1,41,Wind blowing from the west-northwest,4,,,, ,,,,,,,,,,,10.9,,,,,,
25.08.2020 11:00,24.6,748.3,760.4,0.2,37,Wind blowing from the north-west,4,,,, ,,,,,,,,,,,9.0,,,,,,
25.08.2020 10:00,24.0,748.3,760.3,0.3,41,Wind blowing from the west-northwest,4,,8,, ,,,,,,,,,,,9.9,,,,,,
25.08.2020 09:00,23.6,748.3,760.4,0.5,43,Wind blowing from the west-northwest,2,,,, ,,,,,,,,,,,10.3,,,,,,
25.08.2020 08:00,21.7,748.1,760.3,0.7,52,Wind blowing from the north-west,2,,,, ,,,,,,,,,,,11.4,,,,,,
25.08.2020 07:00,20.4,748.0,760.3,0.9,58,Wind blowing from the north-west,2,,,, ,,,18.7,,,,,,,,11.9,No precipitation,12,,,,
25.08.2020 06:00,18.8,747.8,760.1,0.0,66,Wind blowing from the west-northwest,1,,,, ,,,,,,,,,,,12.3,,,,,,
25.08.2020 05:00,19.7,747.4,759.6,-0.3,62,Wind blowing from the north-northwest,2,,,, ,,,,,,,,,,,12.2,,,,,,
25.08.2020 04:00,19.7,747.1,759.4,-0.6,64,Wind blowing from the north-northwest,1,,,, ,,,,,,,,,,,12.7,,,,,,
25.08.2020 03:00,20.3,747.8,760.0,0.0,62,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,12.8,,,,,,
25.08.2020 02:00,20.6,747.7,759.9,-0.3,61,Wind blowing from the north-west,2,,,, ,,,,,,,,,,,12.8,,,,,,
25.08.2020 01:00,20.7,747.7,759.9,-0.6,62,Wind blowing from the north-northwest,2,,7,, ,,,,,,,,,,,13.2,No precipitation,6,,,,
25.08.2020 00:00,21.6,747.8,760.0,-0.6,58,Wind blowing from the north-northwest,3,,,, ,,,,,,,,,,,13.0,,,,,,
24.08.2020 23:00,21.4,748.0,760.2,-0.3,56,Wind blowing from the north-northwest,1,,,, ,,,,,,,,,,,12.3,,,,,,
24.08.2020 22:00,21.1,748.3,760.5,0.1,57,Wind blowing from the west,1,,,, ,,,,,,,,,,,12.3,,,,,,
24.08.2020 21:00,21.8,748.4,760.6,0.1,55,Wind blowing from the west-northwest,2,,,, ,,,,,,,,,,,12.4,,,,,,
24.08.2020 20:00,21.9,748.3,760.4,0.0,56,Wind blowing from the west,1,,,, ,,,,,,,,,,,12.7,,,,,,
24.08.2020 19:00,22.5,748.2,760.3,-0.1,53,Wind blowing from the west,2,,,, ,,,,27.0,,,,,,,12.5,No precipitation,12,,,,
24.08.2020 18:00,24.2,748.3,760.3,-0.2,48,Wind blowing from the west,3,,,, ,,,,,,,,,,,12.5,,,,,,
24.08.2020 17:00,24.8,748.3,760.3,-0.3,48,Wind blowing from the west,3,,,, ,,,,,,,,,,,13.1,,,,,,
24.08.2020 16:00,25.0,748.3,760.3,-0.6,45,Wind blowing from the west-northwest,2,,,, ,,,,,,,,,,,12.3,,,,,,
24.08.2020 15:00,25.2,748.5,760.5,-0.7,44,Wind blowing from the north-northwest,3,,,, ,,,,,,,,,,,12.1,,,,,,
24.08.2020 14:00,26.2,748.6,760.6,-0.9,41,Wind blowing from the north-west,2,,,, ,,,,,,,,,,,11.9,,,,,,
24.08.2020 13:00,26.5,748.9,760.9,-0.6,34,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,9.4,,,,,,
24.08.2020 12:00,26.2,749.2,761.2,-0.1,36,Wind blowing from the north-northwest,3,,,, ,,,,,,,,,,,10.0,,,,,,
24.08.2020 11:00,25.5,749.5,761.6,0.3,41,Wind blowing from the west-northwest,3,,,, ,,,,,,,,,,,11.3,,,,,,
24.08.2020 10:00,24.5,749.5,761.6,0.3,45,Wind blowing from the north-west,3,,7,, ,,,,,,,,,,,11.8,,,,,,
24.08.2020 09:00,24.7,749.3,761.4,0.4,48,Wind blowing from the north-west,2,,,, ,,,,,,,,,,,13.0,,,,,,
24.08.2020 08:00,22.7,749.2,761.4,0.6,57,Wind blowing from the north-west,2,,,, ,,,,,,,,,,,13.8,,,,,,
24.08.2020 07:00,20.9,749.2,761.5,0.7,61,Wind blowing from the north-northwest,2,,,, ,,,15.1,,,,,,,,13.1,0.2,12,,,,
24.08.2020 06:00,17.7,748.9,761.2,0.3,75,Wind blowing from the north,1,,,, ,,,,,,,,,,,13.2,,,,,,
24.08.2020 05:00,18.3,748.6,760.9,0.0,70,Wind blowing from the north-west,2,,,, ,,,,,,,,,,,12.7,,,,,,
24.08.2020 04:00,17.5,748.5,760.9,-0.3,75,Wind blowing from the north-west,2,,,, ,,,,,,,,,,,13.0,,,,,,
24.08.2020 03:00,15.6,748.6,761.0,-0.2,85,Calm no wind,0,,,, ,,,,,,,,,,,13.1,,,,,,
24.08.2020 02:00,16.1,748.6,761.1,-0.3,82,Wind blowing from the west,2,,,, ,,,,,,,,,,,13.0,,,,,,
24.08.2020 01:00,17.3,748.8,761.2,0.1,75,Wind blowing from the south-west,1,,,, ,,,,,,,,,,,12.8,No precipitation,6,,,,
24.08.2020 00:00,17.7,748.8,761.2,0.3,72,Wind blowing from the west-northwest,1,,,, ,,,,,,,,,,,12.6,,,,,,
23.08.2020 23:00,19.6,748.9,761.2,0.6,67,Wind blowing from the north-west,1,,,, ,,,,,,,,,,,13.3,,,,,,
23.08.2020 22:00,18.4,748.7,761.0,0.7,74,Wind blowing from the south-west,1,,,, ,,,,,,,,,,,13.7,,,,,,
23.08.2020 21:00,21.1,748.5,760.7,0.5,58,Wind blowing from the west,1,,,, ,,,,,,,,,,,12.5,,,,,,
23.08.2020 20:00,24.4,748.3,760.3,0.3,46,Wind blowing from the north-west,2,,,, ,,,,,,,,,,,12.0,,,,,,
23.08.2020 19:00,25.1,748.0,760.0,-0.2,45,Wind blowing from the west-northwest,2,,,, ,,,,27.6,,,,,,,12.3,No precipitation,12,,,,
23.08.2020 18:00,26.1,748.0,760.0,-0.3,45,Wind blowing from the north-west,2,,,, ,,,,,,,,,,,13.2,,,,,,
