Local time in Bern / Liebefeld,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
31.08.2020 23:00,13.2,715.5,763.9,0.5,83,Wind blowing from the south,2,,,, ,,,,,,,,,,,10.3,No precipitation,1,,,,
31.08.2020 22:00,12.9,715.4,763.9,0.6,91,Wind blowing from the north-northwest,1,,,, ,,,,,,,,,,,11.4,No precipitation,1,,,,
31.08.2020 21:00,13.5,715.3,763.6,0.6,82,Wind blowing from the north-northeast,1,,,, ,,,,,,,,,,,10.5,No precipitation,1,,,,
31.08.2020 20:00,14.3,715.0,763.2,0.4,77,Wind blowing from the north-northeast,1,,,, ,,,,,,,,,,,10.2,No precipitation,1,,,,
31.08.2020 19:00,14.9,714.8,762.8,0.4,72,Wind blowing from the north-northeast,1,,,, ,,,,18.6,,,,,,,9.8,No precipitation,12,,,,
31.08.2020 18:00,15.9,714.7,762.5,0.0,69,Wind blowing from the north-northwest,4,,,, ,,,,,,,,,,,10.1,No precipitation,1,,,,
31.08.2020 17:00,16.4,714.6,762.4,-0.1,67,Wind blowing from the north-northwest,4,,,, ,,,,,,,,,,,10.1,No precipitation,1,,,,
31.08.2020 16:00,17.5,714.4,762.0,-0.5,63,Wind blowing from the north-northwest,3,,,, ,,,,,,,,,,,10.4,No precipitation,1,,,,
31.08.2020 15:00,18.0,714.7,762.1,-0.5,56,Wind blowing from the north,2,,,, ,,,,,,,,,,,9.0,No precipitation,1,,,,
31.08.2020 14:00,18.1,714.7,762.2,-0.6,59,Wind blowing from the north-northwest,2,,,, ,,,,,,,,,,,10.0,No precipitation,1,,,,
31.08.2020 13:00,17.1,714.9,762.5,-0.4,54,Wind blowing from the north-northeast,2,,,, ,,,,,,,,,,,7.7,No precipitation,6,,,,
31.08.2020 12:00,16.1,715.2,763.0,-0.1,62,Wind blowing from the north-east,3,,,, ,,,,,,,,,,,8.8,No precipitation,1,,,,
31.08.2020 11:00,15.4,715.3,763.3,-0.3,72,Wind blowing from the east-northeast,2,,,, ,,,,,,,,,,,10.3,No precipitation,1,,,,
31.08.2020 10:00,14.4,715.3,763.5,0.3,76,Wind blowing from the north-northeast,1,,,, ,,,,,,,,,,,10.2,No precipitation,1,,,,
31.08.2020 09:00,12.6,715.3,763.8,0.0,81,Wind blowing from the north-west,0,,,, ,,,,,,,,,,,9.4,No precipitation,1,,,,
31.08.2020 08:00,11.8,715.6,764.2,0.6,89,Wind blowing from the south-southeast,3,,,, ,,,,,,,,,,,10.1,No precipitation,1,,,,
31.08.2020 07:00,10.8,715.0,763.9,0.2,89,Wind blowing from the south,1,,,, ,,,10.2,,,,,,,,9.0,0.7,12,,,,
31.08.2020 06:00,10.6,715.3,764.1,0.5,92,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,9.3,No precipitation,1,,,,
31.08.2020 05:00,10.7,715.0,763.8,0.3,91,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,9.3,No precipitation,1,,,,
31.08.2020 04:00,10.5,714.8,763.6,-0.2,93,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,9.4,No precipitation,1,,,,
31.08.2020 03:00,10.7,714.8,763.6,-0.3,93,Wind blowing from the south,1,,,, ,,,,,,,,,,,9.6,No precipitation,1,,,,
31.08.2020 02:00,10.7,714.7,763.6,-0.3,92,Wind blowing from the south,1,,,, ,,,,,,,,,,,9.5,No precipitation,1,,,,
31.08.2020 01:00,10.9,715.0,763.7,0.0,91,Wind blowing from the south,1,,,, ,,,,,,,,,,,9.4,0.7,6,,,,
31.08.2020 00:00,10.9,715.1,763.9,0.4,89,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,9.1,No precipitation,1,,,,
30.08.2020 23:00,10.6,715.0,763.9,0.8,89,Wind blowing from the south,2,,,, ,,,,,,,,,,,8.9,No precipitation,1,,,,
30.08.2020 22:00,10.4,715.0,763.9,1.4,91,Wind blowing from the south,2,,,, ,,,,,,,,,,,9.0,0.1,1,,,,
30.08.2020 21:00,10.3,714.7,763.6,1.5,92,Wind blowing from the south,2,,,, ,,,,,,,,,,,9.0,0.5,1,,,,
30.08.2020 20:00,10.3,714.2,763.0,1.2,91,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,8.8,0.1,1,,,,
30.08.2020 19:00,10.6,713.6,762.4,1.1,86,Wind blowing from the south,2,,,, ,,,,11.7,,,,,,,8.4,25.0,12,,,,
30.08.2020 18:00,10.5,713.2,761.9,0.8,90,Wind blowing from the south-southeast,4,,,, ,,,,,,,,,,,8.9,0.1,1,,,,
30.08.2020 17:00,10.7,713.0,761.7,0.9,84,Wind blowing from the south,3,,,, ,,,,,,,,,,,8.1,No precipitation,1,,,,
30.08.2020 16:00,10.3,712.5,761.2,1.1,86,Wind blowing from the south-southeast,4,,,, ,,,,,,,,,,,8.0,No precipitation,1,,,,
30.08.2020 15:00,9.3,712.4,761.3,1.9,90,Wind blowing from the south-southeast,5,,,, ,,,,,,,,,,,7.7,0.6,1,,,,
30.08.2020 14:00,9.1,712.1,761.0,1.8,90,Wind blowing from the south,5,,,, ,,,,,,,,,,,7.6,1.0,1,,,,
30.08.2020 13:00,10.0,711.4,760.0,2.1,91,Wind blowing from the south-southeast,4,,,, ,,,,,,,,,,,8.5,23.0,6,,,,
30.08.2020 12:00,10.6,710.5,759.1,1.8,94,Wind blowing from the south-southwest,2,,,, ,,,,,,,,,,,9.7,5.0,1,,,,
30.08.2020 11:00,10.6,710.3,758.8,2.2,95,Wind blowing from the south-west,2,,,, ,,,,,,,,,,,9.9,6.0,1,,,,
30.08.2020 10:00,10.9,709.3,757.6,1.4,95,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,,10.1,3.0,1,,,,
30.08.2020 09:00,11.3,708.7,757.0,1.1,95,Wind blowing from the south-west,2,,,, ,,,,,,,,,,,10.5,5.0,1,,,,
30.08.2020 08:00,11.5,708.1,756.4,0.7,94,Wind blowing from the south,1,,,, ,,,,,,,,,,,10.5,2.0,1,,,,
30.08.2020 07:00,11.6,707.9,756.1,0.5,94,Wind blowing from the west,1,,,, ,,,11.8,,,,,,,,10.6,12.0,12,,,,
30.08.2020 06:00,12.1,707.6,755.7,0.3,95,Wind blowing from the west,1,,,, ,,,,,,,,,,,11.3,2.0,1,,,,
30.08.2020 05:00,12.7,707.4,755.3,-0.1,94,Wind blowing from the west,2,,,, ,,,,,,,,,,,11.8,2.0,1,,,,
30.08.2020 04:00,13.0,707.4,755.2,-0.5,97,Wind blowing from the west,2,,,, ,,,,,,,,,,,12.5,2.0,1,,,,
30.08.2020 03:00,13.1,707.3,755.2,-0.2,96,Wind blowing from the north,1,,,, ,,,,,,,,,,,12.4,0.8,1,,,,
30.08.2020 02:00,13.1,707.5,755.3,0.0,96,Wind blowing from the north-northwest,1,,,, ,,,,,,,,,,,12.5,1.0,1,,,,
30.08.2020 01:00,13.2,707.9,755.8,0.3,96,Wind blowing from the west,1,,,, ,,,,,,,,,,,12.6,3.0,6,,,,
30.08.2020 00:00,13.3,707.5,755.3,-0.6,96,Wind blowing from the north,2,,,, ,,,,,,,,,,,12.7,0.2,1,,,,
29.08.2020 23:00,13.2,707.5,755.4,-0.4,96,Wind blowing from the north-northeast,2,,,, ,,,,,,,,,,,12.6,0.1,1,,,,
29.08.2020 22:00,13.2,707.6,755.5,0.0,96,Wind blowing from the north,2,,,, ,,,,,,,,,,,12.6,0.2,1,,,,
29.08.2020 21:00,13.1,708.1,756.0,0.6,96,Wind blowing from the north-northeast,2,,,, ,,,,,,,,,,,12.4,0.4,1,,,,
29.08.2020 20:00,13.3,707.9,755.8,0.2,94,Wind blowing from the north-northeast,3,,,, ,,,,,,,,,,,12.4,0.6,1,,,,
29.08.2020 19:00,13.8,707.6,755.4,-0.1,93,Wind blowing from the north-northeast,3,,,, ,,,,15.1,,,,,,,12.6,0.1,12,,,,
29.08.2020 18:00,14.0,707.5,755.2,-0.3,93,Wind blowing from the north-northeast,3,,,, ,,,,,,,,,,,12.8,No precipitation,1,,,,
29.08.2020 17:00,14.3,707.7,755.3,-0.2,91,Wind blowing from the north-northeast,3,,,, ,,,,,,,,,,,12.8,No precipitation,1,,,,
29.08.2020 16:00,14.6,707.7,755.3,-0.2,86,Wind blowing from the north-northeast,3,,,, ,,,,,,,,,,,12.3,No precipitation,1,,,,
29.08.2020 15:00,14.9,707.8,755.4,-0.2,86,Wind blowing from the north-northeast,3,,,, ,,,,,,,,,,,12.5,No precipitation,1,,,,
29.08.2020 14:00,14.6,707.9,755.5,-0.1,86,Wind blowing from the north-east,2,,,, ,,,,,,,,,,,12.3,No precipitation,1,,,,
29.08.2020 13:00,14.5,707.9,755.5,-0.3,91,Wind blowing from the north-northeast,2,,,, ,,,,,,,,,,,13.0,0.1,6,,,,
29.08.2020 12:00,14.4,708.0,755.7,-0.1,87,Wind blowing from the east-northeast,2,,,, ,,,,,,,,,,,12.2,No precipitation,1,,,,
29.08.2020 11:00,14.7,708.0,755.6,0.0,92,Wind blowing from the north-northeast,2,,,, ,,,,,,,,,,,13.4,0.1,1,,,,
29.08.2020 10:00,14.4,708.2,755.9,0.3,93,Wind blowing from the north,1,,,, ,,,,,,,,,,,13.3,No precipitation,1,,,,
29.08.2020 09:00,14.1,708.1,755.8,0.3,94,Wind blowing from the north,1,,,, ,,,,,,,,,,,13.2,No precipitation,1,,,,
29.08.2020 08:00,13.7,708.0,755.8,0.5,93,Wind blowing from the north-east,1,,,, ,,,,,,,,,,,12.6,No precipitation,1,,,,
29.08.2020 07:00,13.4,707.9,755.8,0.3,94,Calm no wind,0,,,, ,,,12.8,,,,,,,,12.4,4.0,12,,,,
29.08.2020 06:00,13.2,707.8,755.6,0.0,96,Calm no wind,0,,,, ,,,,,,,,,,,12.5,No precipitation,1,,,,
29.08.2020 05:00,13.3,707.5,755.4,-0.6,94,Wind blowing from the north-northeast,0,,,, ,,,,,,,,,,,12.4,No precipitation,1,,,,
29.08.2020 04:00,13.3,707.6,755.5,-1.0,93,Wind blowing from the south,1,,,, ,,,,,,,,,,,12.2,No precipitation,1,,,,
29.08.2020 03:00,13.1,707.8,755.7,-0.6,92,Wind blowing from the south,1,,,, ,,,,,,,,,,,11.8,No precipitation,1,,,,
29.08.2020 02:00,13.0,708.1,756.0,-0.5,92,Wind blowing from the south,0,,,, ,,,,,,,,,,,11.7,No precipitation,1,,,,
29.08.2020 01:00,13.1,708.6,756.5,0.0,91,Wind blowing from the south,1,,,, ,,,,,,,,,,,11.7,4.0,6,,,,
29.08.2020 00:00,13.3,708.4,756.4,-0.2,92,Wind blowing from the south-southwest,2,,,, ,,,,,,,,,,,12.0,No precipitation,1,,,,
28.08.2020 23:00,13.6,708.6,756.4,0.5,94,Wind blowing from the south,1,,,, ,,,,,,,,,,,12.6,No precipitation,1,,,,
28.08.2020 22:00,13.6,708.6,756.4,0.8,91,Wind blowing from the south-west,2,,,, ,,,,,,,,,,,12.2,0.9,1,,,,
28.08.2020 21:00,13.4,708.6,756.4,1.1,93,Wind blowing from the south,1,,,, ,,,,,,,,,,,12.3,1.0,1,,,,
28.08.2020 20:00,14.0,708.1,755.8,0.5,94,Wind blowing from the south-southwest,2,,,, ,,,,,,,,,,,13.1,2.0,1,,,,
28.08.2020 19:00,15.4,707.8,755.2,0.0,93,Wind blowing from the west-northwest,3,,,, ,,,,22.5,,,,,,,14.2,8.0,12,,,,
28.08.2020 18:00,16.6,707.5,754.8,-0.3,93,Wind blowing from the south-southwest,3,,,, ,,,,,,,,,,,15.5,2.0,1,,,,
28.08.2020 17:00,16.9,707.6,754.8,-0.2,94,Wind blowing from the west-southwest,1,,,, ,,,,,,,,,,,15.9,3.0,1,,,,
28.08.2020 16:00,17.1,707.8,755.0,-0.3,91,Wind blowing from the west,2,,,, ,,,,,,,,,,,15.6,1.0,1,,,,
28.08.2020 15:00,18.3,707.8,754.7,0.2,82,Wind blowing from the west,3,,,, ,,,,,,,,,,,15.1,No precipitation,1,,,,
28.08.2020 14:00,18.5,707.8,754.7,0.0,77,Wind blowing from the west,3,,,, ,,,,,,,,,,,14.4,No precipitation,1,,,,
28.08.2020 13:00,20.8,708.1,754.6,0.0,62,Wind blowing from the south-west,6,,,, ,,,,,,,,,,,13.1,No precipitation,6,,,,
28.08.2020 12:00,22.4,707.6,753.9,-0.9,55,Wind blowing from the west-southwest,4,,,, ,,,,,,,,,,,12.9,No precipitation,1,,,,
28.08.2020 11:00,22.5,707.8,754.0,-1.2,55,Wind blowing from the west-southwest,3,,,, ,,,,,,,,,,,13.1,No precipitation,1,,,,
28.08.2020 10:00,20.8,708.1,754.7,-1.4,61,Wind blowing from the south-east,2,,,, ,,,,,,,,,,,13.0,No precipitation,1,,,,
28.08.2020 09:00,19.6,708.5,755.3,-1.4,64,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,12.6,No precipitation,1,,,,
28.08.2020 08:00,17.1,709.0,756.2,-1.1,72,Wind blowing from the south,3,,,, ,,,,,,,,,,,12.0,No precipitation,1,,,,
28.08.2020 07:00,15.3,709.5,757.1,-0.8,80,Wind blowing from the south-southeast,2,,,, ,,,12.2,,,,,,,,11.8,No precipitation,12,,,,
28.08.2020 06:00,12.9,709.9,757.9,-0.6,91,Wind blowing from the south,1,,,, ,,,,,,,,,,,11.5,No precipitation,1,,,,
28.08.2020 05:00,12.8,710.1,758.2,-0.7,90,Wind blowing from the south-southwest,1,,,, ,,,,,,,,,,,11.2,No precipitation,1,,,,
28.08.2020 04:00,12.6,710.3,758.5,-1.1,89,Wind blowing from the south-southwest,1,,,, ,,,,,,,,,,,10.9,No precipitation,1,,,,
28.08.2020 03:00,14.7,710.5,758.3,-1.3,83,Wind blowing from the south-southwest,3,,,, ,,,,,,,,,,,11.9,No precipitation,1,,,,
28.08.2020 02:00,15.0,710.8,758.6,-1.2,82,Wind blowing from the south-southwest,2,,,, ,,,,,,,,,,,12.0,No precipitation,1,,,,
28.08.2020 01:00,14.5,711.4,759.2,-1.1,87,Wind blowing from the south-west,2,,,, ,,,,,,,,,,,12.3,No precipitation,6,,,,
28.08.2020 00:00,14.7,711.8,759.7,-1.0,87,Wind blowing from the south-southwest,1,,,, ,,,,,,,,,,,12.5,No precipitation,1,,,,
27.08.2020 23:00,16.6,712.0,759.6,-0.8,80,Wind blowing from the south,2,,,, ,,,,,,,,,,,13.1,No precipitation,1,,,,
27.08.2020 22:00,16.8,712.5,760.0,-0.3,77,Wind blowing from the south-west,1,,,, ,,,,,,,,,,,12.7,No precipitation,1,,,,
27.08.2020 21:00,18.4,712.8,760.0,-0.1,70,Wind blowing from the south-southeast,1,,,, ,,,,,,,,,,,12.8,No precipitation,1,,,,
27.08.2020 20:00,20.4,712.8,759.7,-0.4,63,Wind blowing from the south,1,,,, ,,,,,,,,,,,13.1,No precipitation,1,,,,
27.08.2020 19:00,21.9,712.8,759.4,-0.7,59,Wind blowing from the south-west,1,,,, ,,,,25.1,,,,,,,13.6,No precipitation,12,,,,
27.08.2020 18:00,23.6,712.9,759.3,-0.9,50,Wind blowing from the south-west,1,,,, ,,,,,,,,,,,12.4,No precipitation,1,,,,
27.08.2020 17:00,23.7,713.2,759.5,-0.9,45,Wind blowing from the west,2,,,, ,,,,,,,,,,,10.9,No precipitation,1,,,,
27.08.2020 16:00,24.7,713.5,759.7,,39,Wind blowing from the west,2,,,, ,,,,,,,,,,,9.7,,,,,,
27.08.2020 15:00,24.0,713.8,760.1,-1.4,41,Wind blowing from the west-northwest,2,,,, ,,,,,,,,,,,9.8,No precipitation,1,,,,
27.08.2020 14:00,23.0,714.1,760.6,-1.5,43,Wind blowing from the south-west,2,,,, ,,,,,,,,,,,9.8,No precipitation,1,,,,
27.08.2020 13:00,23.1,714.7,761.2,-1.1,50,Wind blowing from the south-west,4,,,, ,,,,,,,,,,,12.2,No precipitation,6,,,,
27.08.2020 12:00,22.0,715.2,762.0,-0.9,51,Wind blowing from the south-west,2,,,, ,,,,,,,,,,,11.3,No precipitation,1,,,,
27.08.2020 11:00,21.8,715.6,762.4,-0.9,57,Wind blowing from the south-southwest,2,,,, ,,,,,,,,,,,12.9,No precipitation,1,,,,
27.08.2020 10:00,19.2,715.8,763.1,-0.9,58,Wind blowing from the west,1,,,, ,,,,,,,,,,,10.7,No precipitation,1,,,,
27.08.2020 09:00,18.0,716.1,763.6,-0.4,64,Wind blowing from the south-west,2,,,, ,,,,,,,,,,,11.1,No precipitation,1,,,,
27.08.2020 08:00,14.7,716.5,764.6,0.1,79,Wind blowing from the west-southwest,1,,,, ,,,,,,,,,,,11.0,No precipitation,1,,,,
27.08.2020 07:00,12.3,716.7,765.3,0.2,89,Wind blowing from the west-southwest,1,,,, ,,,10.3,,,,,,,,10.6,No precipitation,12,,,,
27.08.2020 06:00,11.1,716.5,765.4,-0.4,91,Wind blowing from the south,1,,,, ,,,,,,,,,,,9.6,No precipitation,1,,,,
27.08.2020 05:00,11.4,716.4,765.1,-1.0,91,Wind blowing from the south-southwest,1,,,, ,,,,,,,,,,,10.0,No precipitation,1,,,,
27.08.2020 04:00,11.0,716.5,765.4,-1.1,92,Wind blowing from the south-southeast,1,,,, ,,,,,,,,,,,9.8,No precipitation,1,,,,
27.08.2020 03:00,12.2,716.9,765.6,-0.6,86,Calm no wind,0,,,, ,,,,,,,,,,,9.9,No precipitation,1,,,,
27.08.2020 02:00,11.9,717.4,766.1,0.0,88,Wind blowing from the west-southwest,0,,,, ,,,,,,,,,,,10.0,No precipitation,1,,,,
27.08.2020 01:00,12.9,717.6,766.2,0.2,82,Wind blowing from the south-east,1,,,, ,,,,,,,,,,,9.8,No precipitation,6,,,,
27.08.2020 00:00,13.4,717.5,766.0,0.4,78,Calm no wind,0,,,, ,,,,,,,,,,,9.7,No precipitation,1,,,,
26.08.2020 23:00,16.2,717.4,765.4,0.9,63,Wind blowing from the north-east,0,,,, ,,,,,,,,,,,9.0,No precipitation,1,,,,
26.08.2020 22:00,15.5,717.4,765.4,1.5,70,Wind blowing from the north,1,,,, ,,,,,,,,,,,10.1,No precipitation,1,,,,
26.08.2020 21:00,16.3,717.1,765.0,1.3,67,Wind blowing from the north-east,1,,,, ,,,,,,,,,,,10.2,No precipitation,1,,,,
26.08.2020 20:00,19.8,716.5,763.7,0.9,52,Wind blowing from the south-southeast,1,,,, ,,,,,,,,,,,9.7,No precipitation,1,,,,
26.08.2020 19:00,22.3,715.9,762.7,0.3,40,Wind blowing from the south-west,1,,,, ,,,,26.2,,,,,,,8.1,No precipitation,12,,,,
26.08.2020 18:00,22.9,715.8,762.5,0.3,39,Wind blowing from the west-southwest,1,,,, ,,,,,,,,,,,8.2,No precipitation,1,,,,
26.08.2020 17:00,23.6,715.6,762.2,0.1,40,Wind blowing from the west,3,,,, ,,,,,,,,,,,9.1,No precipitation,1,,,,
26.08.2020 16:00,25.7,715.6,761.8,0.1,36,Wind blowing from the west,5,,,, ,,,,,,,,,,,9.4,No precipitation,1,,,,
26.08.2020 15:00,25.6,715.5,761.7,-0.1,37,Wind blowing from the west,5,,,, ,,,,,,,,,,,9.8,No precipitation,1,,,,
26.08.2020 14:00,25.5,715.5,761.7,-0.4,38,Wind blowing from the west,5,,,, ,,,,,,,,,,,10.2,No precipitation,1,,,,
26.08.2020 13:00,25.0,715.5,761.8,-0.2,45,Wind blowing from the west-northwest,5,,,, ,,,,,,,,,,,12.2,No precipitation,6,,,,
26.08.2020 12:00,24.4,715.6,762.1,0.0,51,Wind blowing from the west-southwest,4,,,, ,,,,,,,,,,,13.5,No precipitation,1,,,,
26.08.2020 11:00,23.6,715.9,762.5,0.5,51,Wind blowing from the west,5,,,, ,,,,,,,,,,,12.9,No precipitation,1,,,,
26.08.2020 10:00,23.0,715.7,762.4,0.7,56,Wind blowing from the west-southwest,5,,,, ,,,,,,,,,,,13.8,No precipitation,1,,,,
26.08.2020 09:00,21.2,715.6,762.6,1.1,62,Wind blowing from the south-west,3,,,, ,,,,,,,,,,,13.6,No precipitation,1,,,,
26.08.2020 08:00,21.0,715.4,762.4,1.3,61,Wind blowing from the south-southwest,3,,,, ,,,,,,,,,,,13.1,No precipitation,1,,,,
26.08.2020 07:00,19.8,715.0,762.1,1.3,60,Wind blowing from the south-west,4,,,, ,,,16.2,,,,,,,,11.8,No precipitation,12,,,,
26.08.2020 06:00,20.3,714.5,761.5,0.8,51,Wind blowing from the south-southwest,2,,,, ,,,,,,,,,,,9.9,No precipitation,1,,,,
26.08.2020 05:00,21.2,714.1,760.9,0.6,47,Wind blowing from the west-southwest,3,,,, ,,,,,,,,,,,9.5,No precipitation,1,,,,
26.08.2020 04:00,21.3,713.7,760.5,0.3,47,Wind blowing from the south-southwest,3,,,, ,,,,,,,,,,,9.5,No precipitation,1,,,,
26.08.2020 03:00,20.4,713.7,760.7,0.5,49,Wind blowing from the south,2,,,, ,,,,,,,,,,,9.2,No precipitation,1,,,,
26.08.2020 02:00,18.5,713.5,760.8,0.6,56,Wind blowing from the south-southeast,3,,,, ,,,,,,,,,,,9.5,No precipitation,1,,,,
26.08.2020 01:00,16.8,713.4,761.0,0.5,72,Wind blowing from the south,1,,,, ,,,,,,,,,,,11.6,No precipitation,6,,,,
26.08.2020 00:00,18.2,713.2,760.5,0.2,67,Wind blowing from the south,2,,,, ,,,,,,,,,,,11.9,No precipitation,1,,,,
25.08.2020 23:00,18.8,712.9,760.2,0.3,68,Wind blowing from the south,3,,,, ,,,,,,,,,,,12.7,No precipitation,1,,,,
25.08.2020 22:00,19.8,712.9,759.9,0.5,63,Wind blowing from the south-southeast,3,,,, ,,,,,,,,,,,12.6,No precipitation,1,,,,
25.08.2020 21:00,19.9,713.0,760.0,0.8,62,Wind blowing from the south,3,,,, ,,,,,,,,,,,12.4,No precipitation,1,,,,
25.08.2020 20:00,20.7,712.6,759.5,0.3,62,Wind blowing from the south,2,,,, ,,,,,,,,,,,13.0,No precipitation,1,,,,
25.08.2020 19:00,21.7,712.4,759.1,-0.2,55,Wind blowing from the south-west,1,,,, ,,,,23.9,,,,,,,12.2,No precipitation,12,,,,
25.08.2020 18:00,23.6,712.2,758.5,-1.0,48,Wind blowing from the west,2,,,, ,,,,,,,,,,,12.0,No precipitation,1,,,,
25.08.2020 17:00,23.5,712.3,758.7,-1.2,50,Wind blowing from the south-west,1,,,, ,,,,,,,,,,,12.6,No precipitation,1,,,,
25.08.2020 16:00,23.5,712.6,759.0,-0.9,46,Wind blowing from the west-southwest,3,,,, ,,,,,,,,,,,11.2,No precipitation,1,,,,
25.08.2020 15:00,23.1,713.2,759.7,-1.1,46,Wind blowing from the west,2,,,, ,,,,,,,,,,,10.7,No precipitation,1,,,,
25.08.2020 14:00,22.5,713.5,760.2,-1.2,48,Wind blowing from the north-west,2,,,, ,,,,,,,,,,,10.8,No precipitation,1,,,,
25.08.2020 13:00,21.3,713.5,760.3,-1.2,56,Wind blowing from the south,2,,,, ,,,,,,,,,,,12.1,No precipitation,6,,,,
25.08.2020 12:00,19.5,714.3,761.5,-0.1,54,Wind blowing from the west-southwest,1,,,, ,,,,,,,,,,,9.9,No precipitation,1,,,,
25.08.2020 11:00,18.7,714.7,762.0,0.4,64,Wind blowing from the west,2,,,, ,,,,,,,,,,,11.6,No precipitation,1,,,,
25.08.2020 10:00,17.6,714.7,762.3,0.4,63,Wind blowing from the west,1,,,, ,,,,,,,,,,,10.4,No precipitation,1,,,,
25.08.2020 09:00,16.4,714.4,762.2,0.2,69,Wind blowing from the south-west,1,,,, ,,,,,,,,,,,10.7,No precipitation,1,,,,
25.08.2020 08:00,14.1,714.3,762.4,-0.1,78,Wind blowing from the south-west,1,,,, ,,,,,,,,,,,10.2,No precipitation,1,,,,
25.08.2020 07:00,11.8,714.3,762.8,-0.4,88,Wind blowing from the south-west,1,,,, ,,,9.2,,,,,,,,9.8,No precipitation,12,,,,
25.08.2020 06:00,9.5,714.2,763.2,-0.8,94,Wind blowing from the north-northeast,1,,,, ,,,,,,,,,,,8.5,No precipitation,1,,,,
25.08.2020 05:00,10.1,714.4,763.3,-0.6,94,Calm no wind,0,,,, ,,,,,,,,,,,9.1,No precipitation,1,,,,
25.08.2020 04:00,10.1,714.7,763.6,-0.6,94,Wind blowing from the west,0,,,, ,,,,,,,,,,,9.2,No precipitation,1,,,,
25.08.2020 03:00,10.7,715.0,763.9,-0.6,90,Wind blowing from the north,0,,,, ,,,,,,,,,,,9.1,No precipitation,1,,,,
25.08.2020 02:00,10.0,715.0,764.0,-0.6,92,Wind blowing from the north-northeast,1,,,, ,,,,,,,,,,,8.7,No precipitation,1,,,,
25.08.2020 01:00,11.7,715.3,764.0,-0.6,85,Wind blowing from the north,1,,,, ,,,,,,,,,,,9.3,No precipitation,6,,,,
25.08.2020 00:00,12.4,715.6,764.1,-0.3,87,Wind blowing from the south-southwest,1,,,, ,,,,,,,,,,,10.2,No precipitation,1,,,,
24.08.2020 23:00,14.0,715.6,763.9,0.3,76,Wind blowing from the south,1,,,, ,,,,,,,,,,,9.7,No precipitation,1,,,,
24.08.2020 22:00,13.4,715.9,764.2,1.0,78,Calm no wind,0,,,, ,,,,,,,,,,,9.7,No precipitation,1,,,,
24.08.2020 21:00,14.4,715.9,764.1,0.9,75,Wind blowing from the north-northeast,1,,,, ,,,,,,,,,,,10.0,No precipitation,1,,,,
24.08.2020 20:00,16.2,715.3,763.1,0.1,64,Wind blowing from the north-northeast,2,,,, ,,,,,,,,,,,9.4,No precipitation,1,,,,
24.08.2020 19:00,19.3,714.9,762.1,-0.4,50,Wind blowing from the north-northwest,3,,,, ,,,,22.6,,,,,,,8.6,No precipitation,12,,,,
24.08.2020 18:00,21.5,715.0,761.8,-0.6,38,Wind blowing from the west,2,,,, ,,,,,,,,,,,6.4,No precipitation,1,,,,
24.08.2020 17:00,22.0,715.2,762.0,-0.5,37,Wind blowing from the west-northwest,2,,,, ,,,,,,,,,,,6.4,No precipitation,1,,,,
24.08.2020 16:00,22.3,715.3,762.1,-0.8,35,Wind blowing from the north,2,,,, ,,,,,,,,,,,6.0,No precipitation,1,,,,
24.08.2020 15:00,21.6,715.6,762.4,,37,Wind blowing from the south-southwest,2,,,, ,,,,,,,,,,,6.1,,,,,,
24.08.2020 14:00,21.8,715.7,762.6,-0.8,43,Wind blowing from the west-northwest,3,,,, ,,,,,,,,,,,8.6,No precipitation,1,,,,
24.08.2020 13:00,20.3,716.1,763.3,-0.5,43,Wind blowing from the west-southwest,4,,,, ,,,,,,,,,,,7.4,No precipitation,6,,,,
24.08.2020 12:00,20.5,716.2,763.4,-0.3,49,Wind blowing from the west,2,,,, ,,,,,,,,,,,9.3,No precipitation,1,,,,
24.08.2020 11:00,19.5,716.5,763.9,0.1,47,Wind blowing from the north-west,1,,,, ,,,,,,,,,,,7.8,No precipitation,1,,,,
24.08.2020 10:00,18.7,716.6,764.1,0.3,52,Wind blowing from the north-northwest,3,,,, ,,,,,,,,,,,8.7,No precipitation,1,,,,
24.08.2020 09:00,17.7,716.5,764.1,0.3,57,Wind blowing from the north-northeast,2,,,, ,,,,,,,,,,,9.1,No precipitation,1,,,,
24.08.2020 08:00,15.7,716.4,764.4,0.3,72,Wind blowing from the west-southwest,0,,,, ,,,,,,,,,,,10.6,No precipitation,1,,,,
24.08.2020 07:00,13.6,716.3,764.7,0.1,87,Calm no wind,0,,,, ,,,12.4,,,,,,,,11.5,No precipitation,12,,,,
24.08.2020 06:00,13.8,716.2,764.5,-0.3,87,Wind blowing from the west,0,,,, ,,,,,,,,,,,11.7,No precipitation,1,,,,
24.08.2020 05:00,13.3,716.1,764.5,-0.6,83,Calm no wind,0,,,, ,,,,,,,,,,,10.4,No precipitation,1,,,,
