# Weather station Glasgow (AWS), UK, WMO_ID=3134,selection from 28.02.2020 till 11.11.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=3134&lang=en
#
"Local time in Glasgow (AWS)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"10.11.2020 23:00";"10.2";"756.5";"761.9";"-0.7";"87";"Wind blowing from the south";"4";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"50.0";"8.1";"";"";"";"";"";"";
"10.11.2020 22:00";"9.9";"756.7";"762.1";"-0.5";"92";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"45.0";"8.6";"";"";"";"";"";"";
"10.11.2020 21:00";"10.3";"757.2";"762.6";"0.0";"91";"Wind blowing from the south";"5";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"60.0";"8.9";"";"";"";"";"";"";
"10.11.2020 20:00";"10.2";"757.2";"762.6";"-0.1";"95";"Wind blowing from the south";"4";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"300-600";"";"";"60.0";"9.5";"";"";"";"";"";"";
"10.11.2020 19:00";"10.3";"757.2";"762.6";"-0.1";"97";"Wind blowing from the south";"4";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"300-600";"";"";"60.0";"9.8";"";"";"";"";"";"";
"10.11.2020 18:00";"10.4";"757.2";"762.6";"-0.4";"97";"Wind blowing from the south";"5";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"11.6";"";"";"200-300";"";"";"50.0";"9.9";"1.0";"12";"";"";"";"";
"10.11.2020 17:00";"11.4";"757.3";"762.7";"-0.7";"89";"Wind blowing from the south";"5";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"300-600";"";"";"35.0";"9.7";"";"";"";"";"";"";
"10.11.2020 16:00";"11.4";"757.3";"762.7";"-1.0";"92";"Wind blowing from the south-southeast";"4";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"300-600";"";"";"50.0";"10.2";"";"";"";"";"";"";
"10.11.2020 15:00";"11.6";"757.6";"763.0";"-1.1";"96";"Wind blowing from the south";"3";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"300-600";"";"";"17.0";"11.0";"";"";"";"";"";"";
"10.11.2020 14:00";"11.4";"758.0";"763.4";"-0.8";"99";"Wind blowing from the south-east";"3";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"300-600";"";"";"9.0";"11.2";"";"";"";"";"";"";
"10.11.2020 13:00";"10.9";"758.3";"763.7";"-0.8";"99";"Wind blowing from the south-southeast";"2";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"300-600";"";"";"3.2";"10.7";"";"";"";"";"";"";
"10.11.2020 12:00";"10.6";"758.7";"764.1";"-0.4";"99";"Wind blowing from the south-east";"3";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"100-200";"";"";"5.0";"10.4";"0.6";"6";"";"";"";"";
"10.11.2020 11:00";"10.1";"758.8";"764.2";"-0.5";"100";"Wind blowing from the south-east";"3";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"100-200";"";"";"4.5";"10.1";"";"";"";"";"";"";
"10.11.2020 10:00";"9.1";"759.1";"764.6";"0.3";"99";"Wind blowing from the south";"2";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"50-100";"";"";"0.3";"9.0";"";"";"";"";"";"";
"10.11.2020 09:00";"9.3";"759.1";"764.6";"0.1";"100";"Wind blowing from the east-southeast";"3";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"50-100";"";"";"2.5";"9.3";"";"";"";"";"";"";
"10.11.2020 08:00";"8.8";"759.3";"764.7";"0.3";"99";"Wind blowing from the south";"2";"";"";"";"Fog or ice fog, has become thinner during the past hour. ";"";"";"";"";"";"";"";"";"";"1.2";"8.7";"";"";"";"";"";"";
"10.11.2020 07:00";"8.8";"758.8";"764.3";"-0.3";"100";"Wind blowing from the south-southeast";"2";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"";"";"";"0.3";"8.8";"";"";"";"";"";"";
"10.11.2020 06:00";"9.2";"759.0";"764.5";"-0.1";"100";"Wind blowing from the south-southeast";"3";"";"";"";"Fog or ice fog, no appreciable change during the past hour. ";"";"";"9.0";"";"";"";"";"";"";"0.1";"9.2";"No precipitation";"12";"";"";"";"";
"10.11.2020 05:00";"9.3";"759.0";"764.4";"-0.1";"99";"Wind blowing from the east-southeast";"2";"";"";"";"Fog or ice fog, has become thinner during the past hour. ";"";"";"";"";"";"";"";"";"";"0.2";"9.2";"";"";"";"";"";"";
"10.11.2020 04:00";"9.3";"759.1";"764.6";"0.0";"100";"Wind blowing from the east-southeast";"2";"";"";"";"Fog or ice fog, no appreciable change during the past hour. ";"";"";"";"";"";"";"";"";"";"0.1";"9.3";"";"";"";"";"";"";
"10.11.2020 03:00";"9.4";"759.1";"764.5";"0.0";"99";"Wind blowing from the south-east";"2";"";"";"";"Fog or ice fog, has begun or become thicker during the past hour. ";"";"";"";"";"";"";"";"";"";"0.1";"9.3";"";"";"";"";"";"";
"10.11.2020 02:00";"9.2";"759.1";"764.5";"0.0";"99";"Wind blowing from the south-southeast";"2";"";"";"";"Fog or ice fog, has begun or become thicker during the past hour. ";"";"";"";"";"";"";"Less than  50";"";"";"0.6";"9.1";"";"";"";"";"";"";
"10.11.2020 01:00";"9.8";"759.1";"764.5";"0.3";"98";"Wind blowing from the south-southeast";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"600-1000";"";"";"3.0";"9.5";"";"";"";"";"";"";
"10.11.2020 00:00";"10.2";"759.1";"764.5";"0.2";"97";"Wind blowing from the south-east";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"600-1000";"";"";"4.2";"9.7";"No precipitation";"6";"";"";"";"";
"09.11.2020 23:00";"10.3";"759.1";"764.6";"0.4";"97";"Wind blowing from the south-east";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"6.0";"9.8";"";"";"";"";"";"";
"09.11.2020 22:00";"10.5";"758.8";"764.2";"0.0";"97";"Wind blowing from the east-southeast";"3";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"6.0";"10.0";"";"";"";"";"";"";
"09.11.2020 21:00";"10.6";"758.9";"764.3";"0.5";"97";"Wind blowing from the south-east";"3";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"5.0";"10.1";"";"";"";"";"";"";
"09.11.2020 20:00";"10.6";"758.7";"764.1";"0.7";"97";"Wind blowing from the south-east";"4";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"3.9";"10.2";"";"";"";"";"";"";
"09.11.2020 19:00";"10.7";"758.8";"764.2";"0.9";"97";"Wind blowing from the south-east";"3";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"4.4";"10.2";"";"";"";"";"";"";
"09.11.2020 18:00";"10.6";"758.4";"763.8";"0.7";"97";"Wind blowing from the east-southeast";"3";"";"";"";"Mist. ";"";"";"";"12.3";"";"";"100-200";"";"";"5.0";"10.1";"0.2";"12";"";"";"";"";
"09.11.2020 17:00";"10.7";"758.0";"763.4";"0.2";"96";"Wind blowing from the south-east";"3";"";"";"";"Mist. ";"";"";"";"";"";"";"1000-1500";"";"";"5.0";"10.1";"";"";"";"";"";"";
"09.11.2020 16:00";"11.1";"757.9";"763.3";"0.2";"94";"Wind blowing from the south-east";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"1000-1500";"";"";"9.0";"10.2";"";"";"";"";"";"";
"09.11.2020 15:00";"11.5";"757.7";"763.1";"-0.3";"93";"Wind blowing from the south-east";"2";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"9.0";"10.4";"";"";"";"";"";"";
"09.11.2020 14:00";"12.0";"757.8";"763.1";"0.0";"94";"Wind blowing from the south-east";"2";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"300-600";"";"";"5.0";"11.0";"";"";"";"";"";"";
"09.11.2020 13:00";"11.9";"757.7";"763.1";"-0.2";"91";"Wind blowing from the south";"1";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"11.0";"10.5";"";"";"";"";"";"";
"09.11.2020 12:00";"10.7";"758.0";"763.3";"0.1";"97";"Wind blowing from the south";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"50-100";"";"";"6.0";"10.3";"No precipitation";"6";"";"";"";"";
"09.11.2020 11:00";"10.9";"757.8";"763.2";"0.3";"99";"Wind blowing from the west-northwest";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"600-1000";"";"";"11.0";"10.7";"";"";"";"";"";"";
"09.11.2020 10:00";"9.3";"757.9";"763.3";"0.6";"100";"Wind blowing from the north-northwest";"2";"";"";"";"Fog ";"";"";"";"";"";"";"Less than  50";"";"";"5.0";"9.3";"";"";"";"";"";"";
"09.11.2020 09:00";"8.5";"757.9";"763.3";"0.8";"99";"Wind blowing from the west-southwest";"1";"";"";"";"Fog or ice fog, no appreciable change during the past hour. ";"";"";"";"";"";"";"";"";"";"0.1";"8.4";"";"";"";"";"";"";
"09.11.2020 08:00";"7.8";"757.5";"763.0";"0.5";"99";"Wind blowing from the south-southwest";"1";"";"";"";"Fog or ice fog, has begun or become thicker during the past hour. ";"";"";"";"";"";"";"Less than  50";"";"";"0.1";"7.7";"";"";"";"";"";"";
"09.11.2020 07:00";"8.8";"757.3";"762.7";"0.4";"99";"Wind blowing from the north-northwest";"1";"";"";"";"Fog or ice fog, has begun or become thicker during the past hour. ";"";"";"";"";"";"";"50-100";"";"";"0.3";"8.7";"";"";"";"";"";"";
"09.11.2020 06:00";"9.1";"757.1";"762.6";"-0.1";"100";"Wind blowing from the south-west";"1";"";"";"";"Fog ";"";"";"8.8";"";"";"";"50-100";"";"";"1.9";"9.1";"0.2";"12";"";"";"";"";
"09.11.2020 05:00";"9.0";"757.0";"762.4";"-0.4";"99";"Wind blowing from the north-west";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"1.9";"8.9";"";"";"";"";"";"";
"09.11.2020 04:00";"9.0";"756.9";"762.3";"-0.6";"99";"Wind blowing from the north-northwest";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"3.7";"8.9";"";"";"";"";"";"";
"09.11.2020 03:00";"9.0";"757.2";"762.6";"-0.3";"99";"Wind blowing from the north-west";"2";"";"";"";"Fog ";"";"";"";"";"";"";"50-100";"";"";"2.3";"8.9";"";"";"";"";"";"";
"09.11.2020 02:00";"9.2";"757.4";"762.8";"-0.2";"99";"Wind blowing from the west";"1";"";"";"";"Fog ";"";"";"";"";"";"";"Less than  50";"";"";"1.5";"9.1";"";"";"";"";"";"";
"09.11.2020 01:00";"9.1";"757.5";"762.9";"-0.1";"99";"Wind blowing from the south-southwest";"1";"";"";"";"Fog or ice fog, has become thinner during the past hour. ";"";"";"";"";"";"";"50-100";"";"";"0.5";"9.0";"";"";"";"";"";"";
"09.11.2020 00:00";"10.2";"759.1";"764.5";"";"97";"Wind blowing from the south-east";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"600-1000";"";"";"4.2";"9.7";"No precipitation";"6";"";"";"";"";
"08.11.2020 23:00";"9.1";"757.6";"763.0";"0.1";"99";"Wind blowing from the north-northeast";"1";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"50-100";"";"";"1.5";"8.9";"";"";"";"";"";"";
"08.11.2020 22:00";"9.1";"757.6";"763.1";"0.2";"99";"Wind blowing from the south-southeast";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"50-100";"";"";"1.2";"8.9";"";"";"";"";"";"";
"08.11.2020 21:00";"9.1";"757.6";"763.0";"0.3";"99";"Wind blowing from the south-southeast";"1";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"50-100";"";"";"2.8";"9.0";"";"";"";"";"";"";
"08.11.2020 20:00";"8.9";"757.5";"762.9";"0.3";"99";"Wind blowing from the south-southeast";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"2.4";"8.7";"";"";"";"";"";"";
"08.11.2020 19:00";"8.8";"757.4";"762.8";"0.4";"99";"Wind blowing from the south-southeast";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"200-300";"";"";"6.0";"8.6";"";"";"";"";"";"";
"08.11.2020 18:00";"8.8";"757.3";"762.7";"0.4";"98";"Wind blowing from the south-east";"2";"";"";"";"Mist. ";"";"";"";"9.1";"";"";"100-200";"";"";"5.0";"8.5";"2.0";"12";"";"";"";"";
"08.11.2020 17:00";"9.0";"757.2";"762.6";"0.1";"97";"Wind blowing from the east-southeast";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"5.0";"8.6";"";"";"";"";"";"";
"08.11.2020 16:00";"9.1";"757.0";"762.4";"-0.3";"98";"Wind blowing from the south-southeast";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"3.6";"8.8";"";"";"";"";"";"";
"08.11.2020 15:00";"9.0";"756.9";"762.3";"-0.6";"98";"Wind blowing from the south-southeast";"2";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"100-200";"";"";"3.6";"8.7";"";"";"";"";"";"";
"08.11.2020 14:00";"8.7";"757.1";"762.5";"-0.6";"98";"Wind blowing from the south-southeast";"2";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"100-200";"";"";"3.4";"8.4";"";"";"";"";"";"";
"08.11.2020 13:00";"8.1";"757.3";"762.7";"-0.6";"98";"Wind blowing from the south-east";"3";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"100-200";"";"";"4.5";"7.8";"";"";"";"";"";"";
"08.11.2020 12:00";"8.2";"757.5";"762.9";"-0.4";"98";"Wind blowing from the east-southeast";"2";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"100-200";"";"";"2.3";"7.9";"2.0";"6";"";"";"";"";
"08.11.2020 11:00";"8.1";"757.7";"763.1";"-0.3";"98";"Wind blowing from the south-east";"2";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"100-200";"";"";"3.1";"7.8";"";"";"";"";"";"";
"08.11.2020 10:00";"7.8";"757.9";"763.4";"-0.3";"98";"Wind blowing from the south-east";"2";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"100-200";"";"";"2.6";"7.5";"";"";"";"";"";"";
"08.11.2020 09:00";"7.0";"757.9";"763.4";"-0.5";"93";"Wind blowing from the north";"2";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"200-300";"";"";"7.0";"5.9";"";"";"";"";"";"";
"08.11.2020 08:00";"6.5";"758.0";"763.5";"-0.5";"93";"Wind blowing from the east-southeast";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"200-300";"";"";"8.0";"5.5";"";"";"";"";"";"";
"08.11.2020 07:00";"5.9";"758.2";"763.6";"-0.6";"94";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"200-300";"";"";"12.0";"5.0";"";"";"";"";"";"";
"08.11.2020 06:00";"5.5";"758.4";"763.9";"-0.7";"96";"Wind blowing from the north-northwest";"2";"";"";"";"Mist. ";"";"";"3.6";"";"";"";"200-300";"";"";"9.0";"4.9";"No precipitation";"12";"";"";"";"";
"08.11.2020 05:00";"4.3";"758.5";"764.1";"-0.9";"96";"Wind blowing from the north-west";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"300-600";"";"";"8.0";"3.7";"";"";"";"";"";"";
"08.11.2020 04:00";"4.3";"758.8";"764.3";"-0.9";"97";"Wind blowing from the west-northwest";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"8.0";"3.8";"";"";"";"";"";"";
"08.11.2020 03:00";"4.4";"759.1";"764.6";"-0.8";"95";"Wind blowing from the north-west";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"8.0";"3.7";"";"";"";"";"";"";
"08.11.2020 02:00";"3.7";"759.4";"764.9";"-0.6";"95";"Wind blowing from the north-northwest";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"300-600";"";"";"11.0";"3.0";"";"";"";"";"";"";
"08.11.2020 01:00";"4.4";"759.7";"765.2";"-0.6";"97";"Wind blowing from the north-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"9.0";"3.9";"";"";"";"";"";"";
"08.11.2020 00:00";"9.0";"757.5";"763.0";"-2.9";"99";"Wind blowing from the south-east";"1";"";"";"";"Fog or ice fog, no appreciable change during the past hour. ";"";"";"";"";"";"";"Less than  50";"";"";"0.3";"8.9";"0.2";"6";"";"";"";"";
"07.11.2020 23:00";"3.9";"760.0";"765.5";"-0.5";"95";"Wind blowing from the north-west";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"4.2";"3.2";"";"";"";"";"";"";
"07.11.2020 22:00";"5.3";"760.3";"765.8";"-0.3";"97";"Wind blowing from the east";"3";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"5.0";"4.8";"";"";"";"";"";"";
"07.11.2020 21:00";"4.8";"760.4";"766.0";"0.1";"98";"Wind blowing from the east";"3";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"4.8";"4.5";"";"";"";"";"";"";
"07.11.2020 20:00";"4.1";"760.5";"766.0";"0.4";"98";"Wind blowing from the east-southeast";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"4.5";"3.8";"";"";"";"";"";"";
"07.11.2020 19:00";"4.0";"760.6";"766.1";"0.6";"98";"Wind blowing from the north-west";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"4.0";"3.7";"";"";"";"";"";"";
"07.11.2020 18:00";"4.0";"760.3";"765.9";"0.5";"99";"Wind blowing from the east";"3";"";"";"";"Fog ";"";"";"";"5.7";"";"";"Less than  50";"";"";"2.7";"3.8";"No precipitation";"12";"";"";"";"";
"07.11.2020 17:00";"3.5";"760.1";"765.7";"0.1";"95";"Wind blowing from the south-east";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.6";"2.8";"";"";"";"";"";"";
"07.11.2020 16:00";"4.4";"760.0";"765.6";"-0.2";"91";"Wind blowing from the north";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"8.0";"3.1";"";"";"";"";"";"";
"07.11.2020 15:00";"5.4";"759.8";"765.4";"-0.4";"91";"Wind blowing from the west-northwest";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"7.0";"4.0";"";"";"";"";"";"";
"07.11.2020 14:00";"5.5";"760.0";"765.5";"-0.6";"91";"Wind blowing from the east";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"10.0";"4.2";"";"";"";"";"";"";
"07.11.2020 13:00";"5.4";"760.2";"765.7";"-0.4";"93";"Wind blowing from the south-southeast";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"8.0";"4.4";"";"";"";"";"";"";
"07.11.2020 12:00";"4.7";"760.2";"765.7";"-0.4";"96";"Wind blowing from the north";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"6.0";"4.1";"No precipitation";"6";"";"";"";"";
"07.11.2020 11:00";"4.0";"760.6";"766.2";"0.3";"97";"Wind blowing from the north-northeast";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"7.0";"3.6";"";"";"";"";"";"";
"07.11.2020 10:00";"3.9";"760.6";"766.2";"0.3";"97";"Wind blowing from the north-northwest";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"6.0";"3.4";"";"";"";"";"";"";
"07.11.2020 09:00";"4.0";"760.6";"766.0";"0.2";"99";"Wind blowing from the north-northwest";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"6.0";"3.8";"";"";"";"";"";"";
"07.11.2020 08:00";"4.1";"760.3";"765.9";"-0.3";"99";"Wind blowing from the south-southeast";"1";"";"";"";"Fog ";"";"";"";"";"";"";"50-100";"";"";"4.3";"3.9";"";"";"";"";"";"";
"07.11.2020 07:00";"4.0";"760.3";"765.8";"-0.3";"99";"Wind blowing from the east";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"Less than  50";"";"";"2.3";"3.8";"";"";"";"";"";"";
"07.11.2020 06:00";"4.6";"760.4";"766.0";"-0.2";"99";"Wind blowing from the east-southeast";"2";"";"";"";"Mist. ";"";"";"3.9";"";"";"";"100-200";"";"";"3.9";"4.5";"No precipitation";"12";"";"";"";"";
"07.11.2020 05:00";"4.5";"760.6";"766.2";"-0.2";"99";"Wind blowing from the west-northwest";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"200-300";"";"";"5.0";"4.4";"";"";"";"";"";"";
"07.11.2020 04:00";"4.0";"760.6";"766.2";"-0.6";"97";"Wind blowing from the north-northwest";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"200-300";"";"";"9.0";"3.6";"";"";"";"";"";"";
"07.11.2020 03:00";"5.4";"760.6";"766.1";"-1.2";"99";"Wind blowing from the north";"2";"";"";"";"Fog ";"";"";"";"";"";"";"50-100";"";"";"4.7";"5.2";"";"";"";"";"";"";
"07.11.2020 02:00";"5.7";"760.8";"766.3";"-1.2";"99";"Wind blowing from the east-southeast";"2";"";"";"";"Fog ";"";"";"";"";"";"";"Less than  50";"";"";"1.7";"5.6";"";"";"";"";"";"";
"07.11.2020 01:00";"5.7";"761.2";"766.7";"-1.0";"99";"Wind blowing from the east-southeast";"3";"";"";"";"Fog or ice fog, no appreciable change during the past hour. ";"";"";"";"";"";"";"";"";"";"0.6";"5.6";"";"";"";"";"";"";
"07.11.2020 00:00";"4.0";"759.9";"765.4";"";"97";"Wind blowing from the west-northwest";"3";"";"";"";"Mist. ";"";"";"";"";"";"";"200-300";"";"";"6.0";"3.6";"No precipitation";"6";"";"";"";"";
"06.11.2020 23:00";"6.1";"762.0";"767.5";"-0.7";"99";"Wind blowing from the south-east";"2";"";"";"";"Fog or ice fog, has become thinner during the past hour. ";"";"";"";"";"";"";"";"";"";"0.1";"6.0";"";"";"";"";"";"";
"06.11.2020 22:00";"6.2";"762.2";"767.8";"-1.1";"100";"Wind blowing from the south-southeast";"2";"";"";"";"Fog or ice fog, has begun or become thicker during the past hour. ";"";"";"";"";"";"";"";"";"";"0.1";"6.2";"";"";"";"";"";"";
"06.11.2020 21:00";"6.0";"762.6";"768.1";"-1.0";"99";"Wind blowing from the south-east";"1";"";"";"";"Fog or ice fog, has begun or become thicker during the past hour. ";"";"";"";"";"";"";"50-100";"";"";"0.4";"5.9";"";"";"";"";"";"";
"06.11.2020 20:00";"5.9";"762.7";"768.3";"-1.2";"97";"Wind blowing from the south-west";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"300-600";"";"";"3.3";"5.5";"";"";"";"";"";"";
"06.11.2020 19:00";"7.1";"763.3";"768.7";"-0.8";"97";"Wind blowing from the north-west";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"300-600";"";"";"7.0";"6.6";"";"";"";"";"";"";
"06.11.2020 18:00";"8.2";"763.6";"769.1";"-0.9";"95";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"9.8";"";"";"300-600";"";"";"14.0";"7.5";"No precipitation";"12";"";"";"";"";
"06.11.2020 17:00";"8.5";"763.9";"769.3";"-1.3";"92";"Wind blowing from the east";"1";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"12.0";"7.3";"";"";"";"";"";"";
"06.11.2020 16:00";"9.4";"764.1";"769.6";"-2.1";"88";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"17.0";"7.5";"";"";"";"";"";"";
"06.11.2020 15:00";"9.5";"764.5";"770.0";"-2.4";"89";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"19.0";"7.7";"";"";"";"";"";"";
"06.11.2020 14:00";"9.3";"765.2";"770.7";"-2.2";"91";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"200-300";"";"";"14.0";"7.9";"";"";"";"";"";"";
"06.11.2020 13:00";"9.0";"766.2";"771.7";"-1.5";"92";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"";"";"";"200-300";"";"";"12.0";"7.7";"";"";"";"";"";"";
"06.11.2020 12:00";"8.7";"766.9";"772.3";"-0.8";"92";"Wind blowing from the south-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"100-200";"";"";"11.0";"7.5";"No precipitation";"6";"";"";"";"";
"06.11.2020 11:00";"9.3";"767.4";"772.9";"-0.5";"89";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"200-300";"";"";"14.0";"7.6";"";"";"";"";"";"";
"06.11.2020 10:00";"9.3";"767.7";"773.2";"-0.4";"89";"Wind blowing from the east-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"23.0";"7.6";"";"";"";"";"";"";
"06.11.2020 09:00";"9.0";"767.7";"773.2";"-0.7";"92";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"22.0";"7.8";"";"";"";"";"";"";
"06.11.2020 08:00";"8.7";"767.9";"773.5";"-0.6";"94";"Wind blowing from the east";"1";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"12.0";"7.8";"";"";"";"";"";"";
"06.11.2020 07:00";"8.8";"768.1";"773.6";"-0.8";"93";"Wind blowing from the south";"1";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"17.0";"7.7";"";"";"";"";"";"";
"06.11.2020 06:00";"8.8";"768.4";"773.9";"-0.9";"92";"Wind blowing from the south-west";"1";"";"";"";" ";"";"";"8.3";"";"";"";"300-600";"";"";"30.0";"7.6";"No precipitation";"12";"";"";"";"";
"06.11.2020 05:00";"9.1";"768.5";"774.0";"-0.8";"90";"Wind blowing from the west";"1";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"50.0";"7.6";"";"";"";"";"";"";
"06.11.2020 04:00";"9.3";"768.9";"774.4";"-0.5";"89";"Wind blowing from the west-northwest";"1";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"50.0";"7.5";"";"";"";"";"";"";
"06.11.2020 03:00";"8.9";"769.3";"774.8";"-0.6";"92";"Wind blowing from the west";"2";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"40.0";"7.6";"";"";"";"";"";"";
"06.11.2020 02:00";"8.4";"769.3";"774.9";"-0.7";"94";"Wind blowing from the south";"1";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"25.0";"7.4";"";"";"";"";"";"";
"06.11.2020 01:00";"9.2";"769.4";"775.0";"-0.9";"92";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"30.0";"7.9";"";"";"";"";"";"";
"06.11.2020 00:00";"5.9";"761.8";"767.3";"-8.9";"99";"Wind blowing from the south";"2";"";"";"";"Fog or ice fog, has become thinner during the past hour. ";"";"";"";"";"";"";"";"";"";"0.1";"5.8";"No precipitation";"6";"";"";"";"";
