Regions,Cases,Cumulative Cases,Deaths,Cumulative Deaths,Tests,Cumulative Tests,Meeting Friends/Family (Indoor) (Low),Meeting Friends/Family (Indoor) (Moderate),Meeting Friends/Family (Indoor) (High),Meeting Friends/Family (Outdoor) (Low),Meeting Friends/Family (Outdoor) (Moderate),Meeting Friends/Family (Outdoor) (High),Domestic Travel (Low),Domestic Travel (Moderate),Domestic Travel (High),International Travel (Low),International Travel (Moderate),International Travel (High),Cafes and Restaurants (Low),Cafes and Restaurants (Moderate),Cafes and Restaurants (High),Pubs and Bars (Low),Pubs and Bars (Moderate),Pubs and Bars (High),Sports and Leisure (Low),Sports and Leisure (Moderate),Sports and Leisure (High),School Closure,Non-Essential Shops,Hospitals/ Care and Nursing Home Visits (Low),Hospitals/ Care and Nursing Home Visits (Moderate),Hospitals/ Care and Nursing Home Visits (High),Temperature,Humidity
1,1409,119237,43,3937,1409,118847,45,39,0,45,39,0,45,0,0,45,39,0,45,9,0,45,9,0,45,0,0,40,40,45,39,0,1,2
1,1709,117338,45,3894,1709,117438,45,39,0,45,39,0,45,0,0,45,39,0,45,6,0,45,6,0,45,0,0,40,40,45,39,0,2,2
1,2148,115582,39,3849,2148,115729,45,39,0,45,39,0,45,0,0,45,39,0,45,6,0,45,6,0,45,0,0,40,40,45,39,0,1,2
1,2169,113574,43,3810,2169,113581,45,39,0,45,39,0,45,0,0,45,39,0,45,6,0,45,6,0,45,0,0,40,40,45,39,0,1,2
1,2650,111251,29,3767,2650,111412,45,36,0,45,36,0,45,0,0,45,36,0,45,6,0,45,6,0,45,0,0,40,39,45,36,0,2,2
1,2658,108759,35,3738,2658,108762,44,36,0,44,36,0,44,0,0,44,36,0,44,6,0,44,6,0,44,6,0,40,39,44,36,0,2,2
1,2993,105992,50,3703,2993,106104,44,36,0,44,36,0,44,0,0,44,36,0,44,6,0,44,6,0,44,6,0,39,39,44,36,0,2,2
1,2016,103436,44,3653,2016,103111,44,36,0,44,36,0,44,0,0,44,36,0,44,6,0,44,6,0,44,6,0,39,39,44,36,0,1,2
1,1751,101183,32,3609,1751,101095,44,36,0,44,36,0,44,0,0,44,36,0,44,6,0,44,6,0,44,6,0,39,39,44,36,0,1,2
1,2293,99163,33,3577,2293,99344,44,36,0,44,36,0,44,0,0,44,36,0,44,6,0,44,6,0,44,6,0,39,39,44,36,0,1,2
1,2197,97083,31,3544,2197,97051,44,36,0,44,36,0,44,0,0,44,36,0,44,6,0,44,6,0,44,0,0,39,38,44,36,0,1,2
1,2146,94871,36,3513,2146,94854,43,36,0,43,36,0,43,0,0,43,36,0,43,6,0,43,6,0,43,0,0,39,38,43,36,0,1,2
1,2360,92636,24,3477,2360,92708,43,36,0,43,36,0,43,0,0,43,36,0,43,6,0,43,6,0,43,0,0,38,38,43,36,0,1,1
1,3245,90053,36,3453,3245,90348,43,36,0,43,36,0,43,0,0,43,36,0,43,6,0,43,6,0,43,0,0,38,38,43,36,0,2,1
1,1230,87771,31,3417,1230,87103,43,36,0,43,36,0,43,0,0,43,36,0,43,6,0,43,6,0,43,0,0,38,38,43,36,0,2,2
1,1502,85775,30,3386,1502,85862,43,36,0,43,36,0,43,0,0,43,36,0,43,6,0,43,6,0,43,0,0,38,38,43,36,0,2,2
1,2060,84174,28,3356,2060,84360,43,36,0,43,36,0,43,0,0,43,36,0,43,6,0,43,6,0,43,0,0,38,37,43,36,0,2,2
1,2104,82285,20,3328,2104,82300,42,36,0,42,36,0,42,0,0,42,36,0,42,6,0,42,6,0,42,0,0,38,37,42,36,0,2,2
1,2142,80183,28,3308,2142,80196,42,36,0,42,36,0,42,0,0,42,36,0,42,6,0,42,6,0,42,0,0,37,37,42,36,0,1,2
1,2048,78085,24,3280,2048,78054,42,36,0,42,36,0,42,0,0,42,36,0,42,3,0,42,3,0,42,0,0,37,37,42,36,0,1,2
1,2353,75904,21,3256,2353,76006,42,36,0,42,36,0,42,0,0,42,36,0,42,3,0,42,3,0,42,0,0,37,37,42,36,0,1,2
1,1476,73945,22,3235,1476,73653,42,36,0,42,36,0,42,0,0,42,36,0,42,3,0,42,3,0,42,0,0,37,37,42,36,0,1,2
1,1460,72182,22,3213,1460,72177,42,33,0,42,33,0,42,0,0,42,33,0,42,3,0,42,3,0,42,0,0,37,36,42,33,0,1,2
1,1842,70589,22,3191,1842,70717,41,33,0,41,33,0,41,0,0,41,33,0,41,3,0,41,3,0,41,3,0,37,36,41,33,0,1,2
1,2124,68781,23,3169,2124,68875,41,33,0,41,33,0,41,0,0,41,33,0,41,3,0,41,3,0,41,3,0,36,36,41,33,0,1,2
1,2119,66752,12,3146,2119,66751,41,33,0,41,33,0,41,0,0,41,33,0,41,3,0,41,3,0,41,3,0,36,36,41,33,0,2,2
1,2124,64630,17,3134,2124,64632,41,33,0,41,33,0,41,0,0,41,33,0,41,3,0,41,3,0,41,3,0,36,36,41,33,0,2,2
1,2381,62422,9,3117,2381,62508,41,33,0,41,33,0,41,0,0,41,33,0,41,3,0,41,3,0,41,3,0,36,36,41,33,0,2,2
1,1082,60560,6,3108,1082,60127,41,33,0,41,33,0,41,0,0,41,33,0,41,3,0,41,3,0,41,3,0,36,35,41,33,0,1,2
1,1206,59003,17,3102,1206,59045,40,33,0,40,33,0,40,0,0,40,33,0,40,3,0,40,3,0,40,3,0,36,35,40,33,0,1,2
1,1292,57810,9,3085,1292,57839,40,33,0,40,33,0,40,0,0,40,33,0,40,3,0,40,3,0,40,3,0,35,35,40,33,0,1,2
1,1430,56501,14,3076,1430,56547,40,33,0,40,33,0,40,0,0,40,33,0,40,3,0,40,3,0,40,3,0,35,35,40,33,0,1,2
1,1795,54995,10,3062,1795,55117,40,33,0,40,33,0,40,0,0,40,33,0,40,3,0,40,3,0,40,3,0,35,35,40,33,0,1,2
1,1575,53395,10,3052,1575,53322,40,33,0,40,33,0,40,0,0,40,33,0,40,3,0,40,3,0,40,3,0,35,35,40,33,0,1,2
1,1767,51683,6,3042,1767,51747,40,33,0,40,33,0,40,0,0,40,33,0,40,3,0,40,3,0,40,3,0,35,34,40,33,0,1,2
1,1105,50200,7,3036,1105,49980,39,33,0,39,33,0,39,0,0,39,33,0,39,3,0,39,3,0,39,3,0,35,34,39,33,0,1,1
1,1127,48867,3,3029,1127,48875,39,33,0,39,33,0,39,0,0,39,33,0,39,3,0,39,3,0,39,3,0,34,34,39,33,0,1,2
1,1439,47644,6,3026,1439,47748,39,33,0,39,33,0,39,0,0,39,33,0,39,0,0,39,0,0,39,0,0,34,34,39,33,0,1,2
1,1935,46143,2,3020,1935,46309,39,33,0,39,33,0,39,0,0,39,33,0,39,0,0,39,0,0,39,0,0,34,34,39,33,0,2,2
1,1701,44452,5,3018,1701,44374,39,33,0,39,33,0,39,0,0,39,33,0,39,0,0,39,0,0,39,0,0,34,34,39,33,0,2,1
1,1502,42739,2,3013,1502,42673,39,30,0,39,30,0,39,0,0,39,30,0,39,0,0,39,0,0,39,0,0,34,33,39,30,0,2,2
1,1569,41148,3,3011,1569,41171,38,30,0,38,30,0,38,0,0,38,30,0,38,0,0,38,0,0,38,0,0,34,33,38,30,0,2,2
1,1158,39739,4,3008,1158,39602,38,30,0,38,30,0,38,0,0,38,30,0,38,0,0,38,0,0,38,0,0,33,33,38,30,0,2,2
1,1020,38490,7,3004,1020,38444,38,30,0,38,30,0,38,0,0,38,30,0,38,0,0,38,0,0,38,0,0,33,33,38,30,0,2,2
1,1201,37363,1,2997,1201,37424,38,30,0,38,30,0,38,0,0,38,30,0,38,0,0,38,0,0,38,0,0,33,33,38,30,0,2,2
1,1046,36274,2,2996,1046,36223,38,30,0,38,30,0,38,0,0,38,30,0,38,0,0,38,0,0,38,0,0,33,33,38,30,0,1,2
1,871,35235,2,2994,871,35177,38,30,0,38,30,0,38,0,0,38,30,0,38,0,0,38,0,0,38,0,0,33,32,38,30,0,2,2
1,604,34395,3,2992,604,34306,37,30,0,37,30,0,37,0,0,37,30,0,37,0,0,37,0,0,37,0,0,33,32,37,30,0,2,1
1,560,33716,1,2989,560,33702,37,30,0,37,30,0,37,0,0,37,30,0,37,0,0,37,0,0,37,0,0,32,32,37,30,0,2,2
1,396,33196,4,2988,396,33142,37,30,0,37,30,0,37,0,0,37,30,0,37,0,0,37,0,0,37,0,0,32,32,37,30,0,1,1
1,323,32770,1,2984,323,32746,37,30,0,37,30,0,37,0,0,37,30,0,37,0,0,37,0,0,37,0,0,32,32,37,30,0,1,1
1,327,32421,3,2983,327,32423,37,30,0,37,30,0,37,0,0,37,30,0,37,0,0,37,0,0,37,0,0,32,32,37,30,0,1,1
1,333,32094,3,2980,333,32096,37,30,0,37,30,0,37,0,0,37,30,0,37,0,0,37,0,0,37,0,0,32,31,37,30,0,1,2
1,296,31775,1,2977,296,31763,36,30,0,36,30,0,36,0,0,36,30,0,36,0,0,36,0,0,36,0,0,32,31,36,30,0,2,2
1,269,31476,3,2976,269,31467,36,30,0,36,30,0,36,0,0,36,30,0,36,0,0,36,0,0,36,0,0,31,31,36,30,0,2,1
1,292,31190,3,2973,292,31198,36,30,0,36,30,0,36,0,0,36,30,0,36,0,0,36,0,0,36,0,0,31,31,36,30,0,2,1
1,265,30915,0,2970,265,30906,36,30,0,36,30,0,36,0,0,36,30,0,36,0,0,36,0,0,36,0,0,31,31,36,30,0,2,1
1,248,30646,2,2970,248,30641,36,30,0,36,30,0,36,0,0,36,30,0,36,0,0,36,0,0,36,0,0,31,31,36,30,0,2,2
1,259,30389,1,2968,259,30393,36,27,0,36,27,0,36,0,0,36,27,0,36,0,0,36,0,0,36,0,0,31,30,36,27,0,2,1
1,252,30136,0,2967,252,30134,35,27,0,35,27,0,35,0,0,35,27,0,35,0,0,35,0,0,35,0,0,31,30,35,27,0,2,1
1,243,29885,1,2967,243,29882,35,27,0,35,27,0,35,0,0,35,27,0,35,0,0,35,0,0,35,0,0,30,30,35,27,0,2,2
1,206,29651,1,2966,206,29639,35,27,0,35,27,0,35,0,0,35,27,0,35,0,0,35,0,0,35,0,0,30,30,35,27,0,2,1
1,200,29435,1,2965,200,29433,35,27,0,35,27,0,35,0,0,35,27,0,35,0,0,35,0,0,35,0,0,30,30,35,27,0,2,1
1,123,29258,1,2964,123,29233,35,27,0,35,27,0,35,0,0,35,27,0,35,0,0,35,0,0,35,0,0,30,30,35,27,0,2,1
1,141,29104,3,2963,141,29110,35,27,0,35,27,0,35,0,0,35,27,0,35,0,0,35,0,0,35,0,0,30,29,35,27,0,2,1
